ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001167	ENST00000341376	1
ENSG00000001631	ENST00000412043	1
ENSG00000002016	ENST00000397230	1
ENSG00000002746	ENST00000493057	1
ENSG00000002822	ENST00000399654	1
ENSG00000002919	ENST00000359238	1
ENSG00000003056	ENST00000000412	1
ENSG00000003393	ENST00000409632	1
ENSG00000003402	ENST00000395148	1
ENSG00000003509	ENST00000002125	1
ENSG00000004059	ENST00000459680	1
ENSG00000004455	ENST00000373449	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000266022	1
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000251739	1
ENSG00000004864	ENST00000416240	1
ENSG00000004897	ENST00000528748	1
ENSG00000004975	ENST00000575458	1
ENSG00000005020	ENST00000345317	1
ENSG00000005022	ENST00000460013	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000572490	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000005386	1
ENSG00000005189	ENST00000563617	1
ENSG00000005194	ENST00000394391	1
ENSG00000005486	ENST00000468304	1
ENSG00000005801	ENST00000005082	1
ENSG00000005810	ENST00000357337	1
ENSG00000005882	ENST00000515040	1
ENSG00000005884	ENST00000007722	1
ENSG00000005889	ENST00000428571	1
ENSG00000006007	ENST00000564172	1
ENSG00000006125	ENST00000588093	1
ENSG00000006194	ENST00000219069	1
ENSG00000006282	ENST00000006658	1
ENSG00000006468	ENST00000405192	1
ENSG00000006530	ENST00000473247	1
ENSG00000006576	ENST00000307305	2
ENSG00000006625	ENST00000409144	1
ENSG00000006634	ENST00000265728	1
ENSG00000006652	ENST00000403825	1
ENSG00000006744	ENST00000484122	1
ENSG00000006837	ENST00000265334	1
ENSG00000007168	ENST00000397195	1
ENSG00000007306	ENST00000599715	1
ENSG00000007392	ENST00000494366	1
ENSG00000007516	ENST00000568198	1
ENSG00000007545	ENST00000293925	1
ENSG00000007923	ENST00000294401	1
ENSG00000008086	ENST00000379996	1
ENSG00000008128	ENST00000357760	1
ENSG00000008256	ENST00000350796	1
ENSG00000008277	ENST00000265727	1
ENSG00000008282	ENST00000011473	1
ENSG00000008283	ENST00000360793	1
ENSG00000008300	ENST00000164024	1
ENSG00000008513	ENST00000399640	1
ENSG00000008853	ENST00000517528	1
ENSG00000008952	ENST00000461933	1
ENSG00000009335	ENST00000389103	1
ENSG00000009830	ENST00000261534	1
ENSG00000009950	ENST00000476404	1
ENSG00000010017	ENST00000011619	1
ENSG00000010072	ENST00000295050	1
ENSG00000010219	ENST00000536137	1
ENSG00000010244	ENST00000321233	1
ENSG00000010270	ENST00000396013	2
ENSG00000010292	ENST00000315579	1
ENSG00000010310	ENST00000263281	1
ENSG00000010818	ENST00000367603	1
ENSG00000011007	ENST00000487554	1
ENSG00000011021	ENST00000346436	1
ENSG00000011052	ENST00000376392	2
ENSG00000011198	ENST00000013894	1
ENSG00000011275	ENST00000411812	2
ENSG00000011295	ENST00000470399	1
ENSG00000011332	ENST00000355526	1
ENSG00000011405	ENST00000503729	1
ENSG00000011454	ENST00000456584	1
ENSG00000011566	ENST00000263881	1
ENSG00000012048	ENST00000461221	1
ENSG00000012174	ENST00000365779	1
ENSG00000012822	ENST00000262059	1
ENSG00000012963	ENST00000013070	2
ENSG00000012983	ENST00000554091	1
ENSG00000013364	ENST00000565164	1
ENSG00000013441	ENST00000321356	1
ENSG00000013523	ENST00000251089	1
ENSG00000013561	ENST00000394514	1
ENSG00000013588	ENST00000537783	1
ENSG00000014123	ENST00000369278	1
ENSG00000014138	ENST00000527850	1
ENSG00000014216	ENST00000279247	1
ENSG00000014824	ENST00000510460	1
ENSG00000014919	ENST00000016171	2
ENSG00000015153	ENST00000380790	1
ENSG00000015171	ENST00000381591	1
ENSG00000015479	ENST00000394805	1
ENSG00000015676	ENST00000464812	1
ENSG00000016391	ENST00000481668	1
ENSG00000016402	ENST00000541547	1
ENSG00000016864	ENST00000266014	1
ENSG00000018236	ENST00000547702	1
ENSG00000018408	ENST00000485244	1
ENSG00000018610	ENST00000320339	1
ENSG00000020426	ENST00000261245	1
ENSG00000021355	ENST00000380739	1
ENSG00000021645	ENST00000281127	1
ENSG00000021776	ENST00000156471	1
ENSG00000022277	ENST00000023939	1
ENSG00000022976	ENST00000442396	1
ENSG00000023041	ENST00000369404	1
ENSG00000023191	ENST00000528713	1
ENSG00000023445	ENST00000263464	1
ENSG00000023839	ENST00000370434	1
ENSG00000023909	ENST00000370238	1
ENSG00000024526	ENST00000370966	1
ENSG00000025293	ENST00000339089	1
ENSG00000025434	ENST00000395397	1
ENSG00000025796	ENST00000369002	1
ENSG00000026103	ENST00000371857	1
ENSG00000026508	ENST00000278386	1
ENSG00000028116	ENST00000340157	1
ENSG00000028203	ENST00000547894	1
ENSG00000028528	ENST00000261889	1
ENSG00000029153	ENST00000261178	1
ENSG00000029364	ENST00000555840	1
ENSG00000029639	ENST00000367166	1
ENSG00000031823	ENST00000034275	1
ENSG00000032219	ENST00000348476	1
ENSG00000032389	ENST00000398659	1
ENSG00000033050	ENST00000287844	1
ENSG00000033100	ENST00000035307	2
ENSG00000033170	ENST00000342677	1
ENSG00000033800	ENST00000249636	1
ENSG00000034677	ENST00000519527	1
ENSG00000034693	ENST00000367592	1
ENSG00000035499	ENST00000265036	1
ENSG00000035681	ENST00000427130	1
ENSG00000035687	ENST00000366535	2
ENSG00000035928	ENST00000349703	1
ENSG00000036054	ENST00000394144	1
ENSG00000036257	ENST00000536702	2
ENSG00000037042	ENST00000251412	1
ENSG00000037241	ENST00000265100	1
ENSG00000037749	ENST00000322602	1
ENSG00000038274	ENST00000518095	1
ENSG00000038295	ENST00000504560	1
ENSG00000038358	ENST00000358933	1
ENSG00000038427	ENST00000502527	1
ENSG00000039123	ENST00000230640	1
ENSG00000039560	ENST00000503222	1
ENSG00000039650	ENST00000596014	1
ENSG00000040633	ENST00000570899	1
ENSG00000042088	ENST00000545686	1
ENSG00000042317	ENST00000356583	1
ENSG00000042445	ENST00000295802	1
ENSG00000043514	ENST00000316891	1
ENSG00000044115	ENST00000520158	1
ENSG00000044459	ENST00000380647	1
ENSG00000044524	ENST00000452448	1
ENSG00000044574	ENST00000324460	1
ENSG00000046647	ENST00000380523	1
ENSG00000046651	ENST00000340096	1
ENSG00000047056	ENST00000436154	1
ENSG00000047315	ENST00000431623	1
ENSG00000047346	ENST00000546305	1
ENSG00000047457	ENST00000264613	1
ENSG00000047932	ENST00000052569	1
ENSG00000048052	ENST00000401921	1
ENSG00000048162	ENST00000502577	1
ENSG00000048392	ENST00000395912	1
ENSG00000048405	ENST00000265827	1
ENSG00000048649	ENST00000308488	1
ENSG00000048828	ENST00000446420	1
ENSG00000049130	ENST00000228280	1
ENSG00000049167	ENST00000265038	1
ENSG00000049449	ENST00000054950	1
ENSG00000049860	ENST00000261416	1
ENSG00000050130	ENST00000425728	1
ENSG00000050165	ENST00000526218	1
ENSG00000050820	ENST00000567215	1
ENSG00000051382	ENST00000477593	1
ENSG00000051620	ENST00000367697	1
ENSG00000051825	ENST00000369865	2
ENSG00000052126	ENST00000538034	1
ENSG00000052723	ENST00000060969	1
ENSG00000052749	ENST00000315563	1
ENSG00000052802	ENST00000261507	1
ENSG00000052841	ENST00000039989	1
ENSG00000053372	ENST00000330263	1
ENSG00000053770	ENST00000261558	1
ENSG00000054118	ENST00000469141	1
ENSG00000054148	ENST00000462205	1
ENSG00000054392	ENST00000545781	1
ENSG00000054965	ENST00000064778	1
ENSG00000054967	ENST00000064780	1
ENSG00000055044	ENST00000467734	2
ENSG00000055070	ENST00000401088	1
ENSG00000055130	ENST00000602748	1
ENSG00000055147	ENST00000351797	1
ENSG00000055483	ENST00000312010	1
ENSG00000055609	ENST00000452749	1
ENSG00000055732	ENST00000341115	1
ENSG00000055813	ENST00000407595	1
ENSG00000056097	ENST00000265069	1
ENSG00000056277	ENST00000370978	1
ENSG00000056586	ENST00000357244	1
ENSG00000057019	ENST00000326857	1
ENSG00000057252	ENST00000367619	1
ENSG00000057657	ENST00000369091	1
ENSG00000057663	ENST00000369070	1
