ID	Ensembl ID	SiteCount
ENSG00000002016	ENST00000397230	1
ENSG00000003096	ENST00000540167	1
ENSG00000003249	ENST00000568330	1
ENSG00000004777	ENST00000221905	1
ENSG00000005001	ENST00000161006	1
ENSG00000005108	ENST00000423059	1
ENSG00000005381	ENST00000581022	1
ENSG00000005486	ENST00000006777	1
ENSG00000005889	ENST00000497813	1
ENSG00000006015	ENST00000358607	1
ENSG00000006118	ENST00000537110	1
ENSG00000006534	ENST00000342456	1
ENSG00000006652	ENST00000005558	1
ENSG00000006740	ENST00000578087	1
ENSG00000007047	ENST00000587566	1
ENSG00000007168	ENST00000576586	1
ENSG00000007237	ENST00000542249	1
ENSG00000007312	ENST00000006750	1
ENSG00000007372	ENST00000525535	1
ENSG00000007541	ENST00000540241	1
ENSG00000008083	ENST00000397311	1
ENSG00000008323	ENST00000011684	1
ENSG00000008394	ENST00000396209	1
ENSG00000008710	ENST00000488185	1
ENSG00000008838	ENST00000356271	1
ENSG00000008988	ENST00000618656	1
ENSG00000009954	ENST00000339594	1
ENSG00000010219	ENST00000537719	1
ENSG00000010319	ENST00000231721	1
ENSG00000010626	ENST00000433346	1
ENSG00000010818	ENST00000367603	1
ENSG00000011052	ENST00000376392	2
ENSG00000011332	ENST00000355526	1
ENSG00000011451	ENST00000263381	1
ENSG00000012171	ENST00000418576	1
ENSG00000012211	ENST00000376317	1
ENSG00000012983	ENST00000013125	1
ENSG00000013375	ENST00000506587	1
ENSG00000014123	ENST00000369278	1
ENSG00000014216	ENST00000524773	1
ENSG00000015153	ENST00000327791	1
ENSG00000015285	ENST00000470107	1
ENSG00000015413	ENST00000393092	1
ENSG00000015475	ENST00000317361	1
ENSG00000017483	ENST00000619100	1
ENSG00000018510	ENST00000264167	1
ENSG00000018625	ENST00000361216	1
ENSG00000019144	ENST00000361417	1
ENSG00000020577	ENST00000251091	1
ENSG00000022267	ENST00000370674	1
ENSG00000023041	ENST00000369404	1
ENSG00000025434	ENST00000494018	1
ENSG00000026297	ENST00000358165	1
ENSG00000027644	ENST00000368195	1
ENSG00000028528	ENST00000261889	1
ENSG00000029725	ENST00000575991	1
ENSG00000030419	ENST00000342002	1
ENSG00000035664	ENST00000559731	1
ENSG00000037241	ENST00000265100	1
ENSG00000037897	ENST00000324871	1
ENSG00000038427	ENST00000265077	1
ENSG00000039523	ENST00000428437	1
ENSG00000039560	ENST00000510319	1
ENSG00000039650	ENST00000595792	1
ENSG00000040275	ENST00000503209	1
ENSG00000040608	ENST00000425986	1
ENSG00000040633	ENST00000570753	1
ENSG00000041802	ENST00000265245	1
ENSG00000042062	ENST00000327979	1
ENSG00000043143	ENST00000453515	1
ENSG00000046647	ENST00000380523	1
ENSG00000046653	ENST00000398361	1
ENSG00000047230	ENST00000443824	1
ENSG00000047578	ENST00000564749	1
ENSG00000048392	ENST00000395912	1
ENSG00000049089	ENST00000417105	1
ENSG00000049130	ENST00000347404	1
ENSG00000049245	ENST00000054666	1
ENSG00000049541	ENST00000055077	1
ENSG00000049656	ENST00000320895	1
ENSG00000049759	ENST00000585970	1
ENSG00000050767	ENST00000407622	1
ENSG00000050820	ENST00000546196	1
ENSG00000051620	ENST00000607197	1
ENSG00000052126	ENST00000538034	1
ENSG00000053747	ENST00000269217	1
ENSG00000053900	ENST00000315368	1
ENSG00000054282	ENST00000366541	1
ENSG00000054356	ENST00000440552	1
ENSG00000054803	ENST00000064571	1
ENSG00000054983	ENST00000544807	1
ENSG00000055118	ENST00000330883	1
ENSG00000057593	ENST00000346342	1
ENSG00000057663	ENST00000360666	1
ENSG00000057704	ENST00000261226	1
ENSG00000057757	ENST00000246151	1
ENSG00000057935	ENST00000461256	1
ENSG00000058272	ENST00000450142	1
ENSG00000058453	ENST00000497654	1
ENSG00000058804	ENST00000480952	1
ENSG00000059915	ENST00000461698	1
ENSG00000060491	ENST00000370461	1
ENSG00000060558	ENST00000592455	1
ENSG00000061273	ENST00000421231	1
ENSG00000061918	ENST00000264424	1
ENSG00000062038	ENST00000264012	1
ENSG00000062725	ENST00000083182	1
ENSG00000062822	ENST00000596221	1
ENSG00000063660	ENST00000425056	1
ENSG00000063854	ENST00000566709	1
ENSG00000064042	ENST00000514096	1
ENSG00000064199	ENST00000227135	1
ENSG00000064490	ENST00000392324	1
ENSG00000064547	ENST00000588233	1
ENSG00000064601	ENST00000191018	1
ENSG00000064607	ENST00000594773	1
ENSG00000064692	ENST00000506272	1
ENSG00000064961	ENST00000585741	1
ENSG00000065057	ENST00000567727	1
ENSG00000065485	ENST00000316218	1
ENSG00000065609	ENST00000195649	1
ENSG00000065717	ENST00000589364	1
ENSG00000065833	ENST00000369705	1
ENSG00000065882	ENST00000401554	1
ENSG00000065989	ENST00000592685	1
ENSG00000066117	ENST00000381513	1
ENSG00000066136	ENST00000372669	1
ENSG00000066422	ENST00000461821	1
ENSG00000067057	ENST00000421751	1
ENSG00000067177	ENST00000339490	1
ENSG00000067221	ENST00000316900	1
ENSG00000067225	ENST00000319622	1
ENSG00000067704	ENST00000366922	1
