ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371582	1
ENSG00000000457	ENST00000367771	1
ENSG00000001631	ENST00000412043	1
ENSG00000002330	ENST00000493798	1
ENSG00000003147	ENST00000396675	1
ENSG00000003400	ENST00000286186	1
ENSG00000003756	ENST00000433556	1
ENSG00000004142	ENST00000540200	1
ENSG00000004897	ENST00000528748	1
ENSG00000005100	ENST00000225296	1
ENSG00000005194	ENST00000394391	1
ENSG00000005436	ENST00000472230	1
ENSG00000005801	ENST00000005082	1
ENSG00000005812	ENST00000472949	1
ENSG00000006125	ENST00000590432	1
ENSG00000006652	ENST00000005558	1
ENSG00000006695	ENST00000580561	1
ENSG00000006757	ENST00000381042	1
ENSG00000007038	ENST00000574265	1
ENSG00000007047	ENST00000587566	1
ENSG00000007341	ENST00000479436	1
ENSG00000008838	ENST00000356271	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009844	ENST00000367621	1
ENSG00000010244	ENST00000321233	1
ENSG00000011052	ENST00000555572	1
ENSG00000011304	ENST00000349038	1
ENSG00000011376	ENST00000414984	1
ENSG00000012174	ENST00000365779	1
ENSG00000012817	ENST00000382806	1
ENSG00000012983	ENST00000554091	1
ENSG00000013441	ENST00000481641	1
ENSG00000014641	ENST00000409476	1
ENSG00000015479	ENST00000504643	1
ENSG00000015676	ENST00000355451	1
ENSG00000017260	ENST00000504381	1
ENSG00000018189	ENST00000503876	1
ENSG00000018408	ENST00000472417	1
ENSG00000018510	ENST00000264167	1
ENSG00000020129	ENST00000356090	1
ENSG00000022976	ENST00000442396	1
ENSG00000023228	ENST00000432169	1
ENSG00000025434	ENST00000395397	1
ENSG00000025770	ENST00000299821	1
ENSG00000025796	ENST00000446496	1
ENSG00000025800	ENST00000373625	1
ENSG00000028203	ENST00000548371	1
ENSG00000028528	ENST00000261889	1
ENSG00000029364	ENST00000031146	1
ENSG00000030066	ENST00000528071	1
ENSG00000034693	ENST00000367592	1
ENSG00000035928	ENST00000349703	1
ENSG00000036054	ENST00000486274	1
ENSG00000036549	ENST00000370801	1
ENSG00000039123	ENST00000503165	1
ENSG00000040275	ENST00000513795	1
ENSG00000041802	ENST00000265245	1
ENSG00000041988	ENST00000307896	1
ENSG00000043143	ENST00000395003	1
ENSG00000047621	ENST00000261250	1
ENSG00000047648	ENST00000303025	1
ENSG00000048162	ENST00000614830	1
ENSG00000048544	ENST00000053468	1
ENSG00000048649	ENST00000440064	1
ENSG00000049541	ENST00000055077	1
ENSG00000049883	ENST00000308077	2
ENSG00000051382	ENST00000477593	1
ENSG00000052841	ENST00000039989	2
ENSG00000053501	ENST00000263897	1
ENSG00000054148	ENST00000462205	1
ENSG00000054267	ENST00000444620	1
ENSG00000054983	ENST00000261304	1
ENSG00000055070	ENST00000401088	2
ENSG00000055609	ENST00000452749	1
ENSG00000055917	ENST00000446940	1
ENSG00000058272	ENST00000550107	1
ENSG00000058673	ENST00000332127	2
ENSG00000058804	ENST00000480952	1
ENSG00000060339	ENST00000536391	1
ENSG00000061273	ENST00000434070	1
ENSG00000061656	ENST00000463973	1
ENSG00000061794	ENST00000542199	1
ENSG00000061936	ENST00000261674	1
ENSG00000062194	ENST00000506184	1
ENSG00000063046	ENST00000416762	1
ENSG00000063854	ENST00000397356	1
ENSG00000064419	ENST00000265388	1
ENSG00000064601	ENST00000191018	1
ENSG00000064763	ENST00000551451	1
ENSG00000064995	ENST00000361288	1
ENSG00000065029	ENST00000339411	1
ENSG00000065243	ENST00000316005	1
ENSG00000065357	ENST00000546995	1
ENSG00000065427	ENST00000566560	2
ENSG00000065491	ENST00000373491	1
ENSG00000065883	ENST00000340829	1
ENSG00000066084	ENST00000301180	1
ENSG00000066136	ENST00000372654	1
ENSG00000066322	ENST00000479686	1
ENSG00000066379	ENST00000332435	1
ENSG00000066777	ENST00000262215	1
ENSG00000067182	ENST00000366159	1
ENSG00000067369	ENST00000382039	1
ENSG00000067596	ENST00000262415	1
ENSG00000068305	ENST00000338042	1
ENSG00000068438	ENST00000019019	1
ENSG00000068831	ENST00000377489	1
ENSG00000068885	ENST00000326448	1
ENSG00000068912	ENST00000494373	1
ENSG00000069275	ENST00000367142	1
ENSG00000069869	ENST00000502612	1
ENSG00000069956	ENST00000558100	1
ENSG00000070018	ENST00000535731	1
ENSG00000070087	ENST00000497148	1
ENSG00000070761	ENST00000262498	1
ENSG00000071243	ENST00000315870	1
ENSG00000071889	ENST00000369643	1
ENSG00000072274	ENST00000392396	1
ENSG00000073111	ENST00000474964	1
ENSG00000073849	ENST00000430309	1
ENSG00000073921	ENST00000526033	1
ENSG00000074071	ENST00000177742	1
ENSG00000074219	ENST00000311227	1
ENSG00000075089	ENST00000551617	1
ENSG00000075151	ENST00000374935	1
ENSG00000075413	ENST00000416682	1
ENSG00000075415	ENST00000546766	1
ENSG00000075711	ENST00000392381	1
ENSG00000075785	ENST00000265062	1
ENSG00000075856	ENST00000228284	1
ENSG00000075975	ENST00000170447	1
ENSG00000076043	ENST00000539119	1
ENSG00000076321	ENST00000209884	2
ENSG00000076513	ENST00000553025	1
ENSG00000076924	ENST00000358368	1
ENSG00000077063	ENST00000446636	1
ENSG00000077157	ENST00000356764	1
ENSG00000078061	ENST00000377039	1
ENSG00000078808	ENST00000263741	1
ENSG00000079387	ENST00000549518	1
ENSG00000079785	ENST00000617198	1
ENSG00000079999	ENST00000393623	1
ENSG00000080345	ENST00000243326	1
ENSG00000080371	ENST00000261263	1
ENSG00000080802	ENST00000498534	1
ENSG00000080839	ENST00000344359	1
ENSG00000080986	ENST00000261597	1
ENSG00000081019	ENST00000616024	1
ENSG00000081154	ENST00000265260	1
ENSG00000081177	ENST00000409014	1
ENSG00000081189	ENST00000503075	1
ENSG00000081721	ENST00000490591	1
ENSG00000082258	ENST00000264157	1
ENSG00000082515	ENST00000519059	1
ENSG00000082898	ENST00000457483	1
ENSG00000083093	ENST00000261584	1
ENSG00000083312	ENST00000506528	1
ENSG00000083457	ENST00000570360	1
ENSG00000083635	ENST00000379161	1
ENSG00000083642	ENST00000450460	1
ENSG00000083814	ENST00000317398	1
ENSG00000083828	ENST00000391702	1
ENSG00000084070	ENST00000372708	1
ENSG00000084072	ENST00000480169	1
ENSG00000084073	ENST00000372759	1
ENSG00000084453	ENST00000435179	1
ENSG00000084463	ENST00000261167	1
ENSG00000084693	ENST00000453161	1
ENSG00000085276	ENST00000486748	1
ENSG00000085721	ENST00000198767	1
ENSG00000085871	ENST00000515067	2
ENSG00000086102	ENST00000318524	1
ENSG00000086589	ENST00000521464	1
ENSG00000087053	ENST00000469574	1
ENSG00000087088	ENST00000345358	1
ENSG00000087111	ENST00000583631	1
ENSG00000087263	ENST00000336111	1
ENSG00000087365	ENST00000524627	1
ENSG00000087460	ENST00000603546	1
ENSG00000087494	ENST00000395868	1
ENSG00000087586	ENST00000422322	1
ENSG00000088038	ENST00000221232	1
ENSG00000088448	ENST00000460846	1
ENSG00000088682	ENST00000562426	1
ENSG00000088833	ENST00000353088	1
ENSG00000088930	ENST00000377191	1
ENSG00000089006	ENST00000377759	1
ENSG00000089009	ENST00000549847	1
ENSG00000089053	ENST00000261819	1
ENSG00000089094	ENST00000540191	1
ENSG00000089177	ENST00000354981	1
ENSG00000089280	ENST00000254108	1
