ID	Ensembl ID	SiteCount
ENSG00000000003	ENST00000496771	1
ENSG00000000419	ENST00000371584	1
ENSG00000000457	ENST00000367771	2
ENSG00000000460	ENST00000359326	2
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000514004	2
ENSG00000001460	ENST00000435187	1
ENSG00000001461	ENST00000003912	1
ENSG00000001497	ENST00000374804	1
ENSG00000001617	ENST00000426511	1
ENSG00000001626	ENST00000608965	1
ENSG00000001629	ENST00000265742	1
ENSG00000001630	ENST00000003100	2
ENSG00000001631	ENST00000340022	1
ENSG00000002016	ENST00000461568	2
ENSG00000002549	ENST00000509583	2
ENSG00000002586	ENST00000381184	1
ENSG00000002822	ENST00000399654	2
ENSG00000002834	ENST00000318008	2
ENSG00000002919	ENST00000582104	3
ENSG00000003056	ENST00000540837	2
ENSG00000003147	ENST00000265577	1
ENSG00000003249	ENST00000002501	2
ENSG00000003393	ENST00000264276	2
ENSG00000003400	ENST00000272879	1
ENSG00000003402	ENST00000395148	1
ENSG00000003436	ENST00000339091	2
ENSG00000003509	ENST00000002125	2
ENSG00000003756	ENST00000347869	2
ENSG00000003987	ENST00000180173	1
ENSG00000003989	ENST00000470360	2
ENSG00000004059	ENST00000415666	1
ENSG00000004139	ENST00000582323	1
ENSG00000004142	ENST00000540200	2
ENSG00000004399	ENST00000504689	1
ENSG00000004455	ENST00000373449	2
ENSG00000004478	ENST00000001008	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000425608	1
ENSG00000004660	ENST00000158166	1
ENSG00000004700	ENST00000444129	3
ENSG00000004766	ENST00000251739	1
ENSG00000004776	ENST00000004982	1
ENSG00000004777	ENST00000007510	1
ENSG00000004779	ENST00000484769	1
ENSG00000004838	ENST00000431869	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000416240	2
ENSG00000004866	ENST00000265437	1
ENSG00000004897	ENST00000528748	2
ENSG00000004961	ENST00000321143	1
ENSG00000004975	ENST00000005340	1
ENSG00000005001	ENST00000161006	1
ENSG00000005007	ENST00000599848	2
ENSG00000005020	ENST00000345317	1
ENSG00000005059	ENST00000394650	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000574023	2
ENSG00000005108	ENST00000423059	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000380650	2
ENSG00000005187	ENST00000440284	1
ENSG00000005189	ENST00000261377	1
ENSG00000005194	ENST00000563341	1
ENSG00000005206	ENST00000585725	1
ENSG00000005238	ENST00000378561	1
ENSG00000005302	ENST00000312196	1
ENSG00000005339	ENST00000382070	1
ENSG00000005436	ENST00000472230	1
ENSG00000005448	ENST00000348227	2
ENSG00000005483	ENST00000476671	2
ENSG00000005486	ENST00000466232	1
ENSG00000005801	ENST00000005082	2
ENSG00000005810	ENST00000357337	2
ENSG00000005812	ENST00000472949	2
ENSG00000005882	ENST00000503176	1
ENSG00000005884	ENST00000506401	1
ENSG00000005889	ENST00000304543	1
ENSG00000006007	ENST00000569773	1
ENSG00000006015	ENST00000450195	2
ENSG00000006016	ENST00000594325	1
ENSG00000006025	ENST00000007414	1
ENSG00000006042	ENST00000583437	1
ENSG00000006062	ENST00000617331	1
ENSG00000006118	ENST00000005286	2
ENSG00000006125	ENST00000592167	3
ENSG00000006194	ENST00000572748	2
ENSG00000006282	ENST00000502911	1
ENSG00000006283	ENST00000352832	1
ENSG00000006327	ENST00000326577	2
ENSG00000006377	ENST00000518156	2
ENSG00000006451	ENST00000005257	1
ENSG00000006453	ENST00000473569	1
ENSG00000006468	ENST00000405358	2
ENSG00000006530	ENST00000473247	1
ENSG00000006534	ENST00000342456	2
ENSG00000006576	ENST00000275575	1
