ID	Ensembl ID	SiteCount
ENSG00000001617	ENST00000426511	1
ENSG00000002016	ENST00000430095	1
ENSG00000003436	ENST00000339091	1
ENSG00000003509	ENST00000455230	1
ENSG00000004866	ENST00000489293	1
ENSG00000005020	ENST00000487720	1
ENSG00000005075	ENST00000292614	1
ENSG00000005189	ENST00000563068	1
ENSG00000005194	ENST00000563341	1
ENSG00000005339	ENST00000382070	1
ENSG00000005436	ENST00000472230	1
ENSG00000005884	ENST00000505306	1
ENSG00000006016	ENST00000594325	1
ENSG00000006025	ENST00000007414	1
ENSG00000006282	ENST00000006658	1
ENSG00000006530	ENST00000473247	1
ENSG00000006715	ENST00000466017	1
ENSG00000007047	ENST00000587566	1
ENSG00000007237	ENST00000580811	1
ENSG00000007923	ENST00000294401	1
ENSG00000007944	ENST00000349606	1
ENSG00000008128	ENST00000357760	1
ENSG00000008277	ENST00000265727	1
ENSG00000008838	ENST00000495586	1
ENSG00000009830	ENST00000452340	1
ENSG00000009844	ENST00000367630	1
ENSG00000009950	ENST00000488212	1
ENSG00000010219	ENST00000536137	1
ENSG00000011052	ENST00000376392	1
ENSG00000011275	ENST00000411812	2
ENSG00000012171	ENST00000418576	1
ENSG00000012174	ENST00000365779	1
ENSG00000012983	ENST00000013125	1
ENSG00000013297	ENST00000064724	1
ENSG00000014257	ENST00000507647	1
ENSG00000015676	ENST00000464812	1
ENSG00000017797	ENST00000019317	1
ENSG00000018510	ENST00000409888	1
ENSG00000019549	ENST00000020945	1
ENSG00000020256	ENST00000346617	1
ENSG00000020426	ENST00000261245	1
ENSG00000021776	ENST00000543879	1
ENSG00000023041	ENST00000369404	1
ENSG00000024422	ENST00000263277	1
ENSG00000025423	ENST00000322165	1
ENSG00000025434	ENST00000395397	1
ENSG00000027075	ENST00000557559	1
ENSG00000027847	ENST00000029410	1
ENSG00000030110	ENST00000360661	1
ENSG00000033030	ENST00000540586	1
ENSG00000034053	ENST00000559709	1
ENSG00000034693	ENST00000367592	1
ENSG00000035664	ENST00000558482	1
ENSG00000038358	ENST00000358933	1
ENSG00000040608	ENST00000043402	1
ENSG00000041802	ENST00000265245	1
ENSG00000041880	ENST00000398755	1
ENSG00000044115	ENST00000519113	1
ENSG00000048162	ENST00000614830	1
ENSG00000048342	ENST00000634028	1
ENSG00000048707	ENST00000613099	1
ENSG00000049130	ENST00000228280	1
ENSG00000050426	ENST00000551477	1
ENSG00000053372	ENST00000330263	1
ENSG00000054277	ENST00000478849	1
ENSG00000054356	ENST00000477819	1
ENSG00000054611	ENST00000337137	1
ENSG00000057019	ENST00000326857	1
ENSG00000057663	ENST00000636335	1
ENSG00000058272	ENST00000550107	1
ENSG00000058600	ENST00000299853	1
ENSG00000059728	ENST00000409442	1
ENSG00000059758	ENST00000261211	1
ENSG00000060656	ENST00000345512	1
ENSG00000061938	ENST00000433111	1
ENSG00000062485	ENST00000550044	1
ENSG00000064115	ENST00000343028	2
ENSG00000064545	ENST00000587583	1
ENSG00000064726	ENST00000379403	1
ENSG00000064932	ENST00000587655	1
ENSG00000065029	ENST00000339411	1
ENSG00000065243	ENST00000316005	1
ENSG00000065802	ENST00000438264	1
ENSG00000065882	ENST00000406664	1
ENSG00000065911	ENST00000409601	1
ENSG00000065989	ENST00000592685	1
ENSG00000066084	ENST00000549620	1
