Gene Symbol	Gene ID	Cytoband
ACAP3	116983	1p36.33
ACTRT2	140625	1p36.32
AGRN	375790	1p36.33
ANKRD65	441869	1p36.33
ATAD3A	55210	1p36.33
ATAD3B	83858	1p36.33
ATAD3C	219293	1p36.33
AURKAIP1	54998	1p36.33
B3GALT6	126792	1p36.33
C1orf159	54991	1p36.33
CALML6	163688	1p36.33
CCNL2	81669	1p36.33
CDK11A	728642	1p36.33
CDK11B	984	1p36.33
CFAP74	85452	1p36.33
CPSF3L	54973	1p36.33
CPTP	80772	1p36.33
DDX11L1	100287102	1p36.33
DVL1	1855	1p36.33
FAAP20	199990	1p36.33
FAM132A	388581	1p36.33
FAM138A|chr1	645520	1p36.33
FAM138C|chr1	654835	1p36.33
FAM138D|chr1	677784	1p36.33
FAM213B	127281	1p36.32
FAM41C	284593	1p36.33
FAM87B	400728	1p36.33
FNDC10	643988	1p36.33
GABRD	2563	1p36.33
GNB1	2782	1p36.33
HES4	57801	1p36.33
HES5	388585	1p36.32
ISG15	9636	1p36.33
KLHL17	339451	1p36.33
LINC00115	79854	1p36.33
LINC00982	440556	1p36.32
LINC01128	643837	1p36.33
LINC01342	254099	1p36.33
LOC100129534	100129534	1p36.32
LOC100130417	100130417	1p36.33
LOC100132062|chr1	100132062	1p36.33
LOC100133331	100133331	1p36.33
LOC100288069	100288069	1p36.33
LOC100996583	100996583	1p36.32
LOC101928626	101928626	1p36.33
LOC102724312	102724312	1p36.33
LOC105378591	105378591	1p36.33
LOC115110	115110	1p36.32
LOC148413	148413	1p36.33
LOC729737	729737	1p36.33
MIB2	142678	1p36.33
MIR1302-10|chr1	100422834	1p36.33
MIR1302-11|chr1	100422919	1p36.33
MIR1302-2|chr1	100302278	1p36.33
MIR1302-9|chr1	100422831	1p36.33
MIR200A	406983	1p36.33
MIR200B	406984	1p36.33
MIR4251	100422968	1p36.32
MIR429	554210	1p36.33
MIR6723	102465432	1p36.33
MIR6726	102465434	1p36.33
MIR6727	102465435	1p36.33
MIR6808	102466740	1p36.33
MIR6859-1|chr1	102466751	1p36.33
MIR6859-2|chr1	102465909	1p36.33
MIR6859-3|chr1	102465910	1p36.33
MMEL1	79258	1p36.32
MMP23A	8511	1p36.33
MMP23B	8510	1p36.33
MORN1	79906	1p36.32
MRPL20	55052	1p36.33
MXRA8	54587	1p36.33
NADK	65220	1p36.33
NOC2L	26155	1p36.33
OR4F16|chr1	81399	1p36.33
OR4F29|chr1	729759	1p36.33
OR4F5	79501	1p36.33
PANK4	55229	1p36.32
PERM1	84808	1p36.33
PEX10	5192	1p36.32
PLCH2	9651	1p36.32
PLEKHN1	84069	1p36.33
PRDM16	63976	1p36.32
PRKCZ	5590	1p36.33
PUSL1	126789	1p36.33
RER1	11079	1p36.32
RNF223	401934	1p36.33
SAMD11	148398	1p36.33
SCNN1D	6339	1p36.33
SDF4	51150	1p36.33
SKI	6497	1p36.33
SLC35E2B	728661	1p36.33
SLC35E2	9906	1p36.33
SSU72	29101	1p36.33
TAS1R3	83756	1p36.33
TMEM240	339453	1p36.33
TMEM52	339456	1p36.33
TMEM88B	643965	1p36.33
TNFRSF14	8764	1p36.32
TNFRSF18	8784	1p36.33
TNFRSF4	7293	1p36.33
TTC34	100287898	1p36.32
TTLL10	254173	1p36.33
UBE2J2	118424	1p36.33
VWA1	64856	1p36.33
WASH7P	653635	1p36.33
ARHGEF16	27237	1p36.32
MEGF6	1953	1p36.32
MIR551A	693135	1p36.32
hsa-mir-551a	-612	1p36.32
TPRG1L	127262	1p36.32
WRAP73	49856	1p36.32
TP73	7161	1p36.32
TP73-AS1	57212	1p36.32
CCDC27	148870	1p36.32
SMIM1	388588	1p36.32
LRRC47	57470	1p36.32
CEP104	9731	1p36.32
DFFB	1677	1p36.32
C1orf174	339448	1p36.32
LINC01134	100133612	1p36.32
LINC01346	728716	1p36.32
LOC284661	284661	1p36.32
AJAP1	55966	1p36.32
MIR4417	100616489	1p36.31
MIR4689	100616421	1p36.31
NPHP4	261734	1p36.31
KCNAB2	8514	1p36.31
CHD5	26038	1p36.31
RPL22	6146	1p36.31
LOC102724450	102724450	1p36.31
RNF207	388591	1p36.31
