ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001036	ENST00000451668	1
ENSG00000001084	ENST00000229416	1
ENSG00000001630	ENST00000450723	1
ENSG00000002586	ENST00000381180	1
ENSG00000002745	ENST00000222462	1
ENSG00000002834	ENST00000318008	1
ENSG00000003056	ENST00000540837	1
ENSG00000004142	ENST00000540200	1
ENSG00000004399	ENST00000506979	1
ENSG00000004455	ENST00000491241	1
ENSG00000004478	ENST00000539181	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000421682	1
ENSG00000004766	ENST00000251739	1
ENSG00000004779	ENST00000562133	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000265631	1
ENSG00000004948	ENST00000359558	1
ENSG00000004975	ENST00000576949	3
ENSG00000005022	ENST00000475354	1
ENSG00000005100	ENST00000433302	1
ENSG00000005156	ENST00000262327	2
ENSG00000005187	ENST00000569141	1
ENSG00000005194	ENST00000563341	1
ENSG00000005206	ENST00000587851	1
ENSG00000005249	ENST00000265717	1
ENSG00000005339	ENST00000635753	1
ENSG00000005379	ENST00000585149	1
ENSG00000005471	ENST00000453593	1
ENSG00000005483	ENST00000257745	2
ENSG00000005810	ENST00000357337	1
ENSG00000005882	ENST00000503176	2
ENSG00000006015	ENST00000597371	1
ENSG00000006025	ENST00000585051	1
ENSG00000006062	ENST00000586644	1
ENSG00000006125	ENST00000590432	2
ENSG00000006128	ENST00000495916	1
ENSG00000006283	ENST00000506520	1
ENSG00000006530	ENST00000473247	1
ENSG00000006534	ENST00000612297	1
ENSG00000006576	ENST00000275575	1
ENSG00000006652	ENST00000462155	1
ENSG00000006704	ENST00000265755	1
ENSG00000006744	ENST00000484122	1
ENSG00000006831	ENST00000357103	1
ENSG00000006837	ENST00000519312	1
ENSG00000007047	ENST00000587566	1
ENSG00000007168	ENST00000570400	1
ENSG00000007264	ENST00000588983	1
ENSG00000007341	ENST00000369669	1
ENSG00000007392	ENST00000494545	1
ENSG00000007516	ENST00000421665	1
ENSG00000007520	ENST00000007390	1
ENSG00000007923	ENST00000294401	1
ENSG00000008056	ENST00000295987	1
ENSG00000008277	ENST00000265727	2
ENSG00000008283	ENST00000585153	1
ENSG00000008300	ENST00000164024	1
ENSG00000008323	ENST00000011684	1
ENSG00000008441	ENST00000585382	1
ENSG00000008513	ENST00000519435	1
ENSG00000008988	ENST00000520490	1
ENSG00000009307	ENST00000261443	1
ENSG00000010017	ENST00000011619	1
ENSG00000010244	ENST00000321233	1
ENSG00000010256	ENST00000480561	1
ENSG00000010327	ENST00000462681	1
ENSG00000010626	ENST00000415834	1
ENSG00000010704	ENST00000309234	1
ENSG00000011007	ENST00000609199	1
ENSG00000011021	ENST00000346436	1
ENSG00000011052	ENST00000555572	2
ENSG00000011114	ENST00000298896	1
ENSG00000011143	ENST00000313863	1
ENSG00000011260	ENST00000225298	1
ENSG00000011304	ENST00000356948	1
ENSG00000011332	ENST00000355526	1
ENSG00000011426	ENST00000265748	1
ENSG00000011451	ENST00000600632	1
ENSG00000011590	ENST00000392197	1
ENSG00000012174	ENST00000365779	2
ENSG00000012211	ENST00000453382	1
ENSG00000012983	ENST00000013125	1
ENSG00000013275	ENST00000157812	1
ENSG00000013306	ENST00000588767	1
ENSG00000013523	ENST00000251089	1
ENSG00000013561	ENST00000394514	1
ENSG00000013619	ENST00000370401	1
ENSG00000014914	ENST00000495054	1
ENSG00000015153	ENST00000380790	1
ENSG00000015479	ENST00000502499	1
ENSG00000015676	ENST00000464812	1
ENSG00000016082	ENST00000505475	1
ENSG00000016402	ENST00000461799	1
ENSG00000016864	ENST00000266014	1
ENSG00000018510	ENST00000409888	1
ENSG00000018699	ENST00000317907	1
ENSG00000019505	ENST00000020926	1
ENSG00000020129	ENST00000356090	1
ENSG00000020256	ENST00000216923	1
ENSG00000022840	ENST00000413266	1
ENSG00000022976	ENST00000442396	1
ENSG00000023330	ENST00000459884	1
ENSG00000023892	ENST00000316637	1
ENSG00000024526	ENST00000456315	1
ENSG00000025039	ENST00000369415	1
ENSG00000025293	ENST00000339089	1
ENSG00000025434	ENST00000395397	1
ENSG00000026025	ENST00000469543	1
ENSG00000026559	ENST00000371571	1
ENSG00000027001	ENST00000382172	1
ENSG00000027847	ENST00000029410	1
ENSG00000028116	ENST00000428021	1
ENSG00000028277	ENST00000342301	1
ENSG00000029725	ENST00000537505	2
ENSG00000029993	ENST00000325307	1
ENSG00000031003	ENST00000420893	1
ENSG00000032742	ENST00000319980	1
ENSG00000033011	ENST00000262374	1
ENSG00000033170	ENST00000342677	1
ENSG00000034053	ENST00000559709	1
ENSG00000034693	ENST00000367592	1
ENSG00000034713	ENST00000568455	1
ENSG00000035681	ENST00000519871	1
ENSG00000037280	ENST00000507059	1
ENSG00000037757	ENST00000589290	1
ENSG00000038210	ENST00000264864	1
ENSG00000038295	ENST00000504560	1
ENSG00000038358	ENST00000575033	1
ENSG00000038382	ENST00000508283	1
ENSG00000039560	ENST00000265109	1
ENSG00000039650	ENST00000595081	1
ENSG00000040531	ENST00000399306	1
ENSG00000041802	ENST00000265245	1
ENSG00000041988	ENST00000307896	1
ENSG00000042493	ENST00000409275	2
ENSG00000042813	ENST00000046087	1
ENSG00000043143	ENST00000431355	1
ENSG00000044090	ENST00000265348	1
ENSG00000046604	ENST00000585206	1
ENSG00000046647	ENST00000332885	1
ENSG00000046653	ENST00000398361	1
ENSG00000047249	ENST00000359530	1
ENSG00000047315	ENST00000484821	1
ENSG00000047346	ENST00000561543	1
ENSG00000047410	ENST00000451586	1
ENSG00000047648	ENST00000489330	1
ENSG00000048162	ENST00000619979	1
ENSG00000049449	ENST00000532721	1
ENSG00000049541	ENST00000485545	1
ENSG00000049618	ENST00000350026	1
ENSG00000049656	ENST00000320895	1
ENSG00000050344	ENST00000056233	1
ENSG00000050438	ENST00000514353	1
ENSG00000050555	ENST00000361069	1
ENSG00000050628	ENST00000460330	2
ENSG00000051108	ENST00000439977	1
ENSG00000051523	ENST00000565588	1
ENSG00000053254	ENST00000555353	1
ENSG00000053371	ENST00000481966	1
ENSG00000053372	ENST00000493700	1
ENSG00000053501	ENST00000263897	1
ENSG00000054116	ENST00000373163	1
ENSG00000054267	ENST00000366603	1
ENSG00000054392	ENST00000261458	1
ENSG00000054983	ENST00000261304	1
ENSG00000055070	ENST00000401088	1
ENSG00000055163	ENST00000611925	1
ENSG00000055332	ENST00000233057	1
ENSG00000055917	ENST00000429419	1
ENSG00000055950	ENST00000476012	1
ENSG00000056487	ENST00000474327	1
ENSG00000056558	ENST00000546084	1
ENSG00000057294	ENST00000546741	1
ENSG00000057663	ENST00000636335	2
ENSG00000057935	ENST00000405592	1
ENSG00000058085	ENST00000264144	1
ENSG00000058453	ENST00000498688	2
ENSG00000058600	ENST00000299853	1
ENSG00000058673	ENST00000432282	1
ENSG00000059377	ENST00000263552	1
ENSG00000059573	ENST00000371221	1
ENSG00000059758	ENST00000551816	1
ENSG00000059769	ENST00000313525	1
ENSG00000060237	ENST00000447667	1
ENSG00000060339	ENST00000265872	1
ENSG00000060642	ENST00000078527	1
ENSG00000060982	ENST00000342945	1
ENSG00000061273	ENST00000417107	1
ENSG00000061794	ENST00000542199	1
ENSG00000061938	ENST00000381916	1
ENSG00000061987	ENST00000549286	1
ENSG00000062282	ENST00000228027	1
ENSG00000062485	ENST00000547298	1
ENSG00000062725	ENST00000588668	1
ENSG00000062822	ENST00000596648	1
ENSG00000063015	ENST00000335960	1
ENSG00000063177	ENST00000084795	1
ENSG00000063241	ENST00000085068	1
ENSG00000063245	ENST00000589704	1
ENSG00000063438	ENST00000504625	1
ENSG00000063761	ENST00000238561	1
ENSG00000063854	ENST00000397356	2
ENSG00000064102	ENST00000538727	1
ENSG00000064115	ENST00000535260	1
ENSG00000064309	ENST00000527967	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000064545	ENST00000591443	1
ENSG00000064601	ENST00000191018	1
ENSG00000064726	ENST00000379403	1
ENSG00000064932	ENST00000587024	1
ENSG00000064933	ENST00000342075	1
ENSG00000064961	ENST00000486028	1
ENSG00000064999	ENST00000360359	1
ENSG00000065000	ENST00000585652	1
ENSG00000065029	ENST00000373953	2
ENSG00000065057	ENST00000219066	1
ENSG00000065243	ENST00000316005	1
ENSG00000065268	ENST00000591997	1
ENSG00000065491	ENST00000373491	1
ENSG00000065518	ENST00000461682	1
ENSG00000065609	ENST00000195649	1
ENSG00000065613	ENST00000335753	1
ENSG00000065618	ENST00000480127	1
ENSG00000065911	ENST00000488086	1
ENSG00000065923	ENST00000328306	1
ENSG00000065970	ENST00000162391	1
ENSG00000065978	ENST00000467957	2
ENSG00000065989	ENST00000592685	2
ENSG00000066027	ENST00000261461	1
ENSG00000066084	ENST00000301180	1
ENSG00000066136	ENST00000372654	1
ENSG00000066248	ENST00000416114	1
ENSG00000066422	ENST00000461821	1
ENSG00000066427	ENST00000340660	1
ENSG00000066468	ENST00000356226	1
ENSG00000066933	ENST00000356056	1
ENSG00000067057	ENST00000413079	1
ENSG00000067064	ENST00000429642	1
ENSG00000067082	ENST00000497571	1
ENSG00000067113	ENST00000264775	1
ENSG00000067141	ENST00000339362	1
ENSG00000067167	ENST00000262213	1
ENSG00000067221	ENST00000316900	1
ENSG00000067225	ENST00000335181	1
ENSG00000067533	ENST00000491428	1
ENSG00000067601	ENST00000412466	1
ENSG00000067606	ENST00000484419	1
ENSG00000067829	ENST00000217901	1
ENSG00000067992	ENST00000379162	1
ENSG00000068024	ENST00000493582	1
ENSG00000068097	ENST00000184956	1
ENSG00000068400	ENST00000621664	1
ENSG00000068438	ENST00000473235	1
ENSG00000068654	ENST00000471427	1
ENSG00000068724	ENST00000441914	1
ENSG00000068831	ENST00000377494	1
ENSG00000068903	ENST00000249396	1
ENSG00000069020	ENST00000403625	1
ENSG00000069702	ENST00000417833	2
ENSG00000069849	ENST00000462082	1
ENSG00000069869	ENST00000502612	1
ENSG00000070087	ENST00000489155	1
ENSG00000070413	ENST00000467659	1
ENSG00000070495	ENST00000585429	1
ENSG00000070601	ENST00000377765	1
ENSG00000070614	ENST00000522491	1
ENSG00000070669	ENST00000455086	1
ENSG00000070731	ENST00000225276	2
ENSG00000070756	ENST00000517403	1
ENSG00000070761	ENST00000562443	1
ENSG00000070785	ENST00000372182	2
ENSG00000070814	ENST00000506767	1
ENSG00000070961	ENST00000551310	1
ENSG00000071082	ENST00000409711	1
ENSG00000071242	ENST00000509742	1
ENSG00000071539	ENST00000508430	1
ENSG00000071553	ENST00000369762	1
ENSG00000071859	ENST00000158526	1
ENSG00000071889	ENST00000440318	1
ENSG00000071894	ENST00000526271	1
ENSG00000071967	ENST00000445146	1
ENSG00000071994	ENST00000392090	2
ENSG00000072110	ENST00000193403	1
ENSG00000072121	ENST00000347230	1
ENSG00000072135	ENST00000462321	1
ENSG00000072210	ENST00000339618	1
ENSG00000072310	ENST00000470247	1
ENSG00000072364	ENST00000265343	1
ENSG00000072415	ENST00000557237	1
ENSG00000072422	ENST00000337910	1
ENSG00000072501	ENST00000322213	1
ENSG00000072609	ENST00000432561	1
ENSG00000072756	ENST00000402675	1
ENSG00000072778	ENST00000577433	1
ENSG00000072803	ENST00000517395	1
ENSG00000072832	ENST00000397890	1
ENSG00000072958	ENST00000590263	2
ENSG00000073008	ENST00000406449	1
ENSG00000073111	ENST00000474964	1
ENSG00000073350	ENST00000579092	1
ENSG00000073417	ENST00000339708	1
ENSG00000073536	ENST00000360831	1
ENSG00000073578	ENST00000264932	1
ENSG00000073670	ENST00000588363	1
ENSG00000073910	ENST00000463566	1
ENSG00000073921	ENST00000393346	1
ENSG00000074181	ENST00000595045	1
ENSG00000074317	ENST00000393693	1
ENSG00000074356	ENST00000389005	1
ENSG00000074416	ENST00000496306	1
ENSG00000074527	ENST00000343702	1
ENSG00000074621	ENST00000434116	1
ENSG00000074660	ENST00000570902	1
ENSG00000074696	ENST00000566074	1
ENSG00000074800	ENST00000234590	1
ENSG00000074842	ENST00000262947	2
ENSG00000074855	ENST00000159087	1
ENSG00000074935	ENST00000368657	1
ENSG00000075035	ENST00000547525	1
ENSG00000075089	ENST00000553038	1
ENSG00000075131	ENST00000561773	1
ENSG00000075142	ENST00000265729	2
ENSG00000075188	ENST00000543021	1
ENSG00000075234	ENST00000381031	1
ENSG00000075340	ENST00000425976	1
ENSG00000075391	ENST00000367649	1
ENSG00000075399	ENST00000563798	1
ENSG00000075415	ENST00000188376	1
ENSG00000075420	ENST00000336824	1
ENSG00000075426	ENST00000264716	1
ENSG00000075568	ENST00000186436	1
ENSG00000075618	ENST00000444748	1
ENSG00000075624	ENST00000425660	1
ENSG00000075702	ENST00000270301	1
ENSG00000075711	ENST00000392381	1
ENSG00000075975	ENST00000170447	1
