ID	Ensembl ID	SiteCount
ENSG00000005100	ENST00000225296	1
ENSG00000006530	ENST00000473247	1
ENSG00000007047	ENST00000587566	1
ENSG00000009844	ENST00000367621	1
ENSG00000011052	ENST00000376392	1
ENSG00000012174	ENST00000365779	1
ENSG00000014641	ENST00000409476	1
ENSG00000015479	ENST00000394805	1
ENSG00000018869	ENST00000301310	1
ENSG00000020426	ENST00000261245	1
ENSG00000028277	ENST00000636631	1
ENSG00000034693	ENST00000367592	1
ENSG00000037241	ENST00000265100	1
ENSG00000038358	ENST00000358933	1
ENSG00000041802	ENST00000265245	1
ENSG00000048162	ENST00000614830	1
ENSG00000061936	ENST00000261674	1
ENSG00000065989	ENST00000592685	1
ENSG00000066117	ENST00000381513	1
ENSG00000066654	ENST00000396083	1
ENSG00000067221	ENST00000316900	1
ENSG00000067533	ENST00000366932	1
ENSG00000068120	ENST00000393818	1
ENSG00000070761	ENST00000262498	1
ENSG00000073614	ENST00000535014	1
ENSG00000074071	ENST00000177742	1
ENSG00000074356	ENST00000389005	1
ENSG00000074855	ENST00000159087	1
ENSG00000075399	ENST00000389386	1
ENSG00000076513	ENST00000553025	1
ENSG00000077232	ENST00000264065	1
ENSG00000079387	ENST00000549518	1
ENSG00000079462	ENST00000262890	1
ENSG00000081692	ENST00000366758	1
ENSG00000082068	ENST00000265107	1
ENSG00000085760	ENST00000263629	1
ENSG00000088833	ENST00000353088	1
ENSG00000089053	ENST00000261819	1
ENSG00000091947	ENST00000206380	1
ENSG00000092203	ENST00000447695	1
ENSG00000092531	ENST00000561526	1
ENSG00000099326	ENST00000594108	1
ENSG00000099860	ENST00000215631	1
ENSG00000100028	ENST00000402849	1
ENSG00000100038	ENST00000357179	1
ENSG00000100084	ENST00000263208	1
ENSG00000100225	ENST00000425028	1
ENSG00000100294	ENST00000290429	1
ENSG00000100462	ENST00000324366	1
ENSG00000101391	ENST00000339269	1
ENSG00000101882	ENST00000371410	1
ENSG00000102547	ENST00000409308	1
ENSG00000102738	ENST00000323563	1
ENSG00000103245	ENST00000570066	1
ENSG00000103671	ENST00000261884	1
ENSG00000103994	ENST00000564754	1
ENSG00000104047	ENST00000251250	1
ENSG00000104221	ENST00000220659	1
ENSG00000104643	ENST00000221086	1
ENSG00000104953	ENST00000474207	1
ENSG00000104979	ENST00000221576	1
ENSG00000105248	ENST00000262962	1
ENSG00000105289	ENST00000587912	1
ENSG00000105849	ENST00000222567	1
ENSG00000105879	ENST00000420796	1
ENSG00000105948	ENST00000343187	1
ENSG00000106028	ENST00000265304	1
ENSG00000106105	ENST00000454308	1
ENSG00000106344	ENST00000223073	1
ENSG00000107371	ENST00000489414	1
ENSG00000107789	ENST00000371994	1
ENSG00000108474	ENST00000225609	1
ENSG00000108591	ENST00000225729	1
ENSG00000108604	ENST00000584400	1
ENSG00000108666	ENST00000225805	1
ENSG00000109680	ENST00000502873	1
ENSG00000110442	ENST00000263401	1
ENSG00000110917	ENST00000228506	1
ENSG00000111364	ENST00000238146	2
ENSG00000111581	ENST00000378905	1
ENSG00000111615	ENST00000229214	1
ENSG00000111911	ENST00000229633	1
ENSG00000112237	ENST00000326298	1
ENSG00000112282	ENST00000354577	1
ENSG00000112685	ENST00000230449	1
ENSG00000113569	ENST00000231498	1
ENSG00000114744	ENST00000463077	1
ENSG00000115091	ENST00000263238	1
ENSG00000115286	ENST00000313408	1
ENSG00000115355	ENST00000263630	1
ENSG00000115415	ENST00000454414	1
ENSG00000116161	ENST00000367679	1
ENSG00000116675	ENST00000263441	1
ENSG00000117480	ENST00000243167	1
ENSG00000117697	ENST00000366976	1
ENSG00000118162	ENST00000598699	1
ENSG00000119013	ENST00000433898	1
ENSG00000119041	ENST00000263956	1
ENSG00000119574	ENST00000600990	1
ENSG00000119760	ENST00000337768	1
ENSG00000120008	ENST00000605069	1
ENSG00000120029	ENST00000311122	1
ENSG00000120071	ENST00000432791	1
ENSG00000120253	ENST00000340413	1
ENSG00000120647	ENST00000422000	1
ENSG00000120662	ENST00000239852	1
ENSG00000120725	ENST00000508744	1
ENSG00000120805	ENST00000261636	1
ENSG00000120907	ENST00000380573	1
ENSG00000122565	ENST00000396386	1
ENSG00000122566	ENST00000490912	1
ENSG00000123154	ENST00000547255	1
ENSG00000123444	ENST00000395288	1
ENSG00000124222	ENST00000312283	1
ENSG00000124380	ENST00000409116	1
ENSG00000124383	ENST00000468427	1
ENSG00000124608	ENST00000244571	1
ENSG00000124613	ENST00000461521	1
ENSG00000125818	ENST00000246015	1
ENSG00000126012	ENST00000349663	1
ENSG00000126216	ENST00000261965	1
ENSG00000126226	ENST00000246505	1
ENSG00000126254	ENST00000262633	1
ENSG00000126460	ENST00000596877	1
ENSG00000127580	ENST00000248142	1
ENSG00000127720	ENST00000248306	1
ENSG00000127870	ENST00000468480	1
ENSG00000128891	ENST00000558113	1
ENSG00000129028	ENST00000560604	1
ENSG00000130177	ENST00000360383	1
ENSG00000130255	ENST00000394580	1
ENSG00000130299	ENST00000361619	1
ENSG00000130733	ENST00000253031	1
ENSG00000130772	ENST00000373842	1
ENSG00000130779	ENST00000535290	1
ENSG00000131043	ENST00000320849	2
ENSG00000131115	ENST00000590871	1
ENSG00000131408	ENST00000253727	1
ENSG00000131475	ENST00000253794	1
ENSG00000132467	ENST00000254803	1
ENSG00000132549	ENST00000355155	1
ENSG00000132952	ENST00000614860	1
ENSG00000133028	ENST00000255390	1
ENSG00000133773	ENST00000552377	1
ENSG00000133983	ENST00000389912	1
ENSG00000134245	ENST00000369684	1
ENSG00000134283	ENST00000256678	1
ENSG00000134668	ENST00000360482	1
ENSG00000134987	ENST00000505303	1
ENSG00000135093	ENST00000257548	1
ENSG00000135900	ENST00000258383	1
ENSG00000136100	ENST00000378060	1
ENSG00000136463	ENST00000258975	1
ENSG00000137098	ENST00000340291	1
ENSG00000137806	ENST00000260361	1
ENSG00000137812	ENST00000346991	1
ENSG00000137821	ENST00000443425	1
ENSG00000137947	ENST00000370500	1
ENSG00000138303	ENST00000461369	1
ENSG00000138614	ENST00000561769	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000138867	ENST00000407973	1
ENSG00000139133	ENST00000538927	1
ENSG00000139168	ENST00000266529	1
ENSG00000139842	ENST00000326335	1
ENSG00000140400	ENST00000267978	1
ENSG00000140464	ENST00000268058	1
ENSG00000140988	ENST00000527109	1
ENSG00000141026	ENST00000268711	1
ENSG00000141499	ENST00000498311	1
ENSG00000141510	ENST00000269305	1
ENSG00000141873	ENST00000269740	1
ENSG00000142002	ENST00000262960	1
ENSG00000142065	ENST00000270001	1
ENSG00000142252	ENST00000270257	1
ENSG00000142507	ENST00000270586	1
ENSG00000142546	ENST00000339093	1
ENSG00000142856	ENST00000271002	1
ENSG00000143033	ENST00000370298	1
ENSG00000143228	ENST00000367900	1
ENSG00000143248	ENST00000428971	1
ENSG00000143337	ENST00000435319	1
ENSG00000143374	ENST00000369051	1
ENSG00000143458	ENST00000368918	1
ENSG00000143549	ENST00000323144	1
ENSG00000143740	ENST00000418653	1
ENSG00000143742	ENST00000304786	1
ENSG00000143774	ENST00000312726	1
ENSG00000143933	ENST00000272298	1
ENSG00000143951	ENST00000272321	1
ENSG00000144034	ENST00000272424	1
ENSG00000144524	ENST00000350033	1
ENSG00000146476	ENST00000494826	1
ENSG00000147162	ENST00000373701	1
ENSG00000147655	ENST00000276659	1
ENSG00000148225	ENST00000341761	1
ENSG00000148308	ENST00000342018	1
ENSG00000148690	ENST00000359204	1
ENSG00000149016	ENST00000278279	1
ENSG00000149541	ENST00000265471	1
ENSG00000149823	ENST00000279281	1
ENSG00000151366	ENST00000525085	1
ENSG00000151725	ENST00000281453	1
ENSG00000151881	ENST00000397080	1
ENSG00000152193	ENST00000282003	1
ENSG00000152556	ENST00000548288	1
ENSG00000152700	ENST00000439578	1
ENSG00000153006	ENST00000495198	1
