ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001084	ENST00000229416	1
ENSG00000001461	ENST00000003912	1
ENSG00000001630	ENST00000003100	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000358495	1
ENSG00000002549	ENST00000508497	1
ENSG00000002586	ENST00000381180	1
ENSG00000002822	ENST00000399654	1
ENSG00000002919	ENST00000582104	1
ENSG00000003056	ENST00000540837	1
ENSG00000003147	ENST00000265577	1
ENSG00000003393	ENST00000409632	1
ENSG00000003756	ENST00000347869	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000354858	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000419610	1
ENSG00000004660	ENST00000158166	1
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000251739	1
ENSG00000004777	ENST00000378944	1
ENSG00000004779	ENST00000484769	1
ENSG00000004846	ENST00000258738	1
ENSG00000004866	ENST00000265437	1
ENSG00000004975	ENST00000005340	1
ENSG00000005007	ENST00000600012	1
ENSG00000005020	ENST00000495802	1
ENSG00000005022	ENST00000317881	1
ENSG00000005100	ENST00000225296	1
ENSG00000005194	ENST00000563341	1
ENSG00000005206	ENST00000585725	1
ENSG00000005238	ENST00000378561	1
ENSG00000005302	ENST00000380692	2
ENSG00000005339	ENST00000262367	1
ENSG00000005421	ENST00000470502	1
ENSG00000005469	ENST00000331536	1
ENSG00000005483	ENST00000257745	1
ENSG00000005486	ENST00000006777	1
ENSG00000005700	ENST00000306270	1
ENSG00000005801	ENST00000330692	1
ENSG00000005882	ENST00000503176	1
ENSG00000006118	ENST00000005286	1
ENSG00000006125	ENST00000590538	1
ENSG00000006194	ENST00000572748	2
ENSG00000006282	ENST00000504334	1
ENSG00000006453	ENST00000005260	2
ENSG00000006530	ENST00000473247	1
ENSG00000006625	ENST00000005374	1
ENSG00000006652	ENST00000005558	1
ENSG00000006695	ENST00000261643	1
ENSG00000006704	ENST00000455841	1
ENSG00000006712	ENST00000221265	1
ENSG00000006715	ENST00000265745	1
ENSG00000006740	ENST00000340825	1
ENSG00000006744	ENST00000338034	1
ENSG00000006831	ENST00000357103	1
ENSG00000007047	ENST00000587566	1
ENSG00000007080	ENST00000445755	1
ENSG00000007341	ENST00000361846	1
ENSG00000007376	ENST00000007264	1
ENSG00000007384	ENST00000262316	1
ENSG00000007516	ENST00000568198	1
ENSG00000007520	ENST00000007390	1
ENSG00000007541	ENST00000026218	1
ENSG00000007545	ENST00000397412	1
ENSG00000007923	ENST00000426784	1
ENSG00000008083	ENST00000397311	1
ENSG00000008128	ENST00000357760	1
ENSG00000008277	ENST00000398204	1
ENSG00000008282	ENST00000455385	1
ENSG00000008283	ENST00000360793	1
ENSG00000008324	ENST00000011691	1
ENSG00000008513	ENST00000399640	1
ENSG00000008838	ENST00000356271	1
ENSG00000008853	ENST00000251822	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009413	ENST00000358835	1
ENSG00000009765	ENST00000367335	1
ENSG00000009830	ENST00000261534	1
ENSG00000009844	ENST00000367621	1
ENSG00000009954	ENST00000339594	1
ENSG00000010072	ENST00000295050	1
ENSG00000010165	ENST00000485629	2
ENSG00000010219	ENST00000536137	1
ENSG00000010244	ENST00000321233	1
ENSG00000010256	ENST00000412343	2
ENSG00000010270	ENST00000009041	2
ENSG00000010292	ENST00000315579	1
ENSG00000010318	ENST00000327906	1
ENSG00000010361	ENST00000529302	1
ENSG00000010539	ENST00000396870	2
ENSG00000010626	ENST00000323702	1
ENSG00000010810	ENST00000354650	1
ENSG00000010818	ENST00000367603	1
ENSG00000011009	ENST00000374502	1
ENSG00000011021	ENST00000346436	1
ENSG00000011052	ENST00000376392	1
ENSG00000011105	ENST00000431374	1
ENSG00000011143	ENST00000313863	1
ENSG00000011243	ENST00000397410	1
ENSG00000011258	ENST00000591270	1
ENSG00000011275	ENST00000389902	1
ENSG00000011304	ENST00000349038	1
ENSG00000011332	ENST00000355526	1
ENSG00000011376	ENST00000414984	1
ENSG00000011451	ENST00000263381	1
ENSG00000011454	ENST00000317419	1
ENSG00000011566	ENST00000437545	1
ENSG00000012048	ENST00000468300	1
ENSG00000012174	ENST00000365779	1
ENSG00000012660	ENST00000304434	1
ENSG00000012822	ENST00000548431	1
ENSG00000012963	ENST00000553674	1
ENSG00000012983	ENST00000013125	1
ENSG00000013275	ENST00000455878	1
ENSG00000013374	ENST00000413040	1
ENSG00000013375	ENST00000605602	1
ENSG00000013441	ENST00000481641	1
ENSG00000013523	ENST00000556298	1
ENSG00000013573	ENST00000228264	1
ENSG00000014164	ENST00000262577	1
ENSG00000014257	ENST00000336375	1
ENSG00000014641	ENST00000409476	1
ENSG00000014824	ENST00000264451	1
ENSG00000015133	ENST00000555995	1
ENSG00000015479	ENST00000394805	1
ENSG00000015676	ENST00000464812	1
ENSG00000016864	ENST00000266014	1
ENSG00000017260	ENST00000504948	1
ENSG00000018610	ENST00000320339	1
ENSG00000019485	ENST00000424263	1
ENSG00000019549	ENST00000396822	1
ENSG00000020181	ENST00000315215	1
ENSG00000020426	ENST00000261245	1
ENSG00000021300	ENST00000227214	1
ENSG00000021645	ENST00000634266	1
ENSG00000021762	ENST00000389989	1
ENSG00000021776	ENST00000156471	1
ENSG00000022277	ENST00000023939	1
ENSG00000022567	ENST00000024061	1
ENSG00000022976	ENST00000442396	1
ENSG00000023191	ENST00000397614	2
ENSG00000023228	ENST00000423725	1
ENSG00000023287	ENST00000025008	1
ENSG00000023572	ENST00000367439	2
ENSG00000023909	ENST00000370238	2
ENSG00000024862	ENST00000617445	1
ENSG00000025156	ENST00000368455	1
ENSG00000025293	ENST00000374012	1
ENSG00000025434	ENST00000395397	1
ENSG00000025770	ENST00000299821	1
ENSG00000025800	ENST00000373625	1
ENSG00000026025	ENST00000421459	1
ENSG00000026559	ENST00000371571	1
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000332981	1
ENSG00000027847	ENST00000029410	1
ENSG00000028116	ENST00000340157	1
ENSG00000028203	ENST00000436874	1
ENSG00000028528	ENST00000261889	1
ENSG00000028839	ENST00000237264	1
ENSG00000029363	ENST00000353331	1
ENSG00000029364	ENST00000538956	1
ENSG00000029534	ENST00000314214	1
ENSG00000030066	ENST00000528071	2
ENSG00000030582	ENST00000587109	1
ENSG00000031691	ENST00000335783	1
ENSG00000031823	ENST00000034275	1
ENSG00000032219	ENST00000355431	1
ENSG00000032389	ENST00000382125	1
ENSG00000032444	ENST00000594098	1
ENSG00000033011	ENST00000262374	1
ENSG00000033050	ENST00000287844	1
ENSG00000033178	ENST00000322244	1
ENSG00000034152	ENST00000316920	1
ENSG00000034510	ENST00000233143	1
ENSG00000034533	ENST00000264992	1
ENSG00000034677	ENST00000341084	1
ENSG00000034693	ENST00000367592	1
ENSG00000035499	ENST00000265036	2
ENSG00000035687	ENST00000366535	1
ENSG00000035928	ENST00000349703	1
ENSG00000036054	ENST00000344949	1
ENSG00000036257	ENST00000264414	1
ENSG00000036549	ENST00000433749	2
ENSG00000037241	ENST00000265100	1
ENSG00000037637	ENST00000456164	1
ENSG00000037749	ENST00000322602	1
ENSG00000037897	ENST00000257848	1
ENSG00000038002	ENST00000506853	1
ENSG00000038219	ENST00000040738	1
ENSG00000038274	ENST00000321757	1
ENSG00000038358	ENST00000358933	1
ENSG00000039123	ENST00000503165	1
ENSG00000039139	ENST00000504001	1
ENSG00000039650	ENST00000596014	2
ENSG00000040275	ENST00000507232	2
ENSG00000040531	ENST00000046640	1
ENSG00000040633	ENST00000570899	1
ENSG00000041802	ENST00000265245	1
ENSG00000041988	ENST00000472925	1
ENSG00000042088	ENST00000335725	1
ENSG00000042317	ENST00000356583	1
ENSG00000042429	ENST00000251871	1
ENSG00000042445	ENST00000295802	1
ENSG00000042753	ENST00000352203	1
ENSG00000044446	ENST00000379942	1
ENSG00000044459	ENST00000380641	1
ENSG00000046604	ENST00000585206	1
ENSG00000046647	ENST00000380523	1
ENSG00000046889	ENST00000520235	1
ENSG00000047056	ENST00000263150	1
ENSG00000047188	ENST00000161863	1
ENSG00000047249	ENST00000359530	1
ENSG00000047315	ENST00000381227	1
ENSG00000047346	ENST00000261844	1
ENSG00000047410	ENST00000451586	1
ENSG00000047457	ENST00000460674	1
ENSG00000048162	ENST00000614830	1
ENSG00000048405	ENST00000436992	1
ENSG00000048462	ENST00000562385	1
ENSG00000048471	ENST00000564111	1
ENSG00000048544	ENST00000053468	1
ENSG00000048649	ENST00000467567	2
ENSG00000048707	ENST00000543766	1
ENSG00000048991	ENST00000483021	1
ENSG00000049130	ENST00000228280	1
ENSG00000049167	ENST00000265038	1
ENSG00000049192	ENST00000381055	1
ENSG00000049245	ENST00000054666	1
ENSG00000049283	ENST00000503690	1
ENSG00000049541	ENST00000055077	1
ENSG00000049618	ENST00000635849	1
ENSG00000049656	ENST00000320895	1
ENSG00000049883	ENST00000308077	1
ENSG00000050130	ENST00000553647	1
ENSG00000050344	ENST00000056233	1
ENSG00000050405	ENST00000341247	1
ENSG00000050438	ENST00000550211	1
ENSG00000050820	ENST00000563700	1
ENSG00000051009	ENST00000265978	1
ENSG00000051108	ENST00000300302	1
ENSG00000051341	ENST00000264233	1
ENSG00000051382	ENST00000461451	1
ENSG00000051620	ENST00000607197	1
ENSG00000051825	ENST00000536198	1
ENSG00000052723	ENST00000060969	1
ENSG00000052802	ENST00000261507	1
ENSG00000053501	ENST00000263897	1
ENSG00000053524	ENST00000328913	1
ENSG00000053747	ENST00000313654	1
ENSG00000053770	ENST00000431972	1
ENSG00000053900	ENST00000315368	1
ENSG00000054116	ENST00000373159	1
ENSG00000054118	ENST00000354618	1
ENSG00000054611	ENST00000337137	1
ENSG00000054654	ENST00000341472	1
ENSG00000054965	ENST00000064778	1
ENSG00000054967	ENST00000544075	1
ENSG00000055044	ENST00000264279	1
ENSG00000055070	ENST00000401089	1
ENSG00000055147	ENST00000351797	1
ENSG00000055211	ENST00000367419	1
ENSG00000055483	ENST00000312010	1
ENSG00000055917	ENST00000319801	1
ENSG00000056050	ENST00000393381	1
ENSG00000056586	ENST00000357244	1
ENSG00000057019	ENST00000326840	1
ENSG00000057608	ENST00000380191	1
ENSG00000057663	ENST00000636335	2
ENSG00000057757	ENST00000246151	2
ENSG00000058272	ENST00000450142	1
ENSG00000058668	ENST00000367218	1
ENSG00000058673	ENST00000332127	1
ENSG00000058729	ENST00000283109	1
ENSG00000058799	ENST00000072644	1
ENSG00000058804	ENST00000480952	1
ENSG00000059122	ENST00000253928	1
