ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0006695	cholesterol biosynthetic process	21/697	55/12927	2.56844658332074e-13	8.96634585437776e-10	7.96898924525352e-10	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	21	2
GO:1902653	secondary alcohol biosynthetic process	21/697	56/12927	3.90435264723612e-13	8.96634585437776e-10	7.96898924525352e-10	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	21	2
GO:0016126	sterol biosynthetic process	21/697	61/12927	2.73264848553967e-12	4.18368483136124e-9	3.71831958839399e-9	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	21	2
GO:0045540	regulation of cholesterol biosynthetic process	14/697	38/12927	4.45718396629933e-9	2.5589807446516e-6	2.27433676596168e-6	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000130203/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000278540/ENSG00000067064/ENSG00000012174	14	2
GO:0106118	regulation of sterol biosynthetic process	14/697	38/12927	4.45718396629933e-9	2.5589807446516e-6	2.27433676596168e-6	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000130203/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000278540/ENSG00000067064/ENSG00000012174	14	2
GO:0046165	alcohol biosynthetic process	26/697	135/12927	1.16029544628833e-8	5.32923698480231e-6	4.73644814811174e-6	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112175/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000160801/ENSG00000167508/ENSG00000172893/ENSG00000176095/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000068745/ENSG00000101333/ENSG00000131473/ENSG00000147383/ENSG00000143815	26	2
GO:0008203	cholesterol metabolic process	23/697	111/12927	1.92553418319182e-8	8.03998045763639e-6	7.14566656690706e-6	ENSG00000074660/ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000124496/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	23	2
GO:0016125	sterol metabolic process	24/697	124/12927	3.83537510341642e-8	1.3716506947351e-5	1.21907740478823e-5	ENSG00000074660/ENSG00000079459/ENSG00000104549/ENSG00000107798/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000124496/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	24	2
GO:1902652	secondary alcohol metabolic process	23/697	115/12927	3.88231200338695e-8	1.3716506947351e-5	1.21907740478823e-5	ENSG00000074660/ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000124496/ENSG00000130203/ENSG00000147155/ENSG00000160211/ENSG00000160285/ENSG00000160752/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000186480/ENSG00000278540/ENSG00000067064/ENSG00000012174/ENSG00000131473/ENSG00000147383/ENSG00000143815	23	2
GO:1902930	regulation of alcohol biosynthetic process	16/697	61/12927	8.93763074331065e-8	2.73670253360172e-5	2.43228996649535e-5	ENSG00000079459/ENSG00000104549/ENSG00000110921/ENSG00000112175/ENSG00000112972/ENSG00000113161/ENSG00000130203/ENSG00000160285/ENSG00000160752/ENSG00000160801/ENSG00000167508/ENSG00000172893/ENSG00000185591/ENSG00000278540/ENSG00000067064/ENSG00000012174	16	2
