ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	19/161	400/12927	5.61828303931747e-07	0.000937646851786734	0.000894842545243333	ENSG00000078304/ENSG00000080815/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000119682/ENSG00000165525/ENSG00000166170/ENSG00000180008/ENSG00000182979/ENSG00000198252/ENSG00000066427/ENSG00000050130/ENSG00000092010/ENSG00000142208	19	169
GO:0010498	proteasomal protein catabolic process	20/161	451/12927	8.18190970145492e-07	0.000937646851786734	0.000894842545243333	ENSG00000078304/ENSG00000080815/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000119682/ENSG00000165525/ENSG00000166170/ENSG00000180008/ENSG00000182979/ENSG00000198252/ENSG00000066427/ENSG00000050130/ENSG00000092010/ENSG00000009830/ENSG00000142208	20	169
GO:0043488	regulation of mRNA stability	11/161	157/12927	4.15653090547523e-06	0.00228997152995943	0.00218543255224382	ENSG00000100461/ENSG00000100519/ENSG00000100567/ENSG00000100722/ENSG00000100764/ENSG00000100804/ENSG00000100823/ENSG00000100902/ENSG00000100911/ENSG00000092010/ENSG00000142208	11	169
GO:0006521	regulation of cellular amino acid metabolic process	7/161	55/12927	5.01070410899158e-06	0.00228997152995943	0.00218543255224382	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000092010	7	169
GO:0043487	regulation of RNA stability	11/161	163/12927	5.96934068882862e-06	0.00228997152995943	0.00218543255224382	ENSG00000100461/ENSG00000100519/ENSG00000100567/ENSG00000100722/ENSG00000100764/ENSG00000100804/ENSG00000100823/ENSG00000100902/ENSG00000100911/ENSG00000092010/ENSG00000142208	11	169
GO:1901532	regulation of hematopoietic progenitor cell differentiation	8/161	79/12927	5.99468986900374e-06	0.00228997152995943	0.00218543255224382	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000126804/ENSG00000092010	8	169
GO:0061013	regulation of mRNA catabolic process	11/161	178/12927	1.37977542747611e-05	0.00451777897110749	0.00431153885457949	ENSG00000100461/ENSG00000100519/ENSG00000100567/ENSG00000100722/ENSG00000100764/ENSG00000100804/ENSG00000100823/ENSG00000100902/ENSG00000100911/ENSG00000092010/ENSG00000142208	11	169
GO:0043687	post-translational protein modification	14/161	294/12927	1.83149852240712e-05	0.00466421623706346	0.00445129114568654	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000100949/ENSG00000129559/ENSG00000139990/ENSG00000151445/ENSG00000165501/ENSG00000092010/ENSG00000184887	14	169
GO:0008380	RNA splicing	15/104	400/12927	6.78951113693135e-07	0.000808630776408524	0.000788297977266872	ENSG00000082516/ENSG00000086589/ENSG00000113141/ENSG00000113240/ENSG00000113575/ENSG00000113593/ENSG00000145833/ENSG00000146007/ENSG00000153015/ENSG00000153914/ENSG00000164609/ENSG00000172062/ENSG00000183258/ENSG00000039123/ENSG00000013441	15	281
GO:0022613	ribonucleoprotein complex biogenesis	14/104	445/12927	1.25271384285811e-05	0.00248663697807335	0.00242411117310964	ENSG00000082516/ENSG00000086189/ENSG00000120314/ENSG00000145912/ENSG00000164338/ENSG00000164609/ENSG00000172062/ENSG00000273841/ENSG00000039123/ENSG00000037241/ENSG00000082515/ENSG00000048162/ENSG00000058729/ENSG00000164346	14	281
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	59/101	94/12927	1.3710135463356e-108	1.82481903017269e-105	1.74335196207727e-105	ENSG00000083845/ENSG00000105372/ENSG00000105640/ENSG00000108107/ENSG00000108298/ENSG00000109475/ENSG00000112306/ENSG00000114391/ENSG00000115268/ENSG00000116251/ENSG00000122406/ENSG00000124614/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000134419/ENSG00000136942/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000144713/ENSG00000145425/ENSG00000145592/ENSG00000148303/ENSG00000149273/ENSG00000161016/ENSG00000162244/ENSG00000164587/ENSG00000168028/ENSG00000170889/ENSG00000171858/ENSG00000171863/ENSG00000172809/ENSG00000174748/ENSG00000177954/ENSG00000182774/ENSG00000182899/ENSG00000188846/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198755/ENSG00000198918/ENSG00000213741/ENSG00000221983/ENSG00000229117/ENSG00000231500/ENSG00000233927/ENSG00000241343/ENSG00000063177/ENSG00000105193/ENSG00000089009/ENSG00000071082/ENSG00000147604/ENSG00000163682/ENSG00000174444	59	146
