ID	Ensembl ID	SiteCount
ENSG00000006015	ENST00000450195	1
ENSG00000008128	ENST00000357760	1
ENSG00000018699	ENST00000317907	1
ENSG00000020577	ENST00000554335	1
ENSG00000027075	ENST00000553889	1
ENSG00000030582	ENST00000587109	1
ENSG00000035720	ENST00000265404	1
ENSG00000036054	ENST00000344949	1
ENSG00000047346	ENST00000568863	1
ENSG00000049323	ENST00000402934	1
ENSG00000050405	ENST00000552008	1
ENSG00000054611	ENST00000406733	1
ENSG00000055957	ENST00000494705	1
ENSG00000064205	ENST00000190983	1
ENSG00000064989	ENST00000392370	1
ENSG00000065559	ENST00000353533	1
ENSG00000065882	ENST00000509761	1
ENSG00000067225	ENST00000335181	1
ENSG00000073350	ENST00000579092	1
ENSG00000075785	ENST00000464496	1
ENSG00000076321	ENST00000209884	1
ENSG00000077420	ENST00000376236	1
ENSG00000079263	ENST00000343805	1
ENSG00000079385	ENST00000161559	1
ENSG00000084073	ENST00000472583	1
ENSG00000085449	ENST00000233055	1
ENSG00000087008	ENST00000503233	1
ENSG00000089060	ENST00000552613	1
ENSG00000089351	ENST00000599476	1
ENSG00000089847	ENST00000318934	1
ENSG00000091106	ENST00000402280	1
ENSG00000092853	ENST00000251195	1
ENSG00000099377	ENST00000262520	1
ENSG00000099795	ENST00000215565	1
ENSG00000099992	ENST00000393906	1
ENSG00000100058	ENST00000609084	1
ENSG00000100065	ENST00000494166	1
ENSG00000100100	ENST00000215912	1
ENSG00000100243	ENST00000352397	1
ENSG00000100997	ENST00000339157	1
ENSG00000101019	ENST00000472559	1
ENSG00000101294	ENST00000494153	1
ENSG00000101391	ENST00000339269	1
ENSG00000102265	ENST00000377017	1
ENSG00000102547	ENST00000355854	1
ENSG00000103423	ENST00000573120	1
ENSG00000103489	ENST00000563403	1
ENSG00000103671	ENST00000261884	1
ENSG00000103978	ENST00000307216	1
ENSG00000104221	ENST00000220659	1
ENSG00000104964	ENST00000221561	1
ENSG00000105371	ENST00000340992	1
ENSG00000105486	ENST00000594067	1
ENSG00000105492	ENST00000346477	1
ENSG00000105939	ENST00000464606	1
ENSG00000106066	ENST00000447426	1
ENSG00000106245	ENST00000471813	1
ENSG00000106258	ENST00000222982	1
ENSG00000106266	ENST00000419693	1
ENSG00000106348	ENST00000338791	1
ENSG00000106443	ENST00000403050	1
ENSG00000106615	ENST00000470072	1
ENSG00000107099	ENST00000382341	1
ENSG00000107371	ENST00000489414	1
ENSG00000108091	ENST00000263102	1
ENSG00000108591	ENST00000225729	1
ENSG00000108784	ENST00000590358	1
ENSG00000108984	ENST00000589647	1
ENSG00000109390	ENST00000505036	1
ENSG00000109534	ENST00000226796	1
ENSG00000110200	ENST00000438939	1
ENSG00000111215	ENST00000535024	1
ENSG00000112282	ENST00000354577	1
ENSG00000112294	ENST00000348925	1
ENSG00000112335	ENST00000230085	1
ENSG00000112799	ENST00000230568	1
ENSG00000113387	ENST00000512913	1
ENSG00000113448	ENST00000503258	1
ENSG00000113597	ENST00000231526	1
ENSG00000114353	ENST00000440628	1
ENSG00000114744	ENST00000469896	1
ENSG00000114784	ENST00000232905	1
ENSG00000115271	ENST00000429691	1
ENSG00000115808	ENST00000263918	1
ENSG00000115947	ENST00000416719	1
ENSG00000116701	ENST00000367535	1
ENSG00000117394	ENST00000426263	1
ENSG00000117697	ENST00000366976	1
ENSG00000118308	ENST00000354454	1
ENSG00000119535	ENST00000331941	1
ENSG00000119574	ENST00000600990	1
ENSG00000120008	ENST00000605202	1
ENSG00000120656	ENST00000373824	1
ENSG00000120690	ENST00000635415	1
ENSG00000122406	ENST00000315741	1
ENSG00000123154	ENST00000552700	1
ENSG00000123338	ENST00000293373	1
ENSG00000124613	ENST00000482767	1
ENSG00000124772	ENST00000393189	1
ENSG00000125046	ENST00000415132	1
ENSG00000125166	ENST00000245206	1
ENSG00000125637	ENST00000409656	1
ENSG00000125746	ENST00000362196	1
ENSG00000125755	ENST00000245934	1
ENSG00000126267	ENST00000592141	1
ENSG00000126460	ENST00000596877	1
ENSG00000129518	ENST00000555683	1
ENSG00000129667	ENST00000589526	1
ENSG00000130038	ENST00000252322	1
ENSG00000130299	ENST00000596941	1
ENSG00000130733	ENST00000253031	1
ENSG00000130755	ENST00000597595	1
ENSG00000130811	ENST00000253108	1
