ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371582	1
ENSG00000000457	ENST00000423670	1
ENSG00000000460	ENST00000359326	1
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000229416	1
ENSG00000001460	ENST00000483261	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000468231	2
ENSG00000002549	ENST00000509583	1
ENSG00000002586	ENST00000381180	1
ENSG00000002822	ENST00000399654	1
ENSG00000002834	ENST00000435347	1
ENSG00000003393	ENST00000264276	1
ENSG00000003400	ENST00000272879	1
ENSG00000003402	ENST00000423241	1
ENSG00000003756	ENST00000347869	1
ENSG00000004142	ENST00000540200	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000425608	1
ENSG00000004766	ENST00000251739	1
ENSG00000004776	ENST00000592984	1
ENSG00000004779	ENST00000007516	1
ENSG00000004864	ENST00000416240	1
ENSG00000004866	ENST00000421345	1
ENSG00000004975	ENST00000005340	1
ENSG00000005020	ENST00000487720	1
ENSG00000005022	ENST00000460013	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005189	ENST00000261377	1
ENSG00000005194	ENST00000563341	1
ENSG00000005206	ENST00000585725	1
ENSG00000005810	ENST00000357337	1
ENSG00000005844	ENST00000356798	1
ENSG00000005893	ENST00000200639	1
ENSG00000006015	ENST00000358607	1
ENSG00000006025	ENST00000007414	1
ENSG00000006125	ENST00000590538	1
ENSG00000006194	ENST00000572748	2
ENSG00000006327	ENST00000341627	1
ENSG00000006451	ENST00000468201	1
ENSG00000006530	ENST00000473247	1
ENSG00000006576	ENST00000275575	1
ENSG00000006634	ENST00000265728	1
ENSG00000006652	ENST00000403825	1
ENSG00000006695	ENST00000261643	1
ENSG00000006715	ENST00000265745	1
ENSG00000006740	ENST00000340825	1
ENSG00000006837	ENST00000519312	1
ENSG00000007047	ENST00000587566	1
ENSG00000007080	ENST00000445755	1
ENSG00000007237	ENST00000578599	1
ENSG00000007312	ENST00000006750	1
ENSG00000007341	ENST00000459630	1
ENSG00000007392	ENST00000293872	1
ENSG00000007520	ENST00000007390	1
ENSG00000007541	ENST00000293874	1
ENSG00000007923	ENST00000426784	1
ENSG00000007944	ENST00000356840	1
ENSG00000008018	ENST00000262193	1
ENSG00000008083	ENST00000397311	1
ENSG00000008128	ENST00000357760	1
ENSG00000008130	ENST00000480542	1
ENSG00000008277	ENST00000398204	1
ENSG00000008282	ENST00000455385	1
ENSG00000008283	ENST00000360793	1
ENSG00000008324	ENST00000011691	1
ENSG00000008513	ENST00000520020	1
ENSG00000008517	ENST00000325568	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009790	ENST00000367025	1
ENSG00000009950	ENST00000345114	1
ENSG00000009954	ENST00000339594	1
ENSG00000010165	ENST00000362019	1
ENSG00000010244	ENST00000578918	1
ENSG00000010256	ENST00000412343	1
ENSG00000010295	ENST00000336604	1
ENSG00000010318	ENST00000327906	1
ENSG00000010539	ENST00000396868	1
