ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000000971	ENST00000359637	1
ENSG00000001626	ENST00000446805	1
ENSG00000001631	ENST00000412043	1
ENSG00000002330	ENST00000309032	1
ENSG00000002822	ENST00000429625	1
ENSG00000002919	ENST00000582104	1
ENSG00000003056	ENST00000000412	1
ENSG00000003400	ENST00000272879	1
ENSG00000003402	ENST00000341222	1
ENSG00000003436	ENST00000233156	1
ENSG00000003509	ENST00000002125	1
ENSG00000004059	ENST00000459680	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000354858	1
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000436177	2
ENSG00000004897	ENST00000532575	1
ENSG00000004961	ENST00000321143	1
ENSG00000005020	ENST00000487720	1
ENSG00000005100	ENST00000225296	1
ENSG00000005175	ENST00000005386	1
ENSG00000005189	ENST00000261377	1
ENSG00000005238	ENST00000488109	1
ENSG00000005486	ENST00000006777	1
ENSG00000005700	ENST00000306270	1
ENSG00000005801	ENST00000005082	1
ENSG00000006015	ENST00000358607	1
ENSG00000006025	ENST00000007414	1
ENSG00000006125	ENST00000590538	1
ENSG00000006194	ENST00000538765	1
ENSG00000006468	ENST00000483075	1
ENSG00000006534	ENST00000342456	1
ENSG00000006576	ENST00000416283	1
ENSG00000006715	ENST00000265745	1
ENSG00000006744	ENST00000338034	1
ENSG00000006837	ENST00000519312	1
ENSG00000007202	ENST00000389003	1
ENSG00000007341	ENST00000369664	1
ENSG00000007372	ENST00000241001	1
ENSG00000007384	ENST00000450643	1
ENSG00000007392	ENST00000293872	1
ENSG00000008128	ENST00000357760	1
ENSG00000008130	ENST00000342348	1
ENSG00000008513	ENST00000522285	1
ENSG00000008838	ENST00000470126	1
ENSG00000008869	ENST00000233099	1
ENSG00000008988	ENST00000009589	1
ENSG00000009844	ENST00000367621	1
ENSG00000010030	ENST00000339796	1
ENSG00000010072	ENST00000295050	1
ENSG00000010244	ENST00000578918	2
ENSG00000010292	ENST00000315579	1
ENSG00000010361	ENST00000313777	1
ENSG00000010539	ENST00000396870	1
ENSG00000010610	ENST00000536563	1
ENSG00000010803	ENST00000460215	1
ENSG00000011143	ENST00000313863	1
ENSG00000011275	ENST00000411812	1
ENSG00000011304	ENST00000356948	2
ENSG00000011454	ENST00000317419	1
ENSG00000011478	ENST00000012049	1
ENSG00000011638	ENST00000261388	1
ENSG00000012048	ENST00000471181	2
ENSG00000012061	ENST00000300853	1
ENSG00000012232	ENST00000454906	1
ENSG00000012963	ENST00000013070	1
ENSG00000012983	ENST00000555216	1
ENSG00000013288	ENST00000285599	1
ENSG00000013375	ENST00000283977	1
ENSG00000013392	ENST00000369724	1
ENSG00000013503	ENST00000228347	2
ENSG00000014123	ENST00000369278	1
ENSG00000014216	ENST00000526954	1
ENSG00000014257	ENST00000336375	1
ENSG00000014824	ENST00000510460	1
ENSG00000014919	ENST00000016171	1
ENSG00000015676	ENST00000355451	1
ENSG00000016082	ENST00000230658	1
ENSG00000016602	ENST00000370563	1
ENSG00000016864	ENST00000266014	1
ENSG00000017260	ENST00000508532	1
ENSG00000018280	ENST00000483487	1
ENSG00000018408	ENST00000360632	1
ENSG00000018610	ENST00000320339	1
ENSG00000018699	ENST00000317907	1
ENSG00000018869	ENST00000301310	1
ENSG00000019485	ENST00000526442	1
ENSG00000020129	ENST00000373253	1
ENSG00000020256	ENST00000361387	1
ENSG00000020922	ENST00000323929	2
ENSG00000021355	ENST00000490094	2
ENSG00000021776	ENST00000543879	1
ENSG00000022277	ENST00000484084	2
ENSG00000022567	ENST00000024061	1
ENSG00000022840	ENST00000325954	1
ENSG00000023171	ENST00000525757	1
ENSG00000023228	ENST00000423725	1
ENSG00000023287	ENST00000025008	1
ENSG00000023318	ENST00000262455	1
ENSG00000023445	ENST00000532808	1
ENSG00000023697	ENST00000428559	1
ENSG00000023892	ENST00000316637	1
ENSG00000023909	ENST00000370238	1
ENSG00000024048	ENST00000372899	1
ENSG00000024422	ENST00000540884	1
ENSG00000024862	ENST00000332797	2
ENSG00000025434	ENST00000395397	1
ENSG00000026025	ENST00000421459	1
ENSG00000026103	ENST00000612663	1
ENSG00000026508	ENST00000415148	1
ENSG00000026652	ENST00000320285	1
ENSG00000026751	ENST00000359331	1
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000332981	1
ENSG00000028528	ENST00000559061	2
ENSG00000028839	ENST00000237264	1
ENSG00000029363	ENST00000353331	1
ENSG00000029364	ENST00000031146	1
ENSG00000030066	ENST00000528071	1
ENSG00000030110	ENST00000360661	1
ENSG00000031691	ENST00000335783	1
ENSG00000033011	ENST00000262374	1
ENSG00000033050	ENST00000222388	1
ENSG00000033100	ENST00000035307	1
ENSG00000033627	ENST00000587299	1
ENSG00000034152	ENST00000316920	1
ENSG00000034533	ENST00000264992	1
ENSG00000034693	ENST00000367591	1
ENSG00000035499	ENST00000453022	1
ENSG00000035664	ENST00000559306	1
ENSG00000035928	ENST00000349703	1
ENSG00000036054	ENST00000344949	1
ENSG00000037241	ENST00000265100	1
ENSG00000037474	ENST00000506139	1
ENSG00000037749	ENST00000322602	1
ENSG00000038219	ENST00000040738	1
ENSG00000038274	ENST00000321757	1
ENSG00000038358	ENST00000358933	1
ENSG00000038532	ENST00000409552	1
ENSG00000039123	ENST00000230640	1
ENSG00000040531	ENST00000452111	1
ENSG00000040633	ENST00000570899	2
ENSG00000041353	ENST00000586594	1
ENSG00000041357	ENST00000044462	1
ENSG00000041802	ENST00000265245	1
ENSG00000041880	ENST00000471971	1
ENSG00000042088	ENST00000393452	1
ENSG00000042317	ENST00000356583	1
ENSG00000042429	ENST00000251871	1
ENSG00000042832	ENST00000520769	1
ENSG00000042980	ENST00000265769	1
ENSG00000044090	ENST00000535468	1
ENSG00000046651	ENST00000380550	2
ENSG00000047056	ENST00000358220	1
ENSG00000047249	ENST00000359530	1
ENSG00000047315	ENST00000314595	1
ENSG00000047410	ENST00000367478	1
ENSG00000047621	ENST00000261250	1
ENSG00000047849	ENST00000395734	2
ENSG00000047932	ENST00000052569	1
ENSG00000048052	ENST00000456174	2
ENSG00000048162	ENST00000618911	2
ENSG00000048544	ENST00000053468	1
ENSG00000048649	ENST00000467567	1
ENSG00000048740	ENST00000354897	1
ENSG00000049283	ENST00000503246	1
ENSG00000049323	ENST00000402934	1
ENSG00000049541	ENST00000055077	1
ENSG00000049759	ENST00000456173	1
ENSG00000050130	ENST00000425728	1
ENSG00000050405	ENST00000550592	1
ENSG00000051180	ENST00000267868	1
ENSG00000051620	ENST00000367697	1
ENSG00000052723	ENST00000060969	1
ENSG00000052749	ENST00000315563	1
ENSG00000052841	ENST00000039989	1
ENSG00000053501	ENST00000263897	1
ENSG00000053524	ENST00000475664	1
ENSG00000053747	ENST00000313654	1
ENSG00000053770	ENST00000431972	1
ENSG00000054598	ENST00000380874	1
ENSG00000054611	ENST00000337137	1
ENSG00000055070	ENST00000401088	1
ENSG00000055147	ENST00000351797	1
ENSG00000056050	ENST00000506125	1
ENSG00000056586	ENST00000373670	1
ENSG00000056972	ENST00000359831	1
ENSG00000057252	ENST00000426956	1
ENSG00000057657	ENST00000450060	1
ENSG00000057663	ENST00000636335	1
ENSG00000058085	ENST00000264144	1
ENSG00000058404	ENST00000497127	2
ENSG00000058600	ENST00000299853	1
ENSG00000058668	ENST00000367218	1
ENSG00000058799	ENST00000072644	1
ENSG00000060069	ENST00000075430	1
ENSG00000060138	ENST00000546298	1
ENSG00000060339	ENST00000265872	1
ENSG00000061273	ENST00000427332	1
ENSG00000061794	ENST00000081029	1
ENSG00000061936	ENST00000261674	1
ENSG00000061987	ENST00000393629	1
ENSG00000062038	ENST00000429102	1
ENSG00000062194	ENST00000424459	1
ENSG00000062370	ENST00000337401	1
ENSG00000062716	ENST00000262291	1
ENSG00000063046	ENST00000262056	1
ENSG00000063176	ENST00000600537	1
ENSG00000063245	ENST00000085079	1
ENSG00000063978	ENST00000502316	1
ENSG00000064012	ENST00000264274	1
ENSG00000064042	ENST00000505705	1
ENSG00000064313	ENST00000378164	1
ENSG00000064419	ENST00000265388	1
ENSG00000064545	ENST00000162044	1
ENSG00000064763	ENST00000550541	1
ENSG00000064932	ENST00000361757	2
ENSG00000064995	ENST00000361288	1
ENSG00000064999	ENST00000360359	1
ENSG00000065135	ENST00000369851	2
ENSG00000065154	ENST00000539214	1
ENSG00000065183	ENST00000349139	1
ENSG00000065357	ENST00000546878	1
ENSG00000065457	ENST00000562374	1
ENSG00000065548	ENST00000421536	1
ENSG00000065615	ENST00000369679	1
ENSG00000065618	ENST00000353479	1
ENSG00000065883	ENST00000613626	1
ENSG00000066322	ENST00000372458	1
ENSG00000066557	ENST00000370952	1
ENSG00000066651	ENST00000334379	1
ENSG00000066697	ENST00000613183	1
ENSG00000067057	ENST00000381075	1
ENSG00000067066	ENST00000340126	1
ENSG00000067225	ENST00000319622	1
ENSG00000067248	ENST00000251636	1
ENSG00000067334	ENST00000359208	1
ENSG00000067533	ENST00000366932	1
ENSG00000067596	ENST00000262415	1
ENSG00000067715	ENST00000551304	1
ENSG00000067829	ENST00000217901	1
ENSG00000068079	ENST00000246911	1
ENSG00000068120	ENST00000393818	1
ENSG00000068137	ENST00000456950	1
ENSG00000068305	ENST00000338042	1
ENSG00000068354	ENST00000376771	1
ENSG00000068697	ENST00000175091	1
ENSG00000068745	ENST00000328631	1
ENSG00000068784	ENST00000263736	1
ENSG00000069020	ENST00000261569	1
ENSG00000069424	ENST00000602612	2
ENSG00000069943	ENST00000539642	1
ENSG00000069966	ENST00000559348	1
ENSG00000069974	ENST00000561545	1
ENSG00000070047	ENST00000264555	1
ENSG00000070190	ENST00000296414	1
ENSG00000070269	ENST00000261556	2
ENSG00000070367	ENST00000340918	1
ENSG00000070526	ENST00000359088	2
ENSG00000070610	ENST00000378094	1
ENSG00000070761	ENST00000562622	1
ENSG00000070814	ENST00000323668	2
ENSG00000070831	ENST00000315554	1
ENSG00000070950	ENST00000264926	1
ENSG00000071082	ENST00000409028	1
ENSG00000071127	ENST00000382451	1
ENSG00000071994	ENST00000167218	2
ENSG00000072135	ENST00000481492	2
ENSG00000072201	ENST00000263925	1
ENSG00000072210	ENST00000580550	1
ENSG00000072518	ENST00000509502	2
ENSG00000072609	ENST00000536932	1
ENSG00000072736	ENST00000563288	1
ENSG00000072756	ENST00000251607	1
ENSG00000072778	ENST00000582166	1
ENSG00000072803	ENST00000296933	1
ENSG00000072849	ENST00000158771	1
ENSG00000072858	ENST00000491730	1
ENSG00000072958	ENST00000590263	1
ENSG00000073331	ENST00000177648	1
ENSG00000073614	ENST00000535014	1
ENSG00000073712	ENST00000553768	1
ENSG00000073756	ENST00000367468	1
ENSG00000073921	ENST00000528398	1
ENSG00000074054	ENST00000485112	1
ENSG00000074071	ENST00000177742	1
ENSG00000074201	ENST00000263309	1
ENSG00000074266	ENST00000528180	1
ENSG00000074319	ENST00000438874	1
ENSG00000074582	ENST00000359273	1
ENSG00000074603	ENST00000300141	1
ENSG00000074621	ENST00000449142	1
ENSG00000074706	ENST00000265198	1
ENSG00000074755	ENST00000381638	1
ENSG00000074800	ENST00000234590	1
ENSG00000074855	ENST00000159087	1
ENSG00000074966	ENST00000507351	1
ENSG00000075089	ENST00000546902	1
ENSG00000075131	ENST00000261881	2
ENSG00000075188	ENST00000543021	1
ENSG00000075213	ENST00000265362	1
ENSG00000075218	ENST00000454366	1
ENSG00000075275	ENST00000468025	1
ENSG00000075391	ENST00000462775	1
ENSG00000075399	ENST00000561976	1
ENSG00000075651	ENST00000331659	1
ENSG00000075711	ENST00000422288	1
ENSG00000075785	ENST00000265062	1
ENSG00000075856	ENST00000228284	1
ENSG00000076003	ENST00000264156	1
ENSG00000076053	ENST00000538134	1
ENSG00000076108	ENST00000550730	1
ENSG00000076201	ENST00000265562	1
ENSG00000076242	ENST00000432299	1
ENSG00000076258	ENST00000367749	1
ENSG00000076321	ENST00000209884	1
ENSG00000076382	ENST00000536674	1
ENSG00000076513	ENST00000550404	1
ENSG00000076706	ENST00000534522	1
ENSG00000076928	ENST00000378152	1
ENSG00000076944	ENST00000221283	1
ENSG00000077044	ENST00000472732	1
ENSG00000077150	ENST00000428099	1
ENSG00000077232	ENST00000616986	1
ENSG00000077254	ENST00000370792	1
ENSG00000077312	ENST00000601545	1
ENSG00000077348	ENST00000593523	1
ENSG00000077380	ENST00000397119	1
ENSG00000077458	ENST00000358780	1
ENSG00000077463	ENST00000305232	1
ENSG00000077684	ENST00000510308	1
ENSG00000078142	ENST00000262039	1
ENSG00000078487	ENST00000360951	1
ENSG00000078699	ENST00000344201	1
ENSG00000079246	ENST00000417391	1
ENSG00000079257	ENST00000264265	1
ENSG00000079277	ENST00000371945	1
ENSG00000079462	ENST00000597333	1
ENSG00000079999	ENST00000592055	1
ENSG00000081014	ENST00000261842	2
ENSG00000081019	ENST00000261441	1
ENSG00000081307	ENST00000468022	1
ENSG00000081665	ENST00000443905	1
ENSG00000081692	ENST00000620518	1
ENSG00000082068	ENST00000265107	1
ENSG00000082074	ENST00000351578	1
ENSG00000082153	ENST00000460660	1
ENSG00000082213	ENST00000325366	2
ENSG00000082438	ENST00000448708	1
ENSG00000082781	ENST00000608657	1
ENSG00000082996	ENST00000466795	1
ENSG00000083223	ENST00000277141	1
ENSG00000083520	ENST00000475871	1
ENSG00000083535	ENST00000489797	1
ENSG00000083635	ENST00000379161	1
ENSG00000083812	ENST00000196482	1
ENSG00000083817	ENST00000196489	1
ENSG00000083828	ENST00000391702	1
ENSG00000083838	ENST00000594369	1
ENSG00000083844	ENST00000263095	1
ENSG00000083845	ENST00000196551	1
ENSG00000083937	ENST00000263780	1
ENSG00000084070	ENST00000372718	1
ENSG00000084073	ENST00000372759	1
ENSG00000084092	ENST00000264230	1
ENSG00000084623	ENST00000373586	1
ENSG00000084636	ENST00000529928	1
ENSG00000085231	ENST00000380822	1
ENSG00000085276	ENST00000475754	1
ENSG00000085644	ENST00000574902	1
ENSG00000085662	ENST00000467829	1
ENSG00000085721	ENST00000198767	1
ENSG00000085760	ENST00000263629	1
ENSG00000085840	ENST00000371568	1
ENSG00000085871	ENST00000502587	1
ENSG00000085872	ENST00000198939	1
ENSG00000085978	ENST00000347464	1
ENSG00000086061	ENST00000330899	1
ENSG00000086065	ENST00000223500	1
ENSG00000086102	ENST00000318524	1
ENSG00000086232	ENST00000199389	1
ENSG00000086289	ENST00000423717	1
ENSG00000086589	ENST00000521464	1
ENSG00000086827	ENST00000200135	1
ENSG00000087008	ENST00000356406	1
ENSG00000087074	ENST00000200453	1
ENSG00000087111	ENST00000465444	1
ENSG00000087157	ENST00000262764	1
ENSG00000087191	ENST00000310144	1
ENSG00000087263	ENST00000561646	1
ENSG00000087266	ENST00000435136	1
ENSG00000087302	ENST00000261700	1
ENSG00000087365	ENST00000322535	1
ENSG00000087470	ENST00000266481	1
ENSG00000087495	ENST00000492611	1
ENSG00000087502	ENST00000360150	1
ENSG00000087510	ENST00000416606	1
ENSG00000087586	ENST00000312783	1
ENSG00000087995	ENST00000311506	1
ENSG00000088298	ENST00000374491	1
ENSG00000088325	ENST00000300403	1
ENSG00000088367	ENST00000432589	1
ENSG00000088451	ENST00000498294	1
ENSG00000088726	ENST00000435218	1
ENSG00000088727	ENST00000425853	1
ENSG00000088832	ENST00000400137	1
ENSG00000088833	ENST00000216879	1
ENSG00000088899	ENST00000329152	1
ENSG00000089006	ENST00000377768	1
ENSG00000089009	ENST00000202773	1
ENSG00000089050	ENST00000337227	1
ENSG00000089053	ENST00000261819	1
ENSG00000089063	ENST00000202834	1
ENSG00000089091	ENST00000609267	2
ENSG00000089101	ENST00000245957	2
ENSG00000089127	ENST00000549820	1
ENSG00000089195	ENST00000203001	1
ENSG00000089234	ENST00000419234	1
ENSG00000089280	ENST00000380244	1
ENSG00000089335	ENST00000457781	2
ENSG00000089820	ENST00000442262	1
ENSG00000090054	ENST00000262554	1
ENSG00000090061	ENST00000557165	1
ENSG00000090263	ENST00000324787	1
ENSG00000090316	ENST00000264750	1
ENSG00000090432	ENST00000264198	1
ENSG00000090487	ENST00000204566	1
ENSG00000090612	ENST00000228289	1
ENSG00000090661	ENST00000558877	1
ENSG00000090776	ENST00000204961	1
ENSG00000090924	ENST00000425673	1
ENSG00000090989	ENST00000346134	1
ENSG00000091009	ENST00000265271	2
ENSG00000091436	ENST00000480606	1
ENSG00000091592	ENST00000262467	1
ENSG00000091732	ENST00000360708	1
ENSG00000091947	ENST00000206380	1
ENSG00000092020	ENST00000261475	1
ENSG00000092098	ENST00000324103	2
ENSG00000092140	ENST00000206595	1
ENSG00000092200	ENST00000553500	1
ENSG00000092201	ENST00000555752	1
ENSG00000092203	ENST00000416256	1
ENSG00000092330	ENST00000557921	1
ENSG00000092470	ENST00000263795	1
ENSG00000092531	ENST00000561526	1
ENSG00000092931	ENST00000336509	1
ENSG00000092964	ENST00000493789	1
ENSG00000092978	ENST00000366934	1
ENSG00000093009	ENST00000407835	1
ENSG00000093134	ENST00000580813	1
ENSG00000093144	ENST00000368291	1
ENSG00000094914	ENST00000209873	1
ENSG00000095002	ENST00000233146	1
ENSG00000095059	ENST00000210060	1
ENSG00000095066	ENST00000593143	1
ENSG00000095261	ENST00000210313	1
ENSG00000095485	ENST00000354105	1
ENSG00000095587	ENST00000506028	1
ENSG00000095794	ENST00000344351	1
ENSG00000096006	ENST00000263045	1
ENSG00000096080	ENST00000372116	1
ENSG00000096093	ENST00000371068	1
ENSG00000096654	ENST00000211936	1
ENSG00000097021	ENST00000377855	1
ENSG00000099246	ENST00000356940	1
ENSG00000099337	ENST00000263372	1
ENSG00000099338	ENST00000312265	2
ENSG00000099341	ENST00000620216	1
ENSG00000099364	ENST00000471231	1
ENSG00000099622	ENST00000588030	1
ENSG00000099795	ENST00000215565	1
ENSG00000099810	ENST00000427788	1
ENSG00000099821	ENST00000588649	1
ENSG00000099849	ENST00000528736	1
ENSG00000099917	ENST00000263205	1
ENSG00000099968	ENST00000317582	1
ENSG00000099995	ENST00000215793	1
ENSG00000100023	ENST00000335025	1
ENSG00000100028	ENST00000468770	1
ENSG00000100038	ENST00000357179	1
ENSG00000100055	ENST00000402997	1
ENSG00000100075	ENST00000451283	1
ENSG00000100083	ENST00000343632	1
ENSG00000100101	ENST00000455236	1
ENSG00000100109	ENST00000407431	2
ENSG00000100124	ENST00000215941	1
ENSG00000100129	ENST00000381683	1
ENSG00000100138	ENST00000463675	1
ENSG00000100142	ENST00000405557	1
ENSG00000100151	ENST00000356976	1
ENSG00000100216	ENST00000216034	1
ENSG00000100221	ENST00000545590	1
ENSG00000100225	ENST00000425028	1
ENSG00000100227	ENST00000252115	1
ENSG00000100263	ENST00000414672	1
ENSG00000100266	ENST00000402229	1
ENSG00000100280	ENST00000317368	1
ENSG00000100294	ENST00000290429	1
ENSG00000100296	ENST00000397871	2
ENSG00000100311	ENST00000455790	1
ENSG00000100320	ENST00000262829	1
ENSG00000100325	ENST00000307790	1
ENSG00000100335	ENST00000325301	1
ENSG00000100345	ENST00000216181	1
ENSG00000100347	ENST00000350028	1
ENSG00000100348	ENST00000403313	1
ENSG00000100353	ENST00000432675	2
ENSG00000100354	ENST00000335727	1
ENSG00000100364	ENST00000391627	1
ENSG00000100380	ENST00000216218	1
ENSG00000100393	ENST00000263253	1
ENSG00000100395	ENST00000216237	1
ENSG00000100412	ENST00000216254	1
ENSG00000100445	ENST00000538105	1
ENSG00000100462	ENST00000556043	1
ENSG00000100490	ENST00000216378	1
ENSG00000100554	ENST00000553687	1
ENSG00000100575	ENST00000216463	1
ENSG00000100577	ENST00000393734	1
ENSG00000100578	ENST00000554463	1
ENSG00000100591	ENST00000555133	1
ENSG00000100596	ENST00000216484	1
ENSG00000100601	ENST00000216489	1
ENSG00000100603	ENST00000261531	1
ENSG00000100629	ENST00000554502	1
ENSG00000100632	ENST00000557016	1
ENSG00000100650	ENST00000394366	1
ENSG00000100664	ENST00000216554	1
ENSG00000100697	ENST00000526495	1
ENSG00000100714	ENST00000216605	1
ENSG00000100764	ENST00000543772	1
ENSG00000100883	ENST00000216774	1
ENSG00000100888	ENST00000556833	2
ENSG00000100890	ENST00000603588	1
ENSG00000100897	ENST00000559017	1
ENSG00000100902	ENST00000261479	1
ENSG00000100911	ENST00000558931	2
ENSG00000100916	ENST00000547420	1
ENSG00000100926	ENST00000261789	1
ENSG00000100938	ENST00000355299	1
ENSG00000100949	ENST00000216840	1
ENSG00000100968	ENST00000424781	1
ENSG00000100991	ENST00000451813	1
ENSG00000101017	ENST00000461171	1
ENSG00000101019	ENST00000349714	1
ENSG00000101076	ENST00000316673	1
ENSG00000101096	ENST00000609507	1
ENSG00000101109	ENST00000372801	1
ENSG00000101138	ENST00000217109	1
