ID	Ensembl ID	SiteCount
ENSG00000004766	ENST00000251739	1
ENSG00000008405	ENST00000550633	1
ENSG00000078237	ENST00000179259	1
ENSG00000082641	ENST00000583060	1
ENSG00000088727	ENST00000335044	1
ENSG00000088832	ENST00000400137	1
ENSG00000100100	ENST00000480654	1
ENSG00000100568	ENST00000554659	1
ENSG00000103249	ENST00000262318	1
ENSG00000108861	ENST00000591618	1
ENSG00000110066	ENST00000405515	1
ENSG00000112576	ENST00000372991	1
ENSG00000112685	ENST00000230449	1
ENSG00000114098	ENST00000461822	1
ENSG00000114648	ENST00000232766	1
ENSG00000117410	ENST00000236067	1
ENSG00000119487	ENST00000350766	1
ENSG00000120254	ENST00000618312	1
ENSG00000120451	ENST00000528555	1
ENSG00000124299	ENST00000436370	1
ENSG00000135930	ENST00000454501	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000139719	ENST00000267199	1
ENSG00000140365	ENST00000338995	1
ENSG00000141349	ENST00000269097	1
ENSG00000154305	ENST00000340535	1
ENSG00000154813	ENST00000285082	1
ENSG00000154945	ENST00000285243	1
ENSG00000159131	ENST00000430874	1
ENSG00000159720	ENST00000540149	1
ENSG00000161813	ENST00000517559	1
ENSG00000162441	ENST00000377213	1
ENSG00000165526	ENST00000298317	1
ENSG00000165632	ENST00000344293	1
ENSG00000166016	ENST00000435224	1
ENSG00000168938	ENST00000306442	1
ENSG00000169087	ENST00000306103	1
ENSG00000173614	ENST00000377205	1
ENSG00000174405	ENST00000442234	1
ENSG00000181991	ENST00000353598	1
ENSG00000182481	ENST00000583269	1
ENSG00000186594	ENST00000334146	1
ENSG00000187713	ENST00000343666	1
ENSG00000188566	ENST00000458322	1
ENSG00000197798	ENST00000360194	1
ENSG00000198860	ENST00000367518	1
ENSG00000214706	ENST00000414734	1
ENSG00000256861	ENST00000535844	1
ENSG00000283590	ENST00000344894	1
