ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371582	1
ENSG00000001461	ENST00000003912	1
ENSG00000004700	ENST00000314748	1
ENSG00000004776	ENST00000592984	1
ENSG00000005302	ENST00000380692	1
ENSG00000005700	ENST00000306270	1
ENSG00000005882	ENST00000503176	1
ENSG00000006625	ENST00000005374	1
ENSG00000008838	ENST00000356271	1
ENSG00000009954	ENST00000339594	1
ENSG00000010165	ENST00000361735	1
ENSG00000010270	ENST00000009041	1
ENSG00000011243	ENST00000397410	1
ENSG00000011258	ENST00000591270	1
ENSG00000013364	ENST00000566554	1
ENSG00000020129	ENST00000356090	1
ENSG00000025156	ENST00000368455	1
ENSG00000032219	ENST00000355431	1
ENSG00000038274	ENST00000280969	1
ENSG00000052802	ENST00000261507	1
ENSG00000053108	ENST00000509525	1
ENSG00000054148	ENST00000462205	1
ENSG00000062282	ENST00000604935	1
ENSG00000062582	ENST00000317534	1
ENSG00000063180	ENST00000594088	1
ENSG00000064545	ENST00000587583	1
ENSG00000065621	ENST00000369707	1
ENSG00000068489	ENST00000262293	1
ENSG00000068654	ENST00000409024	1
ENSG00000068903	ENST00000358931	1
ENSG00000069329	ENST00000569950	1
ENSG00000069424	ENST00000493807	1
ENSG00000070269	ENST00000261556	1
ENSG00000070669	ENST00000394309	1
ENSG00000070718	ENST00000174653	1
ENSG00000070761	ENST00000262498	1
ENSG00000071537	ENST00000336735	1
ENSG00000072062	ENST00000308677	1
ENSG00000073803	ENST00000428617	1
ENSG00000074266	ENST00000528180	1
ENSG00000075142	ENST00000394641	1
ENSG00000075702	ENST00000378860	1
ENSG00000076248	ENST00000336865	1
ENSG00000076382	ENST00000321765	1
ENSG00000076513	ENST00000550404	1
ENSG00000077097	ENST00000583412	1
ENSG00000078246	ENST00000397132	1
ENSG00000078487	ENST00000464510	1
ENSG00000079435	ENST00000597001	1
ENSG00000079459	ENST00000220584	1
ENSG00000079462	ENST00000262890	1
ENSG00000081041	ENST00000508487	1
ENSG00000082213	ENST00000325366	1
ENSG00000082996	ENST00000467977	1
ENSG00000084090	ENST00000337288	1
ENSG00000086589	ENST00000521464	1
ENSG00000086666	ENST00000557793	1
ENSG00000087302	ENST00000261700	1
ENSG00000089053	ENST00000261819	1
ENSG00000089157	ENST00000228306	1
ENSG00000089280	ENST00000254108	1
ENSG00000089723	ENST00000203664	1
ENSG00000091009	ENST00000265271	1
ENSG00000091651	ENST00000219097	1
ENSG00000091732	ENST00000471022	1
ENSG00000092199	ENST00000336053	1
ENSG00000092203	ENST00000416256	2
ENSG00000092978	ENST00000366934	1
ENSG00000094880	ENST00000394884	1
ENSG00000095906	ENST00000262302	1
ENSG00000099204	ENST00000392952	1
ENSG00000099889	ENST00000263207	1
ENSG00000100151	ENST00000356976	1
ENSG00000100162	ENST00000402338	1
ENSG00000100211	ENST00000216029	1
ENSG00000100263	ENST00000216085	1
ENSG00000100354	ENST00000301923	1
ENSG00000100360	ENST00000340630	1
ENSG00000100505	ENST00000360392	1
ENSG00000100664	ENST00000559249	1
ENSG00000100836	ENST00000216727	1
ENSG00000100897	ENST00000326009	1
ENSG00000100941	ENST00000216832	1
ENSG00000101040	ENST00000355972	1
ENSG00000101132	ENST00000441080	1
ENSG00000101337	ENST00000217315	1
ENSG00000101473	ENST00000217455	1
ENSG00000102103	ENST00000470062	1
ENSG00000102225	ENST00000357227	1
ENSG00000102554	ENST00000476859	1
ENSG00000102804	ENST00000487881	1
ENSG00000102897	ENST00000219168	1
ENSG00000103018	ENST00000512062	1
ENSG00000103502	ENST00000562041	1
ENSG00000104442	ENST00000276569	1
ENSG00000104529	ENST00000442189	1
ENSG00000104756	ENST00000221200	1
ENSG00000104763	ENST00000636171	1
ENSG00000104824	ENST00000221419	1
ENSG00000104825	ENST00000313582	1
ENSG00000104881	ENST00000418234	1
ENSG00000104946	ENST00000535102	1
ENSG00000104960	ENST00000598632	1
ENSG00000104983	ENST00000536603	1
ENSG00000105011	ENST00000263382	1
ENSG00000105248	ENST00000262962	1
ENSG00000105254	ENST00000392178	1
ENSG00000105258	ENST00000221859	1
ENSG00000105393	ENST00000359435	1
ENSG00000105443	ENST00000427476	1
ENSG00000105617	ENST00000222224	1
ENSG00000105640	ENST00000222247	1
ENSG00000105671	ENST00000247003	1
ENSG00000105672	ENST00000591135	1
ENSG00000105699	ENST00000347609	1
ENSG00000105732	ENST00000359044	1
ENSG00000105856	ENST00000222574	1
ENSG00000105865	ENST00000265720	1
ENSG00000106009	ENST00000469750	1
ENSG00000106028	ENST00000473783	1
ENSG00000106477	ENST00000334451	1
ENSG00000107862	ENST00000369983	1
ENSG00000107949	ENST00000278100	1
ENSG00000108055	ENST00000361804	1
ENSG00000108298	ENST00000225430	1
ENSG00000108389	ENST00000323456	1
ENSG00000108424	ENST00000290158	1
ENSG00000109332	ENST00000508476	1
ENSG00000109775	ENST00000264689	1
ENSG00000109971	ENST00000525463	1
ENSG00000110200	ENST00000539395	1
ENSG00000110274	ENST00000278935	1
ENSG00000110497	ENST00000526606	1
ENSG00000110944	ENST00000619177	1
ENSG00000110955	ENST00000262030	1
ENSG00000111325	ENST00000454694	1
ENSG00000111481	ENST00000262061	1
ENSG00000111540	ENST00000360299	1
ENSG00000111665	ENST00000446553	1
ENSG00000111711	ENST00000229314	1
ENSG00000111817	ENST00000452085	1
ENSG00000112029	ENST00000229758	1
ENSG00000112110	ENST00000367034	1
ENSG00000112118	ENST00000229854	1
ENSG00000112290	ENST00000368938	1
ENSG00000112335	ENST00000230085	1
ENSG00000113360	ENST00000504361	1
ENSG00000113448	ENST00000503258	1
ENSG00000113593	ENST00000261308	1
ENSG00000113597	ENST00000512009	1
ENSG00000113742	ENST00000519467	1
ENSG00000113916	ENST00000470319	1
ENSG00000114439	ENST00000325805	1
ENSG00000115163	ENST00000335756	1
ENSG00000115271	ENST00000429691	1
ENSG00000115561	ENST00000393773	1
ENSG00000116288	ENST00000338639	1
ENSG00000117419	ENST00000372257	1
ENSG00000117461	ENST00000372006	1
ENSG00000117724	ENST00000366955	1
ENSG00000118680	ENST00000237500	1
ENSG00000118705	ENST00000373622	1
ENSG00000118939	ENST00000377595	1
ENSG00000119640	ENST00000238618	1
ENSG00000119685	ENST00000555290	1
ENSG00000119711	ENST00000350259	1
ENSG00000119725	ENST00000540593	1
ENSG00000119917	ENST00000371818	1
ENSG00000119977	ENST00000497399	1
ENSG00000120647	ENST00000239830	1
ENSG00000120709	ENST00000239906	1
ENSG00000120802	ENST00000266732	1
ENSG00000120948	ENST00000439080	1
ENSG00000121022	ENST00000517406	1
ENSG00000121104	ENST00000505159	1
ENSG00000122591	ENST00000432176	1
ENSG00000122787	ENST00000468877	1
ENSG00000122952	ENST00000361148	1
ENSG00000123219	ENST00000396679	1
ENSG00000123353	ENST00000243045	1
ENSG00000123395	ENST00000336854	1
ENSG00000123485	ENST00000411486	1
ENSG00000124177	ENST00000373222	1
ENSG00000124217	ENST00000244051	1
ENSG00000124374	ENST00000244221	1
ENSG00000124444	ENST00000336564	1
ENSG00000124508	ENST00000352867	1
ENSG00000124570	ENST00000335686	1
ENSG00000125107	ENST00000317147	1
ENSG00000125630	ENST00000333990	1
ENSG00000125734	ENST00000264080	1
ENSG00000125746	ENST00000590018	1
ENSG00000125844	ENST00000360807	1
ENSG00000125898	ENST00000304189	1
ENSG00000125945	ENST00000374608	1
ENSG00000125970	ENST00000246194	1
ENSG00000126106	ENST00000372237	1
ENSG00000126215	ENST00000352127	1
ENSG00000126254	ENST00000262633	1
ENSG00000126267	ENST00000246554	1
ENSG00000126457	ENST00000391851	1
ENSG00000127191	ENST00000247668	1
ENSG00000127837	ENST00000248450	1
ENSG00000127948	ENST00000394893	1
ENSG00000128607	ENST00000335420	1
ENSG00000128881	ENST00000564431	1
ENSG00000128951	ENST00000455976	1
ENSG00000129103	ENST00000395436	1
ENSG00000129535	ENST00000558280	1
ENSG00000130311	ENST00000359866	1
ENSG00000130520	ENST00000593829	1
ENSG00000130748	ENST00000253047	1
ENSG00000130816	ENST00000340748	1
ENSG00000130985	ENST00000377351	1
ENSG00000131351	ENST00000598517	1
ENSG00000131558	ENST00000253861	1
ENSG00000131697	ENST00000378156	1
ENSG00000131747	ENST00000423485	1
ENSG00000131944	ENST00000254262	1
ENSG00000132128	ENST00000343304	1
ENSG00000132466	ENST00000509867	1
ENSG00000132676	ENST00000368336	1
ENSG00000132768	ENST00000255108	1
ENSG00000132801	ENST00000255152	1
ENSG00000132912	ENST00000518015	1
ENSG00000133794	ENST00000527998	1
ENSG00000133884	ENST00000532102	1
ENSG00000134057	ENST00000503507	1
ENSG00000134910	ENST00000392708	1
ENSG00000135148	ENST00000257604	1
ENSG00000135211	ENST00000257663	1
ENSG00000135297	ENST00000370305	1
ENSG00000135473	ENST00000257931	1
ENSG00000135506	ENST00000257966	1
ENSG00000135624	ENST00000469844	1
ENSG00000135655	ENST00000353364	1
ENSG00000136048	ENST00000258534	1
ENSG00000136261	ENST00000258761	1
ENSG00000136448	ENST00000592654	1
ENSG00000136485	ENST00000415273	1
ENSG00000136504	ENST00000506533	1
ENSG00000136518	ENST00000392662	1
ENSG00000136560	ENST00000456358	1
ENSG00000137094	ENST00000453597	1
ENSG00000137310	ENST00000376255	1
ENSG00000137509	ENST00000528082	1
ENSG00000137818	ENST00000260379	1
ENSG00000137941	ENST00000260505	1
ENSG00000138095	ENST00000260665	1
ENSG00000138375	ENST00000425815	1
ENSG00000138593	ENST00000559471	1
ENSG00000138641	ENST00000402738	1
ENSG00000139112	ENST00000266458	1
ENSG00000139644	ENST00000267115	1
ENSG00000140299	ENST00000415213	1
ENSG00000140350	ENST00000409628	1
ENSG00000140382	ENST00000558176	1
ENSG00000140396	ENST00000518287	1
ENSG00000140521	ENST00000268124	1
ENSG00000140526	ENST00000352732	1
ENSG00000140534	ENST00000268138	1
ENSG00000140740	ENST00000565464	1
ENSG00000140829	ENST00000579387	1
ENSG00000140830	ENST00000268483	1
ENSG00000141380	ENST00000415083	1
ENSG00000141577	ENST00000269392	1
ENSG00000142002	ENST00000262960	1
ENSG00000142528	ENST00000595661	1
ENSG00000142687	ENST00000426982	1
ENSG00000143079	ENST00000271277	1
ENSG00000143373	ENST00000336715	1
ENSG00000143374	ENST00000369051	1
ENSG00000143401	ENST00000583931	1
ENSG00000143457	ENST00000427665	1
ENSG00000144040	ENST00000472259	1
ENSG00000144589	ENST00000459692	1
ENSG00000145439	ENST00000306193	1
ENSG00000145912	ENST00000314397	1
ENSG00000146242	ENST00000369750	1
ENSG00000146410	ENST00000367784	1
ENSG00000146757	ENST00000328747	1
ENSG00000147082	ENST00000491907	1
ENSG00000147471	ENST00000328195	1
ENSG00000148308	ENST00000372097	1
ENSG00000148950	ENST00000526776	1
ENSG00000150433	ENST00000279968	1
ENSG00000150527	ENST00000341502	1
ENSG00000150753	ENST00000506600	1
ENSG00000150756	ENST00000280330	1
ENSG00000150773	ENST00000280350	1
ENSG00000150776	ENST00000280352	1
ENSG00000152253	ENST00000282074	1
ENSG00000152359	ENST00000428202	1
ENSG00000153015	ENST00000381070	1
ENSG00000153487	ENST00000333219	1
ENSG00000153914	ENST00000380918	1
ENSG00000154814	ENST00000606098	1
ENSG00000155287	ENST00000496035	1
ENSG00000156232	ENST00000286760	1
ENSG00000156471	ENST00000517309	1
ENSG00000156650	ENST00000287239	1
ENSG00000156853	ENST00000287461	1
ENSG00000156858	ENST00000563211	1
ENSG00000156928	ENST00000466681	1
ENSG00000156973	ENST00000287600	1
ENSG00000158402	ENST00000323760	1
ENSG00000158406	ENST00000377727	1
ENSG00000158467	ENST00000466993	1
ENSG00000159079	ENST00000290155	1
ENSG00000159199	ENST00000355938	1
ENSG00000159423	ENST00000432718	1
ENSG00000159685	ENST00000290913	1
ENSG00000160298	ENST00000291691	1
ENSG00000160410	ENST00000291842	1
ENSG00000160688	ENST00000292180	1
ENSG00000160752	ENST00000468479	1
ENSG00000160783	ENST00000368273	1
ENSG00000161011	ENST00000464493	1
ENSG00000161277	ENST00000292894	1
ENSG00000161888	ENST00000423327	1
ENSG00000161960	ENST00000577738	1
ENSG00000162032	ENST00000564070	1
ENSG00000162775	ENST00000487146	1
ENSG00000162814	ENST00000366933	1
ENSG00000162836	ENST00000392988	1
ENSG00000163026	ENST00000295148	1
ENSG00000163362	ENST00000367342	1
ENSG00000163374	ENST00000359205	1
ENSG00000163516	ENST00000323348	1
ENSG00000163558	ENST00000295797	1
ENSG00000163950	ENST00000489418	1
ENSG00000164011	ENST00000372502	1
ENSG00000164649	ENST00000406877	1
ENSG00000164830	ENST00000312046	1
ENSG00000164985	ENST00000380715	1
ENSG00000165119	ENST00000360384	1
ENSG00000165271	ENST00000297990	1
ENSG00000165490	ENST00000524921	1
ENSG00000165568	ENST00000474119	1
ENSG00000165732	ENST00000354185	1
ENSG00000165792	ENST00000382985	1
ENSG00000165934	ENST00000298875	1
ENSG00000166578	ENST00000299732	1
ENSG00000166598	ENST00000299767	1
ENSG00000166747	ENST00000450149	1
ENSG00000166803	ENST00000300035	1
ENSG00000166881	ENST00000300128	1
ENSG00000167130	ENST00000372546	1
ENSG00000167182	ENST00000376741	1
ENSG00000167186	ENST00000321998	1
ENSG00000167302	ENST00000300714	1
ENSG00000167333	ENST00000300747	1
ENSG00000167508	ENST00000301012	1
ENSG00000167595	ENST00000301165	1
ENSG00000167625	ENST00000301215	1
ENSG00000167778	ENST00000301463	1
ENSG00000167797	ENST00000531178	1
ENSG00000167900	ENST00000586613	1
ENSG00000168010	ENST00000321297	1
ENSG00000168038	ENST00000414606	1
ENSG00000168411	ENST00000361070	1
ENSG00000168894	ENST00000306368	1
ENSG00000169223	ENST00000303127	1
ENSG00000170312	ENST00000316629	1
ENSG00000170345	ENST00000303562	1
ENSG00000170633	ENST00000361234	1
ENSG00000170634	ENST00000494922	1
ENSG00000170903	ENST00000530788	1
ENSG00000171033	ENST00000396418	1
ENSG00000171055	ENST00000487919	1
ENSG00000171132	ENST00000476675	1
ENSG00000171148	ENST00000301964	1
ENSG00000171160	ENST00000307450	1
ENSG00000171174	ENST00000302188	1
ENSG00000171552	ENST00000422920	1
ENSG00000171680	ENST00000340850	1
ENSG00000171735	ENST00000303635	1
ENSG00000171877	ENST00000451277	1
ENSG00000171962	ENST00000313838	1
ENSG00000172269	ENST00000442480	1
ENSG00000172273	ENST00000350777	1
ENSG00000172354	ENST00000451587	1
ENSG00000172493	ENST00000307808	1
ENSG00000173041	ENST00000309683	1
ENSG00000173207	ENST00000308987	1
ENSG00000173660	ENST00000311672	1
ENSG00000173801	ENST00000437187	1
ENSG00000174136	ENST00000513185	1
ENSG00000174574	ENST00000372984	1
ENSG00000174851	ENST00000376901	1
ENSG00000175061	ENST00000470491	1
ENSG00000175063	ENST00000243893	1
ENSG00000175104	ENST00000348124	1
ENSG00000175216	ENST00000312055	1
ENSG00000175390	ENST00000309828	1
ENSG00000175581	ENST00000398483	1
ENSG00000175643	ENST00000312499	1
ENSG00000175691	ENST00000314531	1
ENSG00000175792	ENST00000322623	1
ENSG00000176890	ENST00000584122	1
ENSG00000176912	ENST00000323813	1
ENSG00000176953	ENST00000564978	1
ENSG00000177692	ENST00000402202	1
ENSG00000177728	ENST00000579208	1
ENSG00000177822	ENST00000511052	1
ENSG00000178078	ENST00000599736	1
ENSG00000178980	ENST00000509570	1
ENSG00000179218	ENST00000316448	1
ENSG00000179526	ENST00000359551	1
ENSG00000179632	ENST00000322428	1
ENSG00000179889	ENST00000563522	1
ENSG00000180061	ENST00000592891	1
ENSG00000181450	ENST00000343776	1
ENSG00000181458	ENST00000323523	1
ENSG00000181722	ENST00000357258	1
ENSG00000181885	ENST00000538261	1
ENSG00000181991	ENST00000557974	1
ENSG00000182158	ENST00000330387	1
ENSG00000182185	ENST00000390683	1
ENSG00000182903	ENST00000505900	1
ENSG00000182944	ENST00000436425	1
ENSG00000183597	ENST00000401886	1
ENSG00000183648	ENST00000553514	1
ENSG00000183765	ENST00000328354	1
ENSG00000185347	ENST00000354560	1
ENSG00000185359	ENST00000329138	1
ENSG00000185551	ENST00000394171	1
ENSG00000185624	ENST00000331483	1
ENSG00000185670	ENST00000394807	1
ENSG00000185947	ENST00000300870	1
ENSG00000186300	ENST00000334241	1
ENSG00000186815	ENST00000550873	1
ENSG00000186994	ENST00000330915	1
ENSG00000187024	ENST00000543175	1
ENSG00000188229	ENST00000340384	1
ENSG00000188243	ENST00000464050	1
ENSG00000188312	ENST00000375587	1
ENSG00000188811	ENST00000379599	1
ENSG00000189159	ENST00000465454	1
ENSG00000189221	ENST00000542639	1
ENSG00000189283	ENST00000465330	1
ENSG00000189403	ENST00000326004	1
ENSG00000196230	ENST00000327892	1
ENSG00000196262	ENST00000355968	1
ENSG00000196391	ENST00000354377	1
ENSG00000196531	ENST00000549259	1
ENSG00000196591	ENST00000519065	1
ENSG00000196652	ENST00000451158	1
ENSG00000196705	ENST00000311048	1
ENSG00000196747	ENST00000358739	1
ENSG00000196998	ENST00000460501	1
ENSG00000197153	ENST00000359303	1
ENSG00000197162	ENST00000395216	1
ENSG00000197472	ENST00000339986	1
ENSG00000197748	ENST00000369719	1
ENSG00000197852	ENST00000357260	1
ENSG00000197912	ENST00000563783	1
ENSG00000197933	ENST00000341191	1
ENSG00000197965	ENST00000359523	1
ENSG00000198000	ENST00000411621	1
ENSG00000198039	ENST00000395375	1
ENSG00000198130	ENST00000392332	1
ENSG00000198242	ENST00000355731	1
ENSG00000198356	ENST00000357332	1
ENSG00000198369	ENST00000440972	1
ENSG00000198382	ENST00000356136	1
ENSG00000198408	ENST00000439817	1
ENSG00000198520	ENST00000357508	1
ENSG00000198673	ENST00000547941	1
ENSG00000198925	ENST00000361242	1
ENSG00000200156	ENST00000363286	1
ENSG00000203288	ENST00000389897	1
ENSG00000204054	ENST00000419300	1
ENSG00000204070	ENST00000426004	1
ENSG00000204178	ENST00000399766	1
ENSG00000204308	ENST00000375094	1
ENSG00000204314	ENST00000486917	1
ENSG00000204427	ENST00000440843	1
ENSG00000204580	ENST00000515881	1
ENSG00000204624	ENST00000423056	1
ENSG00000205129	ENST00000511138	1
ENSG00000205423	ENST00000427478	1
ENSG00000205683	ENST00000381216	1
ENSG00000213390	ENST00000358308	1
ENSG00000213614	ENST00000567027	1
ENSG00000213904	ENST00000593491	1
ENSG00000214046	ENST00000358726	1
ENSG00000214087	ENST00000397498	1
ENSG00000214198	ENST00000388789	1
ENSG00000215067	ENST00000399540	1
ENSG00000215271	ENST00000357460	1
ENSG00000215845	ENST00000318289	1
ENSG00000218336	ENST00000513201	1
ENSG00000219200	ENST00000546395	1
ENSG00000221821	ENST00000408925	1
ENSG00000221988	ENST00000324816	1
ENSG00000224032	ENST00000442823	1
ENSG00000224165	ENST00000421904	1
ENSG00000224877	ENST00000431388	1
ENSG00000225945	ENST00000415890	1
ENSG00000226763	ENST00000607544	1
ENSG00000227963	ENST00000449169	1
ENSG00000228192	ENST00000414798	1
ENSG00000228481	ENST00000423120	1
ENSG00000233203	ENST00000433690	1
ENSG00000233360	ENST00000456099	1
ENSG00000233822	ENST00000449538	1
ENSG00000234162	ENST00000423727	1
ENSG00000234183	ENST00000443162	1
ENSG00000239382	ENST00000252984	1
ENSG00000239779	ENST00000233615	1
ENSG00000242242	ENST00000474769	1
ENSG00000242798	ENST00000494221	1
ENSG00000244038	ENST00000375048	1
ENSG00000246705	ENST00000389078	1
ENSG00000246763	ENST00000505677	1
ENSG00000247092	ENST00000500370	1
ENSG00000247675	ENST00000502049	1
ENSG00000248101	ENST00000473572	1
ENSG00000249592	ENST00000503185	1
