ID	Ensembl ID	SiteCount
ENSG00000000460	ENST00000359326	1
ENSG00000002016	ENST00000358495	1
ENSG00000003056	ENST00000536844	1
ENSG00000004455	ENST00000354858	1
ENSG00000004487	ENST00000356634	1
ENSG00000004897	ENST00000066544	1
ENSG00000005075	ENST00000292614	1
ENSG00000005436	ENST00000472230	1
ENSG00000005844	ENST00000564935	1
ENSG00000007392	ENST00000494545	1
ENSG00000008128	ENST00000357760	1
ENSG00000008277	ENST00000398201	1
ENSG00000008988	ENST00000009589	1
ENSG00000010219	ENST00000537719	1
ENSG00000010282	ENST00000310417	1
ENSG00000010295	ENST00000615885	1
ENSG00000011052	ENST00000376392	1
ENSG00000011132	ENST00000316757	1
ENSG00000011243	ENST00000593845	1
ENSG00000012124	ENST00000598537	1
ENSG00000012171	ENST00000418576	1
ENSG00000012174	ENST00000365779	1
ENSG00000014164	ENST00000262577	1
ENSG00000018510	ENST00000409888	1
ENSG00000020426	ENST00000261245	1
ENSG00000021574	ENST00000345662	1
ENSG00000021776	ENST00000543879	1
ENSG00000022277	ENST00000395881	1
ENSG00000022567	ENST00000024061	1
ENSG00000023902	ENST00000369124	1
ENSG00000028839	ENST00000237264	1
ENSG00000034693	ENST00000367592	1
ENSG00000036257	ENST00000536702	1
ENSG00000038219	ENST00000040738	1
ENSG00000038358	ENST00000358933	1
ENSG00000039319	ENST00000510995	1
ENSG00000042493	ENST00000415012	1
ENSG00000048544	ENST00000053468	1
ENSG00000051180	ENST00000267868	1
ENSG00000052723	ENST00000060969	1
ENSG00000054356	ENST00000477819	1
ENSG00000054598	ENST00000380874	1
ENSG00000058056	ENST00000496897	1
ENSG00000058673	ENST00000332127	1
ENSG00000059588	ENST00000040877	1
ENSG00000059804	ENST00000476634	1
ENSG00000063015	ENST00000335960	1
ENSG00000063854	ENST00000397356	1
ENSG00000064199	ENST00000227135	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000064601	ENST00000191018	1
ENSG00000064652	ENST00000261369	1
ENSG00000065802	ENST00000473306	1
ENSG00000065809	ENST00000378458	1
ENSG00000066248	ENST00000264051	1
ENSG00000066557	ENST00000370952	1
ENSG00000067533	ENST00000366932	1
ENSG00000067596	ENST00000262415	1
ENSG00000067606	ENST00000497183	1
ENSG00000068305	ENST00000338042	1
ENSG00000068745	ENST00000413654	1
ENSG00000069018	ENST00000352189	1
ENSG00000069702	ENST00000417833	1
