ID	Ensembl ID	SiteCount
ENSG00000003400	ENST00000272879	1
ENSG00000004059	ENST00000459680	1
ENSG00000004866	ENST00000489293	1
ENSG00000006282	ENST00000006658	1
ENSG00000006715	ENST00000466017	1
ENSG00000008838	ENST00000495586	1
ENSG00000009830	ENST00000554767	1
ENSG00000009844	ENST00000452973	1
ENSG00000009950	ENST00000488212	1
ENSG00000011275	ENST00000389902	1
ENSG00000011566	ENST00000437545	1
ENSG00000012171	ENST00000418576	1
ENSG00000012983	ENST00000554273	1
ENSG00000014216	ENST00000529133	1
ENSG00000014257	ENST00000507647	1
ENSG00000021776	ENST00000156471	1
ENSG00000027075	ENST00000557559	1
ENSG00000033011	ENST00000592661	1
ENSG00000047346	ENST00000568863	1
ENSG00000048342	ENST00000634028	1
ENSG00000050426	ENST00000551477	1
ENSG00000060140	ENST00000075503	1
ENSG00000061938	ENST00000433111	1
ENSG00000064042	ENST00000505705	1
ENSG00000064961	ENST00000483417	1
ENSG00000065357	ENST00000331886	1
ENSG00000066084	ENST00000549620	1
ENSG00000067596	ENST00000592258	1
ENSG00000068079	ENST00000246911	1
ENSG00000069966	ENST00000559348	1
ENSG00000070061	ENST00000467959	1
ENSG00000070366	ENST00000570659	1
ENSG00000073146	ENST00000354853	1
ENSG00000074201	ENST00000526761	1
ENSG00000074416	ENST00000476654	1
ENSG00000074621	ENST00000425561	1
ENSG00000075826	ENST00000484848	1
ENSG00000076108	ENST00000550730	1
ENSG00000077150	ENST00000428099	1
ENSG00000077684	ENST00000511647	1
ENSG00000079101	ENST00000338387	1
ENSG00000079337	ENST00000488250	1
ENSG00000079691	ENST00000461945	1
ENSG00000080823	ENST00000522867	1
ENSG00000081014	ENST00000261842	1
ENSG00000081307	ENST00000356232	1
ENSG00000081853	ENST00000528330	1
ENSG00000082458	ENST00000374355	1
ENSG00000082684	ENST00000475244	1
ENSG00000082781	ENST00000608657	1
ENSG00000083097	ENST00000237163	1
ENSG00000083642	ENST00000315596	1
ENSG00000083720	ENST00000509987	1
ENSG00000085644	ENST00000573771	1
ENSG00000085978	ENST00000347464	1
ENSG00000086159	ENST00000489786	1
ENSG00000087076	ENST00000595764	1
ENSG00000087460	ENST00000313949	1
ENSG00000088356	ENST00000202017	1
ENSG00000088876	ENST00000358413	1
ENSG00000089163	ENST00000202967	1
ENSG00000089289	ENST00000342206	1
ENSG00000090020	ENST00000447808	1
ENSG00000090554	ENST00000204637	1
ENSG00000090612	ENST00000228289	1
ENSG00000092140	ENST00000549159	1
ENSG00000094914	ENST00000209873	1
ENSG00000095380	ENST00000461452	1
ENSG00000095794	ENST00000374726	1
ENSG00000097033	ENST00000370558	1
ENSG00000099338	ENST00000409235	1
ENSG00000099377	ENST00000262520	1
ENSG00000099904	ENST00000436518	1
ENSG00000100083	ENST00000475445	1
ENSG00000100092	ENST00000471650	1
ENSG00000100417	ENST00000482178	1
ENSG00000100997	ENST00000481556	1
ENSG00000101019	ENST00000472559	1
ENSG00000101246	ENST00000609537	1
ENSG00000101342	ENST00000436941	1
ENSG00000101972	ENST00000218089	1
ENSG00000102978	ENST00000562599	1
ENSG00000103066	ENST00000562449	1
ENSG00000103168	ENST00000341690	1
ENSG00000103351	ENST00000341633	1
ENSG00000103528	ENST00000562274	1
ENSG00000103544	ENST00000535164	1
ENSG00000103742	ENST00000558048	1
ENSG00000103942	ENST00000558090	1
ENSG00000104218	ENST00000262210	1
ENSG00000104221	ENST00000220659	1
ENSG00000104320	ENST00000265433	1
ENSG00000104626	ENST00000250263	1
ENSG00000104870	ENST00000596147	1
ENSG00000104886	ENST00000588356	1
ENSG00000104897	ENST00000221494	1
ENSG00000105011	ENST00000263382	1
ENSG00000105323	ENST00000352456	1
ENSG00000105613	ENST00000590204	1
ENSG00000105643	ENST00000595712	1
ENSG00000105701	ENST00000597611	1
ENSG00000105819	ENST00000249269	1
ENSG00000105849	ENST00000222567	1
ENSG00000106355	ENST00000223084	1
ENSG00000106541	ENST00000450569	1
ENSG00000107331	ENST00000614293	1
ENSG00000107798	ENST00000428800	1
ENSG00000108039	ENST00000472336	1
ENSG00000108465	ENST00000578663	1
ENSG00000108587	ENST00000225724	1
ENSG00000108604	ENST00000581832	1
ENSG00000108641	ENST00000574508	1
ENSG00000108651	ENST00000261708	1
ENSG00000108883	ENST00000585616	1
ENSG00000109390	ENST00000503997	1
ENSG00000109452	ENST00000506788	1
ENSG00000109576	ENST00000353187	1
ENSG00000110680	ENST00000494746	1
ENSG00000110697	ENST00000528559	1
