ID	Ensembl ID	SiteCount
ENSG00000002016	ENST00000358495	1
ENSG00000002330	ENST00000309032	1
ENSG00000002549	ENST00000508497	1
ENSG00000002586	ENST00000381180	1
ENSG00000003056	ENST00000000412	1
ENSG00000003393	ENST00000409632	1
ENSG00000003402	ENST00000433445	1
ENSG00000003509	ENST00000002125	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000354858	1
ENSG00000004478	ENST00000001008	1
ENSG00000004487	ENST00000356634	1
ENSG00000004779	ENST00000007516	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000265631	1
ENSG00000004866	ENST00000489293	1
ENSG00000004961	ENST00000321143	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000005386	1
ENSG00000005189	ENST00000261377	1
ENSG00000005194	ENST00000394391	1
ENSG00000005339	ENST00000262367	1
ENSG00000005436	ENST00000472230	2
ENSG00000005471	ENST00000359206	1
ENSG00000005486	ENST00000468304	1
ENSG00000005700	ENST00000306270	1
ENSG00000005961	ENST00000588098	1
ENSG00000006025	ENST00000007414	1
ENSG00000006118	ENST00000005286	1
ENSG00000006125	ENST00000590432	1
ENSG00000006194	ENST00000219069	1
ENSG00000006282	ENST00000006658	1
ENSG00000006377	ENST00000518156	1
ENSG00000006530	ENST00000473247	1
ENSG00000006634	ENST00000495067	1
ENSG00000006695	ENST00000261643	1
ENSG00000006715	ENST00000265745	1
ENSG00000006744	ENST00000338034	1
ENSG00000007047	ENST00000587566	1
ENSG00000007392	ENST00000418978	1
ENSG00000007923	ENST00000294401	1
ENSG00000008128	ENST00000357760	1
ENSG00000008513	ENST00000519924	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009307	ENST00000261443	1
ENSG00000009724	ENST00000400897	1
ENSG00000009950	ENST00000313375	1
ENSG00000010219	ENST00000537719	1
ENSG00000010256	ENST00000412343	1
ENSG00000010282	ENST00000310417	1
ENSG00000010319	ENST00000231721	1
ENSG00000011009	ENST00000374502	1
ENSG00000011052	ENST00000376392	1
ENSG00000011198	ENST00000458276	1
ENSG00000011275	ENST00000389902	1
ENSG00000011295	ENST00000466729	1
ENSG00000011376	ENST00000265537	1
ENSG00000011566	ENST00000263881	1
ENSG00000012061	ENST00000340192	1
ENSG00000012171	ENST00000418576	1
ENSG00000012174	ENST00000365779	1
ENSG00000012963	ENST00000553674	1
ENSG00000013275	ENST00000157812	1
ENSG00000013288	ENST00000505907	1
ENSG00000013374	ENST00000468404	1
ENSG00000014164	ENST00000262577	1
ENSG00000014257	ENST00000507647	1
ENSG00000014824	ENST00000264451	1
ENSG00000014919	ENST00000016171	1
ENSG00000015479	ENST00000502499	1
ENSG00000016391	ENST00000315251	1
ENSG00000016864	ENST00000266014	1
ENSG00000018510	ENST00000264167	1
ENSG00000018610	ENST00000320339	1
ENSG00000020426	ENST00000261245	1
ENSG00000021355	ENST00000460260	1
ENSG00000021776	ENST00000156471	1
ENSG00000022277	ENST00000023939	1
ENSG00000022567	ENST00000024061	1
ENSG00000022976	ENST00000442396	1
ENSG00000023330	ENST00000310271	1
ENSG00000023892	ENST00000316637	1
ENSG00000025293	ENST00000374012	1
ENSG00000025434	ENST00000395397	1
ENSG00000025770	ENST00000299821	1
ENSG00000025772	ENST00000372813	1
ENSG00000025796	ENST00000369002	1
ENSG00000027001	ENST00000382172	1
