ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001036	ENST00000002165	1
ENSG00000002746	ENST00000471043	1
ENSG00000002834	ENST00000318008	1
ENSG00000004142	ENST00000540200	1
ENSG00000004975	ENST00000005340	1
ENSG00000005001	ENST00000161006	1
ENSG00000005108	ENST00000423059	1
ENSG00000005436	ENST00000472230	1
ENSG00000005884	ENST00000007722	1
ENSG00000005961	ENST00000592462	1
ENSG00000006016	ENST00000593286	1
ENSG00000006282	ENST00000505559	1
ENSG00000006634	ENST00000430279	1
ENSG00000007047	ENST00000587566	1
ENSG00000007062	ENST00000502501	1
ENSG00000007080	ENST00000445755	1
ENSG00000007372	ENST00000379129	1
ENSG00000008952	ENST00000337002	1
ENSG00000009335	ENST00000348165	1
ENSG00000010017	ENST00000011619	1
ENSG00000011258	ENST00000405860	1
ENSG00000011405	ENST00000531428	1
ENSG00000013374	ENST00000413040	1
ENSG00000013375	ENST00000506587	1
ENSG00000013561	ENST00000506004	1
ENSG00000015153	ENST00000547622	1
ENSG00000015676	ENST00000497978	1
ENSG00000018408	ENST00000475579	1
ENSG00000019485	ENST00000424263	1
ENSG00000021574	ENST00000315285	1
ENSG00000022840	ENST00000538796	1
ENSG00000023330	ENST00000310271	1
ENSG00000024422	ENST00000263277	1
ENSG00000025039	ENST00000369415	1
ENSG00000026025	ENST00000478746	1
ENSG00000026103	ENST00000477270	1
ENSG00000028310	ENST00000466684	1
ENSG00000028528	ENST00000261889	1
ENSG00000029534	ENST00000289734	1
ENSG00000030419	ENST00000452786	1
ENSG00000033050	ENST00000222388	1
ENSG00000034533	ENST00000504725	1
ENSG00000034677	ENST00000341084	1
ENSG00000034693	ENST00000367592	1
ENSG00000035115	ENST00000356150	1
ENSG00000037241	ENST00000265100	1
ENSG00000038295	ENST00000513213	1
ENSG00000039650	ENST00000595792	1
ENSG00000040633	ENST00000571362	1
ENSG00000040731	ENST00000264463	1
ENSG00000042088	ENST00000553527	1
ENSG00000043143	ENST00000395003	1
ENSG00000044115	ENST00000517980	1
ENSG00000044524	ENST00000452448	1
ENSG00000046604	ENST00000261590	1
ENSG00000046653	ENST00000398361	1
ENSG00000047617	ENST00000546188	1
