ID	Ensembl ID	SiteCount
ENSG00000002822	ENST00000399654	1
ENSG00000007923	ENST00000426784	1
ENSG00000010292	ENST00000315579	1
ENSG00000012061	ENST00000423698	1
ENSG00000015676	ENST00000355451	1
ENSG00000023041	ENST00000369404	1
ENSG00000032219	ENST00000355431	1
ENSG00000036549	ENST00000370801	1
ENSG00000037749	ENST00000322602	1
ENSG00000042317	ENST00000045347	1
ENSG00000055147	ENST00000351797	1
ENSG00000058272	ENST00000450142	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000065618	ENST00000353479	1
ENSG00000068120	ENST00000393818	1
ENSG00000068724	ENST00000409245	1
ENSG00000070018	ENST00000535731	1
ENSG00000072778	ENST00000580365	1
ENSG00000074071	ENST00000177742	1
ENSG00000074855	ENST00000159087	1
ENSG00000075131	ENST00000261881	1
ENSG00000076242	ENST00000456676	1
ENSG00000076321	ENST00000209884	1
ENSG00000079785	ENST00000617198	1
ENSG00000083838	ENST00000594369	1
ENSG00000084073	ENST00000372759	1
ENSG00000086758	ENST00000342160	1
ENSG00000087085	ENST00000441605	1
ENSG00000088876	ENST00000381253	1
ENSG00000089053	ENST00000536837	1
ENSG00000089157	ENST00000313104	1
ENSG00000090097	ENST00000489595	1
ENSG00000092199	ENST00000336053	1
ENSG00000092203	ENST00000447695	1
ENSG00000095906	ENST00000262302	1
ENSG00000100348	ENST00000403313	1
ENSG00000100591	ENST00000555133	1
ENSG00000101391	ENST00000339269	1
ENSG00000102738	ENST00000323563	1
ENSG00000103671	ENST00000261884	1
ENSG00000104047	ENST00000251250	1
ENSG00000104218	ENST00000521919	1
ENSG00000104221	ENST00000220659	1
ENSG00000105193	ENST00000251453	1
ENSG00000105568	ENST00000322088	1
ENSG00000105607	ENST00000222214	1
ENSG00000105617	ENST00000222224	1
ENSG00000105618	ENST00000445124	1
ENSG00000105619	ENST00000391759	1
ENSG00000105669	ENST00000262812	1
ENSG00000105948	ENST00000343187	1
ENSG00000105963	ENST00000463358	1
ENSG00000106028	ENST00000473783	1
ENSG00000106336	ENST00000465843	1
ENSG00000107077	ENST00000381306	1
ENSG00000108666	ENST00000225805	1
ENSG00000108826	ENST00000507088	1
ENSG00000108946	ENST00000392711	1
ENSG00000109079	ENST00000226225	1
ENSG00000109680	ENST00000502873	1
ENSG00000110048	ENST00000263847	1
ENSG00000110906	ENST00000228495	1
ENSG00000110917	ENST00000228506	1
ENSG00000111203	ENST00000537851	1
ENSG00000111445	ENST00000392542	1
ENSG00000111615	ENST00000229214	1
ENSG00000111639	ENST00000540949	1
ENSG00000111641	ENST00000322166	1
ENSG00000112282	ENST00000354577	1
ENSG00000112855	ENST00000230771	1
ENSG00000112981	ENST00000514481	1
ENSG00000113649	ENST00000296702	1
ENSG00000113916	ENST00000406870	1
ENSG00000114107	ENST00000470159	1
ENSG00000114735	ENST00000448997	1
ENSG00000114779	ENST00000461108	1
ENSG00000115128	ENST00000233468	1
ENSG00000115239	ENST00000470916	1
ENSG00000115274	ENST00000233331	1
ENSG00000115286	ENST00000313408	1
ENSG00000116171	ENST00000435345	1
ENSG00000116833	ENST00000236914	1
ENSG00000116977	ENST00000323938	1
ENSG00000117395	ENST00000236051	1
ENSG00000117450	ENST00000372079	1
ENSG00000117620	ENST00000465289	1
ENSG00000117697	ENST00000366976	1
ENSG00000118162	ENST00000594208	1
ENSG00000118564	ENST00000507899	1
ENSG00000118705	ENST00000373622	1
ENSG00000119541	ENST00000238497	1
ENSG00000119574	ENST00000600990	1
ENSG00000120008	ENST00000605069	1
ENSG00000121022	ENST00000357849	1
ENSG00000121621	ENST00000263181	1
ENSG00000122406	ENST00000315741	1
ENSG00000123353	ENST00000550836	1
ENSG00000123444	ENST00000395288	1
ENSG00000124222	ENST00000312283	1
ENSG00000125818	ENST00000246015	1
ENSG00000125846	ENST00000396026	1
ENSG00000126460	ENST00000596877	1
ENSG00000127580	ENST00000248142	1
ENSG00000127870	ENST00000468480	1
ENSG00000127989	ENST00000425936	1
ENSG00000128590	ENST00000491582	1
ENSG00000129028	ENST00000560604	1
ENSG00000129696	ENST00000431156	1
ENSG00000130299	ENST00000361619	1
ENSG00000131351	ENST00000598517	1
ENSG00000131446	ENST00000506033	1
ENSG00000131469	ENST00000589037	1
ENSG00000131475	ENST00000589520	1
ENSG00000131504	ENST00000518484	1
ENSG00000131732	ENST00000254037	1
ENSG00000133706	ENST00000394434	1
ENSG00000133983	ENST00000389912	1
ENSG00000134001	ENST00000256383	1
ENSG00000135482	ENST00000546903	1
ENSG00000135535	ENST00000275080	1
ENSG00000135655	ENST00000280377	1
ENSG00000135974	ENST00000258457	1
ENSG00000136243	ENST00000410002	1
ENSG00000136261	ENST00000258761	1
ENSG00000136273	ENST00000258774	1
ENSG00000136518	ENST00000392662	1
ENSG00000137154	ENST00000380381	1
ENSG00000137806	ENST00000260361	1
ENSG00000137814	ENST00000260372	1
ENSG00000137821	ENST00000260382	1
ENSG00000138592	ENST00000558892	1
ENSG00000138593	ENST00000559471	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000139641	ENST00000551790	1
ENSG00000139726	ENST00000537955	1
ENSG00000140612	ENST00000455959	1
ENSG00000141013	ENST00000268699	1
ENSG00000141376	ENST00000390652	1
ENSG00000142546	ENST00000339093	1
ENSG00000142856	ENST00000271002	1
ENSG00000143033	ENST00000370298	1
ENSG00000143164	ENST00000432587	1
ENSG00000143183	ENST00000367881	1
ENSG00000143228	ENST00000271452	1
ENSG00000143248	ENST00000428971	1
ENSG00000143374	ENST00000369054	1
ENSG00000143891	ENST00000410063	1
ENSG00000145592	ENST00000504562	1
ENSG00000145860	ENST00000520548	1
ENSG00000146007	ENST00000506644	1
ENSG00000146063	ENST00000515499	1
ENSG00000148356	ENST00000300417	1
ENSG00000149016	ENST00000308436	1
ENSG00000149179	ENST00000278460	1
ENSG00000149823	ENST00000279281	2
ENSG00000149927	ENST00000574405	1
ENSG00000149948	ENST00000541363	1
ENSG00000150773	ENST00000280350	1
ENSG00000150776	ENST00000280352	1
ENSG00000151148	ENST00000342494	1
ENSG00000151532	ENST00000393077	1
ENSG00000152700	ENST00000439578	1
ENSG00000153006	ENST00000495198	1
ENSG00000154305	ENST00000495210	1
ENSG00000156261	ENST00000431234	1
ENSG00000159079	ENST00000300260	1
ENSG00000159086	ENST00000331923	1
ENSG00000160688	ENST00000292180	1
ENSG00000162032	ENST00000564070	1
ENSG00000162244	ENST00000466397	1
ENSG00000163214	ENST00000457308	1
ENSG00000163312	ENST00000295488	1
ENSG00000163319	ENST00000295491	1
ENSG00000163516	ENST00000436226	1
ENSG00000164284	ENST00000329271	1
ENSG00000165055	ENST00000262432	1
ENSG00000165630	ENST00000320054	1
ENSG00000165733	ENST00000374518	1
ENSG00000166226	ENST00000543146	1
ENSG00000166262	ENST00000299338	1
ENSG00000166352	ENST00000334307	1
ENSG00000166578	ENST00000299732	1
ENSG00000166887	ENST00000348544	1
ENSG00000166902	ENST00000531802	1
ENSG00000167088	ENST00000579618	1
ENSG00000167113	ENST00000300452	1
ENSG00000167196	ENST00000308275	1
ENSG00000167272	ENST00000341039	1
ENSG00000167447	ENST00000300917	1
ENSG00000167550	ENST00000550675	1
ENSG00000167925	ENST00000414034	1
ENSG00000168275	ENST00000366612	1
ENSG00000168303	ENST00000306984	1
ENSG00000168818	ENST00000306200	1
ENSG00000169223	ENST00000502560	1
ENSG00000169519	ENST00000403099	1
ENSG00000170421	ENST00000546826	1
ENSG00000170445	ENST00000307633	1
ENSG00000170633	ENST00000361234	1
ENSG00000170855	ENST00000302432	1
ENSG00000170906	ENST00000303553	1
