ID	Ensembl ID	SiteCount
ENSG00000000460	ENST00000359326	1
ENSG00000001084	ENST00000504525	1
ENSG00000002822	ENST00000399654	1
ENSG00000004142	ENST00000540200	1
ENSG00000004478	ENST00000543769	1
ENSG00000004487	ENST00000356634	1
ENSG00000004866	ENST00000489293	1
ENSG00000006530	ENST00000473247	1
ENSG00000006652	ENST00000005558	1
ENSG00000007047	ENST00000587566	1
ENSG00000008988	ENST00000009589	1
ENSG00000011052	ENST00000376392	1
ENSG00000011376	ENST00000414984	1
ENSG00000012174	ENST00000365779	1
ENSG00000013523	ENST00000556298	1
ENSG00000018610	ENST00000320339	1
ENSG00000021776	ENST00000543879	1
ENSG00000025434	ENST00000395397	1
ENSG00000034693	ENST00000367592	1
ENSG00000038358	ENST00000572221	1
ENSG00000041802	ENST00000265245	1
ENSG00000042445	ENST00000295802	1
ENSG00000048162	ENST00000614830	1
ENSG00000048544	ENST00000053468	1
ENSG00000057252	ENST00000539888	1
ENSG00000058668	ENST00000367218	1
ENSG00000063176	ENST00000245222	1
ENSG00000064419	ENST00000265388	1
ENSG00000066379	ENST00000332435	1
ENSG00000066697	ENST00000613183	1
ENSG00000067221	ENST00000316900	1
ENSG00000067533	ENST00000366932	1
ENSG00000074356	ENST00000389005	1
ENSG00000076321	ENST00000209884	1
ENSG00000083099	ENST00000517396	1
ENSG00000083720	ENST00000510634	1
ENSG00000086598	ENST00000262225	1
ENSG00000087088	ENST00000345358	1
ENSG00000088833	ENST00000353088	1
ENSG00000090263	ENST00000324787	1
ENSG00000090554	ENST00000204637	1
ENSG00000090612	ENST00000228289	1
ENSG00000090615	ENST00000456883	1
ENSG00000091947	ENST00000206380	1
ENSG00000099622	ENST00000320936	1
ENSG00000099795	ENST00000215565	1
ENSG00000099899	ENST00000403707	1
ENSG00000099901	ENST00000402752	1
ENSG00000100038	ENST00000357179	1
ENSG00000100216	ENST00000216034	1
ENSG00000100362	ENST00000406910	1
ENSG00000102738	ENST00000323563	1
ENSG00000102763	ENST00000281496	1
ENSG00000102870	ENST00000262525	1
ENSG00000102978	ENST00000562599	1
ENSG00000103091	ENST00000562331	1
