ID	Ensembl ID	SiteCount
ENSG00000000003	ENST00000373020	2
ENSG00000000460	ENST00000359326	1
ENSG00000000971	ENST00000359637	1
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000229416	1
ENSG00000001461	ENST00000339255	1
ENSG00000001617	ENST00000413852	1
ENSG00000001630	ENST00000003100	1
ENSG00000001631	ENST00000412043	2
ENSG00000002016	ENST00000358495	1
ENSG00000002330	ENST00000493798	1
ENSG00000002549	ENST00000226299	1
ENSG00000002586	ENST00000381187	2
ENSG00000002745	ENST00000361301	1
ENSG00000002746	ENST00000464944	1
ENSG00000002822	ENST00000399654	2
ENSG00000002834	ENST00000318008	1
ENSG00000002919	ENST00000584335	2
ENSG00000003056	ENST00000000412	2
ENSG00000003096	ENST00000469946	1
ENSG00000003147	ENST00000396675	2
ENSG00000003249	ENST00000304733	1
ENSG00000003393	ENST00000409632	1
ENSG00000003400	ENST00000272879	1
ENSG00000003402	ENST00000342795	1
ENSG00000003436	ENST00000392365	2
ENSG00000003509	ENST00000002125	1
ENSG00000003989	ENST00000470360	1
ENSG00000004059	ENST00000000233	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000354858	2
ENSG00000004478	ENST00000001008	1
ENSG00000004487	ENST00000356634	2
ENSG00000004534	ENST00000425608	1
ENSG00000004660	ENST00000573483	1
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000251739	1
ENSG00000004777	ENST00000221905	1
ENSG00000004779	ENST00000007516	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000265631	1
ENSG00000004866	ENST00000420755	1
ENSG00000004897	ENST00000527547	1
ENSG00000004948	ENST00000421592	1
ENSG00000004961	ENST00000380762	1
ENSG00000004975	ENST00000575458	2
ENSG00000005001	ENST00000576381	2
ENSG00000005020	ENST00000481204	1
ENSG00000005022	ENST00000317881	1
ENSG00000005059	ENST00000394650	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005108	ENST00000423059	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000005386	1
ENSG00000005189	ENST00000348433	1
ENSG00000005194	ENST00000565786	2
ENSG00000005206	ENST00000585725	1
ENSG00000005238	ENST00000322813	1
ENSG00000005302	ENST00000380692	1
ENSG00000005421	ENST00000470502	1
ENSG00000005436	ENST00000472230	3
ENSG00000005448	ENST00000469321	1
ENSG00000005469	ENST00000331536	1
ENSG00000005483	ENST00000257745	2
ENSG00000005486	ENST00000006777	1
ENSG00000005801	ENST00000005082	1
ENSG00000005812	ENST00000355619	1
ENSG00000005844	ENST00000564935	1
ENSG00000005882	ENST00000503176	1
ENSG00000005884	ENST00000320031	1
ENSG00000005893	ENST00000200639	1
ENSG00000005961	ENST00000587295	1
ENSG00000006015	ENST00000358607	1
ENSG00000006016	ENST00000594325	1
ENSG00000006025	ENST00000007414	2
ENSG00000006042	ENST00000261713	1
ENSG00000006047	ENST00000571834	1
ENSG00000006118	ENST00000005286	2
ENSG00000006125	ENST00000588093	1
ENSG00000006194	ENST00000538765	1
ENSG00000006282	ENST00000502911	2
ENSG00000006283	ENST00000442258	1
ENSG00000006327	ENST00000573001	1
ENSG00000006377	ENST00000493273	2
ENSG00000006451	ENST00000005257	1
ENSG00000006453	ENST00000005260	1
ENSG00000006468	ENST00000443137	2
ENSG00000006530	ENST00000473884	2
ENSG00000006534	ENST00000615368	2
ENSG00000006576	ENST00000275575	1
ENSG00000006607	ENST00000444371	1
ENSG00000006634	ENST00000430279	2
ENSG00000006652	ENST00000476927	2
ENSG00000006695	ENST00000261643	2
ENSG00000006704	ENST00000265755	1
ENSG00000006715	ENST00000265745	1
ENSG00000006740	ENST00000340825	2
ENSG00000006744	ENST00000338034	1
ENSG00000006747	ENST00000341757	2
ENSG00000006756	ENST00000217890	1
ENSG00000006757	ENST00000381042	1
ENSG00000006831	ENST00000540974	1
ENSG00000006837	ENST00000519312	1
ENSG00000007001	ENST00000605860	1
ENSG00000007047	ENST00000587566	2
ENSG00000007080	ENST00000445755	1
ENSG00000007174	ENST00000262442	1
ENSG00000007202	ENST00000389003	1
ENSG00000007237	ENST00000581112	1
ENSG00000007264	ENST00000591059	1
