ID	Ensembl ID	SiteCount
ENSG00000001167	ENST00000341376	1
ENSG00000002919	ENST00000582104	1
ENSG00000003402	ENST00000423241	1
ENSG00000005700	ENST00000306270	1
ENSG00000006118	ENST00000005286	1
ENSG00000006744	ENST00000338034	1
ENSG00000007062	ENST00000514967	1
ENSG00000008128	ENST00000357760	1
ENSG00000008952	ENST00000337002	1
ENSG00000010072	ENST00000295050	1
ENSG00000010292	ENST00000315579	1
ENSG00000018510	ENST00000409888	1
ENSG00000028203	ENST00000546365	1
ENSG00000028528	ENST00000261889	1
ENSG00000029363	ENST00000353331	1
ENSG00000033030	ENST00000633063	1
ENSG00000036257	ENST00000344951	1
ENSG00000036549	ENST00000370801	1
ENSG00000037042	ENST00000251412	1
ENSG00000037241	ENST00000265100	1
ENSG00000038002	ENST00000264595	1
ENSG00000038358	ENST00000358933	1
ENSG00000040275	ENST00000265295	1
ENSG00000044115	ENST00000523912	1
ENSG00000046651	ENST00000340096	1
ENSG00000046889	ENST00000288368	1
ENSG00000047249	ENST00000359530	1
ENSG00000047621	ENST00000261250	1
ENSG00000052723	ENST00000060969	1
ENSG00000053372	ENST00000493700	1
ENSG00000055732	ENST00000341115	1
ENSG00000056586	ENST00000335387	1
ENSG00000057608	ENST00000380181	1
ENSG00000058272	ENST00000450142	1
ENSG00000061987	ENST00000549286	1
ENSG00000062716	ENST00000585847	1
ENSG00000063854	ENST00000566709	1
ENSG00000065457	ENST00000307921	1
ENSG00000065491	ENST00000373491	1
ENSG00000066136	ENST00000372654	1
ENSG00000066855	ENST00000262146	1
ENSG00000066933	ENST00000564931	1
ENSG00000067836	ENST00000322048	1
ENSG00000068120	ENST00000393818	1
ENSG00000068885	ENST00000465537	1
ENSG00000069018	ENST00000352189	1
ENSG00000070018	ENST00000535731	1
ENSG00000070047	ENST00000264555	1
ENSG00000071462	ENST00000265758	1
ENSG00000073417	ENST00000310298	1
ENSG00000073803	ENST00000424227	1
ENSG00000075188	ENST00000543021	1
ENSG00000075391	ENST00000367649	1
ENSG00000075539	ENST00000358350	1
ENSG00000076003	ENST00000264156	1
ENSG00000077150	ENST00000189444	1
ENSG00000077721	ENST00000469205	1
ENSG00000077935	ENST00000357450	1
ENSG00000078668	ENST00000518563	1
ENSG00000079616	ENST00000160827	1
ENSG00000079691	ENST00000461945	1
ENSG00000079785	ENST00000617198	1
ENSG00000081870	ENST00000371377	1
ENSG00000082068	ENST00000265107	1
ENSG00000082153	ENST00000460660	1
ENSG00000082213	ENST00000325366	1
ENSG00000082269	ENST00000418814	1
ENSG00000082898	ENST00000401558	1
