ID	Ensembl ID	SiteCount
ENSG00000004897	ENST00000066544	1
ENSG00000005020	ENST00000345317	1
ENSG00000005249	ENST00000265717	1
ENSG00000005339	ENST00000262367	1
ENSG00000005889	ENST00000459724	1
ENSG00000006125	ENST00000590432	1
ENSG00000006432	ENST00000381250	1
ENSG00000006712	ENST00000221265	1
ENSG00000007080	ENST00000445755	1
ENSG00000007545	ENST00000397412	1
ENSG00000008128	ENST00000357760	1
ENSG00000008294	ENST00000262013	1
ENSG00000008869	ENST00000233099	1
ENSG00000010072	ENST00000295050	1
ENSG00000010256	ENST00000412343	1
ENSG00000010322	ENST00000345716	1
ENSG00000011114	ENST00000298896	1
ENSG00000011143	ENST00000313863	1
ENSG00000011198	ENST00000013894	1
ENSG00000011376	ENST00000414984	1
ENSG00000011426	ENST00000265748	1
ENSG00000012061	ENST00000423698	1
ENSG00000013374	ENST00000413040	1
ENSG00000013523	ENST00000251089	1
ENSG00000014138	ENST00000527850	1
ENSG00000014164	ENST00000262577	1
ENSG00000015676	ENST00000464812	1
ENSG00000021574	ENST00000345662	1
ENSG00000021776	ENST00000156471	1
ENSG00000022277	ENST00000023939	1
ENSG00000027001	ENST00000382172	1
ENSG00000031823	ENST00000340578	1
ENSG00000032742	ENST00000319980	1
ENSG00000034152	ENST00000316920	1
ENSG00000034677	ENST00000519342	1
ENSG00000038210	ENST00000264864	1
ENSG00000040487	ENST00000375153	1
ENSG00000040633	ENST00000570899	1
ENSG00000040933	ENST00000074304	1
ENSG00000041802	ENST00000265245	1
ENSG00000042088	ENST00000554976	1
ENSG00000042445	ENST00000295802	1
ENSG00000043514	ENST00000316891	1
ENSG00000047578	ENST00000261588	1
ENSG00000048028	ENST00000003302	1
ENSG00000049656	ENST00000320895	1
ENSG00000051108	ENST00000439977	1
ENSG00000051382	ENST00000461451	1
ENSG00000051825	ENST00000539639	1
ENSG00000052749	ENST00000439965	1
ENSG00000052802	ENST00000261507	1
ENSG00000053108	ENST00000509525	1
ENSG00000053371	ENST00000235835	1
ENSG00000054116	ENST00000373159	1
ENSG00000054148	ENST00000462205	1
ENSG00000054282	ENST00000366541	1
ENSG00000055483	ENST00000312010	1
ENSG00000057663	ENST00000360666	1
ENSG00000058262	ENST00000243253	1
ENSG00000058600	ENST00000615879	1
ENSG00000060339	ENST00000265872	1
ENSG00000061273	ENST00000421231	1
ENSG00000063176	ENST00000245222	1
ENSG00000063177	ENST00000547892	1
ENSG00000063322	ENST00000315588	1
ENSG00000064490	ENST00000392324	1
ENSG00000064607	ENST00000330854	1
ENSG00000065135	ENST00000369851	1
ENSG00000065268	ENST00000251289	1
ENSG00000065427	ENST00000302445	1
ENSG00000065548	ENST00000337859	1
ENSG00000066855	ENST00000262146	1
ENSG00000066933	ENST00000356056	1
ENSG00000067113	ENST00000307259	1
ENSG00000067167	ENST00000262213	1
ENSG00000067221	ENST00000316900	1
ENSG00000067900	ENST00000399799	1
ENSG00000068028	ENST00000327761	1
ENSG00000068305	ENST00000338042	1
ENSG00000068354	ENST00000376771	1
ENSG00000068784	ENST00000263736	1
ENSG00000069849	ENST00000286371	1
ENSG00000069956	ENST00000558891	1
ENSG00000070010	ENST00000263202	1
ENSG00000070214	ENST00000374720	1
ENSG00000070423	ENST00000292363	1
ENSG00000070444	ENST00000174618	1
ENSG00000070476	ENST00000336332	1
ENSG00000070950	ENST00000264926	1
ENSG00000071462	ENST00000265758	1
ENSG00000072121	ENST00000347230	1
ENSG00000072274	ENST00000360110	1
ENSG00000072756	ENST00000251607	1
ENSG00000072849	ENST00000158771	1
ENSG00000072958	ENST00000429941	1
ENSG00000073050	ENST00000543982	1
ENSG00000073060	ENST00000339570	1
ENSG00000073169	ENST00000380903	1
ENSG00000073578	ENST00000264932	1
ENSG00000074800	ENST00000489867	1
ENSG00000075151	ENST00000374935	1
ENSG00000075218	ENST00000454366	1
ENSG00000075426	ENST00000264716	1
ENSG00000075618	ENST00000382361	1
ENSG00000075914	ENST00000265564	1
ENSG00000075945	ENST00000361580	1
ENSG00000076053	ENST00000375490	1
ENSG00000076201	ENST00000265562	1
ENSG00000076242	ENST00000432299	1
ENSG00000076685	ENST00000343289	1
ENSG00000076984	ENST00000397979	1
ENSG00000077097	ENST00000424225	1
ENSG00000077147	ENST00000371142	1
ENSG00000077235	ENST00000356183	1
ENSG00000077348	ENST00000593523	1
ENSG00000077463	ENST00000305232	1
ENSG00000078043	ENST00000324794	1
ENSG00000078140	ENST00000261427	1
ENSG00000078142	ENST00000262039	1
ENSG00000078668	ENST00000022615	1
ENSG00000078902	ENST00000263646	1
ENSG00000079246	ENST00000392132	1
ENSG00000079277	ENST00000341183	1
ENSG00000079337	ENST00000548434	1
ENSG00000079432	ENST00000572681	1
ENSG00000079616	ENST00000160827	1
