ID	Ensembl ID	SiteCount
ENSG00000002549	ENST00000509583	1
ENSG00000002822	ENST00000438959	1
ENSG00000003147	ENST00000339809	1
ENSG00000004455	ENST00000354858	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000265631	1
ENSG00000005156	ENST00000378526	1
ENSG00000005436	ENST00000472230	1
ENSG00000005801	ENST00000343338	1
ENSG00000005882	ENST00000503176	1
ENSG00000006071	ENST00000528374	1
ENSG00000006534	ENST00000342456	1
ENSG00000006607	ENST00000467260	1
ENSG00000006837	ENST00000519312	1
ENSG00000007392	ENST00000418978	1
ENSG00000010278	ENST00000536586	1
ENSG00000010327	ENST00000481626	1
ENSG00000011295	ENST00000466729	1
ENSG00000011590	ENST00000392197	1
ENSG00000012124	ENST00000598537	1
ENSG00000012211	ENST00000376317	1
ENSG00000013441	ENST00000621181	1
ENSG00000017483	ENST00000413668	1
ENSG00000023445	ENST00000263464	1
ENSG00000025772	ENST00000372813	1
ENSG00000028137	ENST00000622420	1
ENSG00000030582	ENST00000053867	1
ENSG00000035115	ENST00000463865	1
ENSG00000035928	ENST00000349703	1
ENSG00000039068	ENST00000564676	1
ENSG00000042088	ENST00000553989	1
ENSG00000047932	ENST00000368498	1
ENSG00000051620	ENST00000448741	1
ENSG00000053372	ENST00000493700	1
ENSG00000054796	ENST00000371260	1
ENSG00000056097	ENST00000265069	1
ENSG00000057935	ENST00000405592	1
ENSG00000059377	ENST00000411653	1
ENSG00000059915	ENST00000020673	1
ENSG00000062282	ENST00000604935	1
ENSG00000063127	ENST00000335875	1
ENSG00000064012	ENST00000339403	1
ENSG00000064601	ENST00000191018	1
ENSG00000065911	ENST00000409601	1
ENSG00000066405	ENST00000479660	1
ENSG00000066923	ENST00000317296	1
ENSG00000067992	ENST00000379162	1
ENSG00000069011	ENST00000506438	1
ENSG00000070476	ENST00000515545	1
ENSG00000071282	ENST00000456506	1
ENSG00000072182	ENST00000347842	1
ENSG00000072210	ENST00000579403	1
ENSG00000072609	ENST00000541817	1
ENSG00000073849	ENST00000417392	1
ENSG00000075292	ENST00000410075	1
ENSG00000075785	ENST00000265062	1
ENSG00000075856	ENST00000548582	1
ENSG00000076604	ENST00000475329	1
ENSG00000077713	ENST00000217909	1
ENSG00000079150	ENST00000434643	1
ENSG00000079999	ENST00000585845	1
ENSG00000081386	ENST00000223428	1
ENSG00000082515	ENST00000523037	1
ENSG00000083099	ENST00000520897	1
ENSG00000083720	ENST00000196371	1
ENSG00000083828	ENST00000396150	1
ENSG00000087077	ENST00000200457	1
ENSG00000087269	ENST00000314262	1
ENSG00000087494	ENST00000395868	1
ENSG00000087995	ENST00000311506	1
ENSG00000089048	ENST00000202816	1
ENSG00000089486	ENST00000564828	1
ENSG00000090612	ENST00000228289	1
ENSG00000091140	ENST00000415325	1
ENSG00000092020	ENST00000553273	1
ENSG00000092068	ENST00000422941	1
ENSG00000092148	ENST00000399332	1
ENSG00000092330	ENST00000557921	1
