ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0006414	translational elongation	5/32	128/12927	1.43017613568468e-05	0.00299001686149097	0.00239708048859957	ENSG00000112651/ENSG00000172432/ENSG00000180992/ENSG00000048544/ENSG00000096080	5	32
GO:0032543	mitochondrial translation	5/32	135/12927	1.85140362940617e-05	0.00299001686149097	0.00239708048859957	ENSG00000112651/ENSG00000124608/ENSG00000180992/ENSG00000048544/ENSG00000096080	5	32
GO:0140053	mitochondrial gene expression	5/32	162/12927	4.45043966443553e-05	0.00420858068736944	0.00337399657517642	ENSG00000112651/ENSG00000124608/ENSG00000180992/ENSG00000048544/ENSG00000096080	5	32
GO:0140014	mitotic nuclear division	33/64	241/12927	9.65045147799112e-41	8.18358285333647e-38	6.13565546600699e-38	ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000126787/ENSG00000129810/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000161800/ENSG00000164611/ENSG00000166851/ENSG00000175063/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000076382	33	9
GO:0000280	nuclear division	35/64	343/12927	8.30466648838114e-39	3.5211785910736e-36	2.64000976788537e-36	ENSG00000066279/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000126787/ENSG00000129810/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000161800/ENSG00000164611/ENSG00000166851/ENSG00000175063/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000076382/ENSG00000051180	35	9
GO:0007059	chromosome segregation	33/64	283/12927	2.49911599452858e-38	7.06416787786744e-36	5.29637214279039e-36	ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000104147/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000123485/ENSG00000126787/ENSG00000129810/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000137812/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000161800/ENSG00000164611/ENSG00000166851/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000076382	33	9
GO:0000070	mitotic sister chromatid segregation	27/64	143/12927	6.98731561052734e-37	1.18504872754544e-34	8.88492342896529e-35	ENSG00000080986/ENSG00000090889/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000126787/ENSG00000129810/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000156970/ENSG00000161800/ENSG00000164611/ENSG00000166851/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000076382	27	9
GO:0051983	regulation of chromosome segregation	17/64	94/12927	1.01811390660095e-22	9.59289547552891e-21	7.19229005364879e-21	ENSG00000080986/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000126787/ENSG00000134057/ENSG00000135476/ENSG00000138778/ENSG00000142945/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000161800/ENSG00000164611/ENSG00000166851/ENSG00000076382	17	9
GO:0007088	regulation of mitotic nuclear division	18/64	145/12927	6.22520987264411e-21	4.79907088363837e-19	3.59811173500196e-19	ENSG00000080986/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000126787/ENSG00000134057/ENSG00000135476/ENSG00000137804/ENSG00000138160/ENSG00000138778/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000164611/ENSG00000166851/ENSG00000175063	18	9
GO:0051303	establishment of chromosome localization	12/64	67/12927	3.54719171200468e-16	1.88001160736248e-14	1.40954196977028e-14	ENSG00000080986/ENSG00000101447/ENSG00000117724/ENSG00000126787/ENSG00000134057/ENSG00000134690/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000237649/ENSG00000076382	12	9
