ID	Ensembl ID	SiteCount
ENSG00000001084	ENST00000229416	1
ENSG00000003147	ENST00000396675	1
ENSG00000005020	ENST00000490456	1
ENSG00000005189	ENST00000567297	1
ENSG00000006125	ENST00000588093	1
ENSG00000006634	ENST00000430279	1
ENSG00000006837	ENST00000521755	1
ENSG00000007520	ENST00000007390	1
ENSG00000007923	ENST00000426784	1
ENSG00000008838	ENST00000537674	1
ENSG00000010219	ENST00000536137	1
ENSG00000012174	ENST00000365779	1
ENSG00000013561	ENST00000347642	1
ENSG00000017427	ENST00000307046	1
ENSG00000017483	ENST00000488083	1
ENSG00000022840	ENST00000325954	1
ENSG00000022976	ENST00000559098	1
ENSG00000023287	ENST00000025008	1
ENSG00000023892	ENST00000316637	1
ENSG00000027847	ENST00000029410	1
ENSG00000033030	ENST00000536663	1
ENSG00000033627	ENST00000587824	1
ENSG00000035681	ENST00000038176	1
ENSG00000036672	ENST00000527843	1
ENSG00000037897	ENST00000324871	1
ENSG00000038532	ENST00000494853	1
ENSG00000042753	ENST00000597020	1
ENSG00000043093	ENST00000492563	2
ENSG00000047621	ENST00000535030	1
ENSG00000047648	ENST00000303025	1
ENSG00000048162	ENST00000614830	1
ENSG00000049618	ENST00000346085	1
ENSG00000052344	ENST00000564025	1
ENSG00000053770	ENST00000431972	1
ENSG00000054983	ENST00000261304	1
ENSG00000056050	ENST00000393381	1
ENSG00000059758	ENST00000552262	1
ENSG00000061656	ENST00000498203	1
ENSG00000062725	ENST00000588668	1
ENSG00000063245	ENST00000085079	1
ENSG00000065361	ENST00000411731	1
ENSG00000065883	ENST00000340829	1
ENSG00000066933	ENST00000564931	1
ENSG00000067225	ENST00000335181	1
ENSG00000067955	ENST00000563939	1
ENSG00000069011	ENST00000506438	1
ENSG00000069020	ENST00000261569	1
ENSG00000069869	ENST00000502612	1
ENSG00000069943	ENST00000164305	1
ENSG00000070367	ENST00000621441	1
ENSG00000070444	ENST00000174618	1
ENSG00000071894	ENST00000616140	1
ENSG00000072135	ENST00000175756	1
ENSG00000072571	ENST00000358715	1
ENSG00000072736	ENST00000562926	1
ENSG00000072786	ENST00000517381	1
ENSG00000073584	ENST00000431889	1
ENSG00000073849	ENST00000169298	1
ENSG00000074855	ENST00000159087	1
ENSG00000075399	ENST00000389386	1
ENSG00000075539	ENST00000515684	1
ENSG00000075568	ENST00000418629	1
ENSG00000075651	ENST00000351298	1
ENSG00000075790	ENST00000379119	1
ENSG00000075945	ENST00000538366	1
ENSG00000076554	ENST00000519303	1
ENSG00000076928	ENST00000337665	1
ENSG00000077458	ENST00000398187	1
ENSG00000077721	ENST00000469205	1
ENSG00000078177	ENST00000515550	1
ENSG00000078304	ENST00000350249	1
ENSG00000078487	ENST00000360951	1
ENSG00000079335	ENST00000336454	1
ENSG00000079689	ENST00000334979	1
ENSG00000080608	ENST00000397885	1
ENSG00000080802	ENST00000498534	1
ENSG00000081026	ENST00000369617	1
ENSG00000081177	ENST00000409014	1
ENSG00000081237	ENST00000348564	1
ENSG00000081307	ENST00000464101	1
ENSG00000082175	ENST00000632634	1
ENSG00000082805	ENST00000545318	1
ENSG00000083123	ENST00000320393	1
ENSG00000083642	ENST00000450460	1
ENSG00000083845	ENST00000196551	1
ENSG00000084207	ENST00000498765	1
ENSG00000085276	ENST00000486748	1
ENSG00000085733	ENST00000498223	1
ENSG00000085788	ENST00000526237	1
ENSG00000086065	ENST00000223500	1
ENSG00000086102	ENST00000318524	1
ENSG00000086848	ENST00000612489	1
ENSG00000087460	ENST00000488546	1
ENSG00000088305	ENST00000443239	1
ENSG00000088367	ENST00000479336	1
ENSG00000088833	ENST00000353088	1
ENSG00000089472	ENST00000336279	1
ENSG00000089775	ENST00000555220	1
ENSG00000090006	ENST00000595118	1
ENSG00000090339	ENST00000264832	1
ENSG00000090376	ENST00000457197	1
ENSG00000090470	ENST00000204549	1
ENSG00000090581	ENST00000204679	1
ENSG00000090776	ENST00000204961	1
ENSG00000091527	ENST00000420115	1
ENSG00000092036	ENST00000554373	1
ENSG00000092758	ENST00000466192	1
ENSG00000094914	ENST00000209873	1
ENSG00000095485	ENST00000466955	1
ENSG00000099260	ENST00000605497	1
ENSG00000099381	ENST00000452917	1
ENSG00000100084	ENST00000263208	1
ENSG00000100105	ENST00000215919	1
ENSG00000100311	ENST00000381551	1
ENSG00000100503	ENST00000382043	1
ENSG00000100522	ENST00000554230	1
ENSG00000100523	ENST00000323669	1
ENSG00000100578	ENST00000354386	1
ENSG00000100625	ENST00000216513	1
ENSG00000100802	ENST00000556896	1
ENSG00000100934	ENST00000545328	1
ENSG00000100997	ENST00000461204	1
ENSG00000101160	ENST00000472025	1
ENSG00000101182	ENST00000370861	1
ENSG00000101391	ENST00000339269	1
ENSG00000101966	ENST00000497640	1
ENSG00000102786	ENST00000311234	1
ENSG00000102804	ENST00000487881	1
ENSG00000102901	ENST00000562338	1
ENSG00000102984	ENST00000566987	1
ENSG00000103160	ENST00000568857	2
ENSG00000103227	ENST00000568897	1
ENSG00000103245	ENST00000566614	1
ENSG00000103351	ENST00000576634	1
ENSG00000103507	ENST00000484226	1
ENSG00000103544	ENST00000544670	1
ENSG00000103671	ENST00000261884	1
ENSG00000103978	ENST00000307216	1
ENSG00000104047	ENST00000251250	1
ENSG00000104164	ENST00000563000	1
ENSG00000104320	ENST00000409330	1
ENSG00000104613	ENST00000518424	1
ENSG00000104643	ENST00000221086	1
ENSG00000104689	ENST00000221132	1
ENSG00000104907	ENST00000357720	1
ENSG00000104976	ENST00000596520	1
ENSG00000104998	ENST00000263379	1
ENSG00000105176	ENST00000574666	1
ENSG00000105289	ENST00000587912	1
ENSG00000105323	ENST00000599719	1
ENSG00000105499	ENST00000595487	1
ENSG00000105639	ENST00000528705	1
ENSG00000105698	ENST00000607959	1
ENSG00000105939	ENST00000464606	1
ENSG00000105948	ENST00000343187	1
ENSG00000105974	ENST00000393467	1
ENSG00000106028	ENST00000265304	1
ENSG00000106086	ENST00000258679	1
ENSG00000106105	ENST00000389266	1
ENSG00000106211	ENST00000447574	1
ENSG00000106603	ENST00000223336	1
ENSG00000106609	ENST00000413593	1
ENSG00000106723	ENST00000483785	1
ENSG00000106976	ENST00000341179	2
ENSG00000107021	ENST00000372648	1
