ID	Ensembl ID	SiteCount
ENSG00000001617	ENST00000002829	1
ENSG00000003509	ENST00000416653	1
ENSG00000004059	ENST00000000233	1
ENSG00000004779	ENST00000007516	1
ENSG00000004866	ENST00000421345	1
ENSG00000004897	ENST00000528748	1
ENSG00000005075	ENST00000292614	1
ENSG00000005436	ENST00000472230	1
ENSG00000005882	ENST00000505897	1
ENSG00000006530	ENST00000473247	1
ENSG00000007047	ENST00000587566	1
ENSG00000007080	ENST00000445755	1
ENSG00000007392	ENST00000418978	1
ENSG00000007923	ENST00000294401	1
ENSG00000008277	ENST00000265727	1
ENSG00000008988	ENST00000009589	1
ENSG00000009724	ENST00000400897	1
ENSG00000009830	ENST00000261534	1
ENSG00000009844	ENST00000367621	1
ENSG00000009950	ENST00000313375	1
ENSG00000010219	ENST00000536137	1
ENSG00000010282	ENST00000310417	1
ENSG00000011009	ENST00000374502	1
ENSG00000011052	ENST00000376392	1
ENSG00000011295	ENST00000466729	1
ENSG00000011485	ENST00000012443	1
ENSG00000011566	ENST00000263881	1
ENSG00000012822	ENST00000548431	1
ENSG00000013374	ENST00000470229	1
ENSG00000013523	ENST00000556298	1
ENSG00000013561	ENST00000506004	1
ENSG00000020426	ENST00000261245	1
ENSG00000023839	ENST00000370434	1
ENSG00000025434	ENST00000395397	1
ENSG00000025772	ENST00000372813	1
ENSG00000025796	ENST00000369002	1
ENSG00000028203	ENST00000546398	1
ENSG00000028528	ENST00000261889	1
ENSG00000031823	ENST00000340578	1
ENSG00000032742	ENST00000319980	1
ENSG00000033011	ENST00000262374	1
ENSG00000034533	ENST00000264992	1
ENSG00000034693	ENST00000367592	1
ENSG00000038358	ENST00000358933	1
ENSG00000039650	ENST00000596014	1
ENSG00000042429	ENST00000533133	2
ENSG00000044090	ENST00000265348	1
ENSG00000048471	ENST00000566228	1
ENSG00000049089	ENST00000488463	1
ENSG00000049449	ENST00000532721	1
ENSG00000049541	ENST00000055077	1
ENSG00000051620	ENST00000367697	1
ENSG00000053372	ENST00000493700	1
ENSG00000053501	ENST00000263897	1
ENSG00000054356	ENST00000462351	1
ENSG00000055483	ENST00000542802	1
ENSG00000059691	ENST00000263985	1
ENSG00000060982	ENST00000355164	1
ENSG00000061936	ENST00000261674	1
ENSG00000061987	ENST00000393629	1
ENSG00000062282	ENST00000604935	1
ENSG00000063015	ENST00000335960	1
ENSG00000064933	ENST00000409985	1
ENSG00000065154	ENST00000368845	1
ENSG00000065615	ENST00000369679	1
ENSG00000067064	ENST00000429642	1
ENSG00000067533	ENST00000366932	1
ENSG00000067596	ENST00000592258	1
ENSG00000067646	ENST00000449237	1
ENSG00000069345	ENST00000617000	1
ENSG00000069702	ENST00000465892	1
ENSG00000069956	ENST00000558841	1
ENSG00000070018	ENST00000261349	1
ENSG00000070785	ENST00000360403	1
ENSG00000070882	ENST00000313367	1
ENSG00000071082	ENST00000409000	1
ENSG00000071282	ENST00000454244	1
ENSG00000071794	ENST00000494055	1
ENSG00000071894	ENST00000531042	1
ENSG00000072571	ENST00000353866	1
ENSG00000072736	ENST00000549350	1
ENSG00000072756	ENST00000402675	1
ENSG00000072786	ENST00000176763	1
ENSG00000072864	ENST00000570727	1
ENSG00000074276	ENST00000510636	1
ENSG00000075239	ENST00000265838	1
ENSG00000075413	ENST00000303622	1
ENSG00000075975	ENST00000411987	1
ENSG00000076003	ENST00000264156	1
ENSG00000076604	ENST00000262396	1
ENSG00000077080	ENST00000160382	1
ENSG00000077684	ENST00000413543	1
ENSG00000078140	ENST00000510719	1
