ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0030855	epithelial cell differentiation	29/148	466/12927	5.85418878220023e-14	1.33943839336741e-10	1.23923933063207e-10	ENSG00000076826/ENSG00000083307/ENSG00000086062/ENSG00000096696/ENSG00000104413/ENSG00000109062/ENSG00000112378/ENSG00000117595/ENSG00000124664/ENSG00000125850/ENSG00000129514/ENSG00000132698/ENSG00000135373/ENSG00000135374/ENSG00000138771/ENSG00000147862/ENSG00000158769/ENSG00000163435/ENSG00000163472/ENSG00000165215/ENSG00000171345/ENSG00000171346/ENSG00000172818/ENSG00000175707/ENSG00000186716/ENSG00000062038/ENSG00000052344/ENSG00000077782/ENSG00000128422	29	4
GO:0009913	epidermal cell differentiation	17/148	169/12927	8.17737877153104e-12	9.35492131463151e-09	8.65510984713101e-09	ENSG00000083307/ENSG00000096696/ENSG00000104413/ENSG00000109062/ENSG00000112378/ENSG00000117595/ENSG00000125850/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000172818/ENSG00000175707/ENSG00000186716/ENSG00000062038/ENSG00000052344/ENSG00000077782/ENSG00000128422	17	4
GO:0008544	epidermis development	18/148	257/12927	7.99094339617992e-10	6.09442616348655e-07	5.63852181393608e-07	ENSG00000083307/ENSG00000096696/ENSG00000104413/ENSG00000109062/ENSG00000112378/ENSG00000117595/ENSG00000125850/ENSG00000163435/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000172818/ENSG00000175707/ENSG00000186716/ENSG00000062038/ENSG00000052344/ENSG00000077782/ENSG00000128422	18	4
GO:0030216	keratinocyte differentiation	13/148	126/12927	1.92327488292446e-09	1.10011323303279e-06	1.01781731304239e-06	ENSG00000083307/ENSG00000096696/ENSG00000112378/ENSG00000117595/ENSG00000125850/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000175707/ENSG00000186716/ENSG00000062038/ENSG00000052344/ENSG00000128422	13	4
GO:0045216	cell-cell junction organization	12/148	133/12927	3.79105728838926e-08	1.73478781516693e-05	1.60501393830543e-05	ENSG00000039068/ENSG00000076826/ENSG00000083307/ENSG00000096696/ENSG00000112378/ENSG00000130545/ENSG00000140832/ENSG00000150054/ENSG00000154639/ENSG00000158769/ENSG00000165215/ENSG00000062038	12	4
GO:0043588	skin development	14/148	224/12927	2.77495832012582e-07	9.42979716319642e-05	8.7243844751509e-05	ENSG00000083307/ENSG00000096696/ENSG00000112378/ENSG00000117595/ENSG00000125850/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000172818/ENSG00000175707/ENSG00000186716/ENSG00000062038/ENSG00000052344/ENSG00000128422	14	4
GO:0031424	keratinization	8/148	58/12927	2.88499039083807e-07	9.42979716319642e-05	8.7243844751509e-05	ENSG00000096696/ENSG00000112378/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000062038/ENSG00000052344/ENSG00000128422	8	4
GO:0002064	epithelial cell development	12/148	169/12927	5.28119746944011e-07	0.000151042247625987	0.000139743264619001	ENSG00000083307/ENSG00000086062/ENSG00000109062/ENSG00000124664/ENSG00000129514/ENSG00000132698/ENSG00000138771/ENSG00000158769/ENSG00000163472/ENSG00000165215/ENSG00000175707/ENSG00000077782	12	4
GO:0070268	cornification	7/148	49/12927	1.28471282190265e-06	0.000326602548501475	0.000302170466063887	ENSG00000096696/ENSG00000112378/ENSG00000163472/ENSG00000171345/ENSG00000171346/ENSG00000052344/ENSG00000128422	7	4
GO:0034330	cell junction organization	14/148	260/12927	1.66675975954714e-06	0.000381354632984385	0.000352826723836768	ENSG00000039068/ENSG00000076826/ENSG00000083307/ENSG00000096696/ENSG00000112378/ENSG00000130545/ENSG00000140832/ENSG00000143217/ENSG00000150054/ENSG00000154639/ENSG00000158769/ENSG00000165215/ENSG00000186716/ENSG00000062038	14	4
