ID	Ensembl ID	SiteCount
ENSG00000000003	ENST00000496771	1
ENSG00000000419	ENST00000371582	1
ENSG00000000457	ENST00000423670	2
ENSG00000000460	ENST00000359326	1
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000229416	1
ENSG00000001167	ENST00000341376	1
ENSG00000001460	ENST00000003583	1
ENSG00000001461	ENST00000003912	2
ENSG00000001497	ENST00000374804	1
ENSG00000001561	ENST00000321037	1
ENSG00000001617	ENST00000002829	2
ENSG00000001629	ENST00000265742	1
ENSG00000001630	ENST00000003100	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000430095	1
ENSG00000002330	ENST00000544271	2
ENSG00000002549	ENST00000508497	2
ENSG00000002586	ENST00000381180	2
ENSG00000002746	ENST00000464944	1
ENSG00000002822	ENST00000399654	1
ENSG00000002834	ENST00000443937	1
ENSG00000002919	ENST00000584335	2
ENSG00000003056	ENST00000000412	3
ENSG00000003147	ENST00000265577	1
ENSG00000003402	ENST00000309955	1
ENSG00000003436	ENST00000233156	1
ENSG00000003509	ENST00000002125	1
ENSG00000003756	ENST00000347869	1
ENSG00000003989	ENST00000494857	2
ENSG00000004059	ENST00000415666	1
ENSG00000004139	ENST00000578128	1
ENSG00000004142	ENST00000540200	1
ENSG00000004399	ENST00000324093	1
ENSG00000004455	ENST00000373449	1
ENSG00000004478	ENST00000001008	1
ENSG00000004487	ENST00000356634	2
ENSG00000004534	ENST00000433811	2
ENSG00000004660	ENST00000158166	1
ENSG00000004700	ENST00000314748	3
ENSG00000004766	ENST00000251739	2
ENSG00000004776	ENST00000592984	2
ENSG00000004777	ENST00000007510	1
ENSG00000004779	ENST00000007516	1
ENSG00000004799	ENST00000005178	1
ENSG00000004838	ENST00000360165	1
ENSG00000004848	ENST00000637993	1
ENSG00000004864	ENST00000265631	1
ENSG00000004866	ENST00000421345	2
ENSG00000004897	ENST00000528748	1
ENSG00000004948	ENST00000359558	1
ENSG00000004961	ENST00000321143	1
ENSG00000004975	ENST00000005340	1
ENSG00000005001	ENST00000161006	1
ENSG00000005007	ENST00000262803	2
ENSG00000005020	ENST00000345317	1
ENSG00000005022	ENST00000317881	1
ENSG00000005059	ENST00000394650	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005102	ENST00000318579	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000005386	1
ENSG00000005187	ENST00000567006	1
ENSG00000005189	ENST00000261377	2
ENSG00000005194	ENST00000563341	1
ENSG00000005206	ENST00000585725	1
ENSG00000005238	ENST00000378566	2
ENSG00000005243	ENST00000580174	1
ENSG00000005249	ENST00000265717	1
ENSG00000005302	ENST00000312196	1
ENSG00000005436	ENST00000409857	1
ENSG00000005448	ENST00000469321	2
ENSG00000005483	ENST00000257745	2
ENSG00000005486	ENST00000006777	1
ENSG00000005700	ENST00000306270	2
ENSG00000005801	ENST00000005082	1
ENSG00000005882	ENST00000503176	1
ENSG00000005884	ENST00000320031	1
ENSG00000005889	ENST00000379177	1
ENSG00000005893	ENST00000200639	1
ENSG00000005961	ENST00000591990	1
ENSG00000006007	ENST00000564172	2
ENSG00000006015	ENST00000450195	1
