ID	Ensembl ID	SiteCount
ENSG00000001460	ENST00000003583	1
ENSG00000002822	ENST00000399654	1
ENSG00000004534	ENST00000464013	1
ENSG00000004897	ENST00000066544	1
ENSG00000005194	ENST00000563341	1
ENSG00000005882	ENST00000007708	1
ENSG00000006451	ENST00000005257	1
ENSG00000006715	ENST00000413141	1
ENSG00000008282	ENST00000011473	1
ENSG00000008294	ENST00000511987	1
ENSG00000008441	ENST00000587260	1
ENSG00000008517	ENST00000528652	1
ENSG00000008710	ENST00000564313	1
ENSG00000008853	ENST00000523918	1
ENSG00000010322	ENST00000485765	1
ENSG00000012171	ENST00000418576	1
ENSG00000013561	ENST00000347642	1
ENSG00000013588	ENST00000014914	1
ENSG00000014919	ENST00000016171	1
ENSG00000018625	ENST00000468587	1
ENSG00000020577	ENST00000553988	1
ENSG00000021762	ENST00000477622	1
ENSG00000022267	ENST00000628919	1
ENSG00000026025	ENST00000469543	1
ENSG00000031003	ENST00000505281	1
ENSG00000033800	ENST00000563996	1
ENSG00000034693	ENST00000367592	1
ENSG00000038382	ENST00000515710	1
ENSG00000038532	ENST00000261657	1
ENSG00000039560	ENST00000505185	1
ENSG00000040633	ENST00000320316	1
ENSG00000042429	ENST00000530819	1
ENSG00000042493	ENST00000409275	1
ENSG00000049541	ENST00000055077	1
ENSG00000049618	ENST00000636426	1
ENSG00000050344	ENST00000606261	1
ENSG00000054267	ENST00000494543	1
ENSG00000055208	ENST00000367456	1
ENSG00000058453	ENST00000477773	1
ENSG00000058804	ENST00000480952	1
ENSG00000060642	ENST00000374145	1
ENSG00000060718	ENST00000353414	1
ENSG00000060971	ENST00000301810	1
ENSG00000061938	ENST00000430929	1
ENSG00000064270	ENST00000567629	1
ENSG00000065000	ENST00000591631	1
ENSG00000065150	ENST00000357602	1
ENSG00000065518	ENST00000461682	1
ENSG00000066136	ENST00000424419	1
ENSG00000066629	ENST00000556947	1
ENSG00000066923	ENST00000426455	1
ENSG00000067057	ENST00000381075	1
ENSG00000067225	ENST00000562997	1
ENSG00000068028	ENST00000357043	1
