ID	Ensembl ID	SiteCount
ENSG00000002016	ENST00000358495	1
ENSG00000002330	ENST00000544785	1
ENSG00000002822	ENST00000399654	1
ENSG00000003402	ENST00000423241	1
ENSG00000004059	ENST00000459680	1
ENSG00000004478	ENST00000543769	1
ENSG00000004487	ENST00000356634	1
ENSG00000004838	ENST00000475688	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000572490	1
ENSG00000005810	ENST00000357337	1
ENSG00000006607	ENST00000264042	1
ENSG00000006831	ENST00000357103	1
ENSG00000007202	ENST00000389003	1
ENSG00000007306	ENST00000599715	1
ENSG00000008083	ENST00000397311	1
ENSG00000008282	ENST00000455385	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000618656	1
ENSG00000009844	ENST00000452973	1
ENSG00000010292	ENST00000315579	1
ENSG00000010322	ENST00000345716	1
ENSG00000010361	ENST00000529302	1
ENSG00000010438	ENST00000379405	1
ENSG00000010539	ENST00000396868	1
ENSG00000010803	ENST00000489421	1
ENSG00000011009	ENST00000374502	1
ENSG00000011052	ENST00000376392	1
ENSG00000011422	ENST00000339082	1
ENSG00000011485	ENST00000012443	1
ENSG00000012223	ENST00000443496	1
ENSG00000012660	ENST00000304434	1
ENSG00000017427	ENST00000307046	1
ENSG00000017483	ENST00000619100	1
ENSG00000018510	ENST00000264167	1
ENSG00000020577	ENST00000555091	1
ENSG00000021355	ENST00000380739	1
ENSG00000022556	ENST00000588107	1
ENSG00000022567	ENST00000024061	1
ENSG00000023445	ENST00000615299	1
ENSG00000023892	ENST00000316637	1
ENSG00000023909	ENST00000370238	1
ENSG00000026652	ENST00000320285	1
ENSG00000027847	ENST00000029410	1
ENSG00000028116	ENST00000340157	1
ENSG00000028203	ENST00000547894	1
ENSG00000029534	ENST00000289734	1
ENSG00000035720	ENST00000265404	1
ENSG00000036549	ENST00000414381	1
ENSG00000036672	ENST00000527843	1
ENSG00000038532	ENST00000494853	1
ENSG00000039560	ENST00000428746	1
ENSG00000039650	ENST00000629179	1
ENSG00000040633	ENST00000570899	1
ENSG00000047457	ENST00000460674	1
ENSG00000047648	ENST00000303025	1
ENSG00000049323	ENST00000415140	1
ENSG00000049759	ENST00000431212	1
ENSG00000050438	ENST00000453097	1
ENSG00000051620	ENST00000448741	1
ENSG00000053524	ENST00000459750	1
ENSG00000054983	ENST00000261304	1
ENSG00000055483	ENST00000588365	1
ENSG00000055950	ENST00000476012	1
ENSG00000055955	ENST00000266041	1
ENSG00000056586	ENST00000357244	1
ENSG00000057019	ENST00000326857	1
ENSG00000057663	ENST00000613993	1
ENSG00000058262	ENST00000464451	1
ENSG00000058804	ENST00000480952	1
ENSG00000058866	ENST00000490452	1
ENSG00000059145	ENST00000513783	1
ENSG00000059758	ENST00000551816	1
ENSG00000060982	ENST00000342945	1
ENSG00000061656	ENST00000463973	1
ENSG00000061676	ENST00000471640	1
ENSG00000063244	ENST00000450554	1
ENSG00000064419	ENST00000265388	1
ENSG00000064601	ENST00000191018	1
ENSG00000064886	ENST00000467038	1
ENSG00000065268	ENST00000251289	1
ENSG00000065361	ENST00000411731	1
ENSG00000065485	ENST00000484644	1
ENSG00000065621	ENST00000369707	1
ENSG00000065911	ENST00000462026	1
ENSG00000066032	ENST00000409550	1
ENSG00000066135	ENST00000463151	1
ENSG00000066136	ENST00000372653	1
ENSG00000066468	ENST00000478859	1
ENSG00000066697	ENST00000613183	1
ENSG00000067082	ENST00000469435	1
